    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.443351         14   0.243550   0.072531 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.186995         35   0.166064  -0.145665 
  -163.286   -326.571   0.258403        181   0.049775   0.033705 
  -108.857   -326.571   0.374271        202  -0.029818  -0.039163 
   -54.429   -326.571   0.066587        524   0.124200  -0.065017 
     0.000   -326.571   0.293625        272   0.201149   0.026785 
    54.429   -326.571   0.610935        112   0.342482  -0.062605 
   108.857   -326.571   0.111973        449   0.050879   0.100026 
   163.286   -326.571   0.000000          0   0.000000   0.000000 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.181378         42   0.150277  -0.319390 
  -217.714   -272.143   0.138107        974   0.088296  -0.036525 
  -163.286   -272.143   0.244010        446   0.022083   0.147930 
  -108.857   -272.143   0.198063       1330  -0.023702   0.005161 
   -54.429   -272.143   0.168561       1485  -0.000145  -0.066384 
     0.000   -272.143   0.174807       1649   0.003559   0.005794 
    54.429   -272.143   0.213689       1436   0.032487  -0.015581 
   108.857   -272.143   0.126292       1579   0.058577   0.021274 
   163.286   -272.143   0.116053       1520   0.101963  -0.012135 
   217.714   -272.143   0.261704        798   0.103945   0.080503 
   272.143   -272.143   0.000000          0   0.000000   0.000000 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.000000          0   0.000000   0.000000 
  -272.143   -217.714   0.128267        537   0.095909  -0.257968 
  -217.714   -217.714   0.156251       1452   0.058810  -0.065130 
  -163.286   -217.714   0.118717       1687   0.035094   0.164552 
  -108.857   -217.714   0.203098       1499   0.037292  -0.065163 
   -54.429   -217.714   0.183966       1695   0.005004  -0.041447 
     0.000   -217.714   0.132130       3125   0.028561  -0.004116 
    54.429   -217.714   0.179928       2656   0.053218  -0.051729 
   108.857   -217.714   0.194033       2261   0.034349   0.053317 
   163.286   -217.714   0.189528       2091  -0.016547  -0.030360 
   217.714   -217.714   0.186160       2170  -0.014099   0.072976 
   272.143   -217.714   0.135993        435  -0.031958   0.031447 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.153673        286   0.121272  -0.058293 
  -272.143   -163.286   0.243413        551   0.105603  -0.168861 
  -217.714   -163.286   0.152769       2315   0.010680  -0.049206 
  -163.286   -163.286   0.124464       3766   0.050326   0.031493 
  -108.857   -163.286   0.217705       1399   0.039889   0.023345 
   -54.429   -163.286   0.170089       2896  -0.003798  -0.017022 
     0.000   -163.286   0.152995       3040   0.031650  -0.076842 
    54.429   -163.286   0.121246       3028   0.020766   0.020130 
   108.857   -163.286   0.120894       2703  -0.039120   0.078538 
   163.286   -163.286   0.180285       2141  -0.038577  -0.028565 
   217.714   -163.286   0.257871       1433   0.002252   0.052619 
   272.143   -163.286   0.173687        652   0.041146   0.059588 
   326.571   -163.286   0.282211         13  -0.055222   0.013068 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.476769        269  -0.015345  -0.100505 
  -272.143   -108.857   0.156320       1466   0.106876  -0.133000 
  -217.714   -108.857   0.139473       2790   0.061023  -0.012904 
  -163.286   -108.857   0.181430       2499  -0.015138   0.040259 
  -108.857   -108.857   0.266956       1146   0.103395   0.043590 
   -54.429   -108.857   0.187223       2885   0.057583  -0.031843 
     0.000   -108.857   0.203763       3248   0.037320  -0.059451 
    54.429   -108.857   0.196514       3198   0.051622   0.032981 
   108.857   -108.857   0.240108       2796   0.026515   0.080071 
   163.286   -108.857   0.237375       2672   0.027581  -0.036597 
   217.714   -108.857   0.238882       1221   0.010438   0.107288 
   272.143   -108.857   0.356652        704   0.067417   0.014863 
   326.571   -108.857   0.624804        166  -0.009619   0.175435 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.000000          0   0.000000   0.000000 
  -326.571    -54.429   0.149829       1002   0.030993  -0.130200 
  -272.143    -54.429   0.258838        888  -0.034446  -0.224794 
  -217.714    -54.429   0.224681       1237  -0.017051   0.059924 
  -163.286    -54.429   0.216698       1960   0.024512   0.063363 
  -108.857    -54.429   0.226610       3507   0.007931   0.026289 
   -54.429    -54.429   0.266891       3259  -0.009903  -0.052418 
     0.000    -54.429   0.302554       2776  -0.011113  -0.077226 
    54.429    -54.429   0.181198       3307  -0.043934   0.060291 
   108.857    -54.429   0.192126       2488  -0.015429   0.076003 
   163.286    -54.429   0.281240       2942  -0.010487  -0.022081 
   217.714    -54.429   0.229393       1833   0.013773   0.036917 
   272.143    -54.429   0.198512       1103   0.008009   0.064276 
   326.571    -54.429   0.572741        109   0.118118   0.351091 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.130292         51   0.006727  -0.228134 
  -326.571      0.000   0.209408        498   0.055852  -0.241956 
  -272.143      0.000   0.230993       1106   0.096881  -0.197296 
  -217.714      0.000   0.277027       2434   0.010282  -0.011195 
  -163.286      0.000   0.314167       2945   0.003398   0.068763 
  -108.857      0.000   0.344972       1628  -0.083042   0.006330 
   -54.429      0.000   0.309123       2910  -0.028063  -0.012403 
     0.000      0.000   0.317309       3191  -0.055359  -0.057948 
    54.429      0.000   0.263584       3744  -0.049015   0.067121 
   108.857      0.000   0.177576       2460   0.018361   0.003611 
   163.286      0.000   0.282341       1804   0.070968   0.004521 
   217.714      0.000   0.210880        813   0.054372   0.107563 
   272.143      0.000   0.181175        738  -0.182674   0.101805 
   326.571      0.000   0.106227        237  -0.330318  -0.158060 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.912779         10   0.070032  -0.217741 
  -326.571     54.429   0.186832       1706   0.017582  -0.124446 
  -272.143     54.429   0.277011       1378  -0.040103  -0.109746 
  -217.714     54.429   0.188416       1289  -0.086233   0.064076 
  -163.286     54.429   0.261900       2631  -0.021916   0.074931 
  -108.857     54.429   0.204245       2608   0.073846   0.006028 
   -54.429     54.429   0.264817       3288  -0.027242   0.020902 
     0.000     54.429   0.285185       3491  -0.057770  -0.028013 
    54.429     54.429   0.243877       2695  -0.027013  -0.024996 
   108.857     54.429   0.202048       3082  -0.044200   0.029847 
   163.286     54.429   0.228719       2361  -0.019975   0.005572 
   217.714     54.429   0.152301       1220  -0.099163   0.087875 
   272.143     54.429   0.158377        453   0.204067   0.135526 
   326.571     54.429   0.114931        507   0.129324  -0.163744 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.223626       1368  -0.052853  -0.074216 
  -272.143    108.857   0.219726       2341  -0.046046  -0.041954 
  -217.714    108.857   0.225661       1677  -0.046108   0.037674 
  -163.286    108.857   0.220968       2971   0.019079  -0.018988 
  -108.857    108.857   0.277747       2918  -0.023137   0.045591 
   -54.429    108.857   0.178908       3130   0.002129   0.052161 
     0.000    108.857   0.184329       4945  -0.013027  -0.020123 
    54.429    108.857   0.200918       3561  -0.073367   0.021030 
   108.857    108.857   0.239910       3236  -0.039623   0.012489 
   163.286    108.857   0.175853       3897  -0.046010  -0.027205 
   217.714    108.857   0.252368       1716   0.031493  -0.003536 
   272.143    108.857   0.183298        958   0.017540   0.025936 
   326.571    108.857   0.155066         80  -0.039174   0.034878 
   381.000    108.857   0.000000          0   0.000000   0.000000 
  -381.000    163.286   0.000000          0   0.000000   0.000000 
