    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.000000          0   0.000000   0.000000 
   -58.286   -349.714   0.000000          0   0.000000   0.000000 
     0.000   -349.714   0.335639        240   0.064958   0.003746 
    58.286   -349.714   0.000000          0   0.000000   0.000000 
   116.571   -349.714   0.126573        143   0.124201  -0.147700 
   174.857   -349.714   0.136297         59   0.069787   0.365815 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.000000          0   0.000000   0.000000 
  -116.571   -291.429   0.033325        119   0.178753  -0.206228 
   -58.286   -291.429   0.035301        214   0.254465   0.097938 
     0.000   -291.429   0.124118        602  -0.041910  -0.034254 
    58.286   -291.429   0.119401        783  -0.029003   0.044089 
   116.571   -291.429   0.127365        751   0.042469  -0.061218 
   174.857   -291.429   0.111476       2941  -0.009743   0.033055 
   233.143   -291.429   0.107797       1790  -0.056406  -0.022900 
   291.429   -291.429   0.069552         61   0.150200  -0.015106 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.000000          0   0.000000   0.000000 
  -233.143   -233.143   0.141025        422   0.000369  -0.083949 
  -174.857   -233.143   0.124440        362   0.138606   0.112731 
  -116.571   -233.143   0.154713        342  -0.004096  -0.171743 
   -58.286   -233.143   0.206855        125  -0.122194  -0.080902 
     0.000   -233.143   0.129008       2052   0.007282  -0.006228 
    58.286   -233.143   0.142675       4021   0.015852  -0.009633 
   116.571   -233.143   0.184981       2785  -0.020492   0.032775 
   174.857   -233.143   0.142253       5213   0.012081   0.014495 
   233.143   -233.143   0.101954       3588   0.056488  -0.024511 
   291.429   -233.143   0.138537       1506   0.021579   0.051521 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.000000          0   0.000000   0.000000 
  -233.143   -174.857   0.000000          0   0.000000   0.000000 
  -174.857   -174.857   0.213868        247  -0.240458  -0.043748 
