    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.000000          0   0.000000   0.000000 
   -58.286   -349.714   0.000000          0   0.000000   0.000000 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.000000          0   0.000000   0.000000 
   116.571   -349.714   0.000000          0   0.000000   0.000000 
   174.857   -349.714   0.148731        298   0.109712   0.005338 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.000000          0   0.000000   0.000000 
  -116.571   -291.429   0.000000          0   0.000000   0.000000 
   -58.286   -291.429   0.000000          0   0.000000   0.000000 
     0.000   -291.429   0.000000          0   0.000000   0.000000 
    58.286   -291.429   0.062154        658   0.128573  -0.084845 
   116.571   -291.429   0.089296        764   0.171251   0.003757 
   174.857   -291.429   0.196143        656   0.032494   0.089299 
   233.143   -291.429   0.000000          0   0.000000   0.000000 
   291.429   -291.429   0.000000          0   0.000000   0.000000 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.000000          0   0.000000   0.000000 
  -233.143   -233.143   0.000000          0   0.000000   0.000000 
  -174.857   -233.143   0.000000          0   0.000000   0.000000 
  -116.571   -233.143   0.000000          0   0.000000   0.000000 
   -58.286   -233.143   0.020746         97  -0.062292   0.063527 
     0.000   -233.143   0.071837        835  -0.028944  -0.043312 
    58.286   -233.143   0.070629       2550  -0.008799  -0.018097 
   116.571   -233.143   0.079620       4677  -0.028131   0.009274 
   174.857   -233.143   0.061023       5568  -0.012443   0.009146 
   233.143   -233.143   0.085110       1871   0.004874   0.016803 
   291.429   -233.143   0.072193       2239   0.010746   0.003953 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.000000          0   0.000000   0.000000 
  -233.143   -174.857   0.000000          0   0.000000   0.000000 
  -174.857   -174.857   0.000000          0   0.000000   0.000000 
