    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.738180         43  -0.238297   0.020106 
  -116.571   -349.714   0.341912        363   0.084042  -0.191558 
   -58.286   -349.714   0.869623        360   0.286020   0.212041 
     0.000   -349.714   0.691546        529   0.050894   0.060711 
    58.286   -349.714   0.353754        554   0.152453  -0.148004 
   116.571   -349.714   0.307204        700   0.102680   0.097302 
   174.857   -349.714   0.311807        248  -0.004089  -0.041579 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.341655        526  -0.003262  -0.063956 
  -174.857   -291.429   0.366673        943   0.082256   0.008415 
  -116.571   -291.429   0.482095        912  -0.008537  -0.055188 
   -58.286   -291.429   0.409402       1213  -0.097902   0.026506 
     0.000   -291.429   0.452051       1195  -0.051320   0.024116 
    58.286   -291.429   0.308880       2099   0.065688  -0.126447 
   116.571   -291.429   0.342223       1700   0.186924   0.105698 
   174.857   -291.429   0.301155       1963   0.060424   0.026055 
   233.143   -291.429   0.303725       2164   0.091362   0.031312 
   291.429   -291.429   0.369727         90   0.246090   0.290407 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.265944       1118   0.041949  -0.017276 
  -233.143   -233.143   0.293718       1487   0.060463  -0.039480 
  -174.857   -233.143   0.390459       1110   0.061506  -0.019968 
  -116.571   -233.143   0.281040       2270  -0.003039   0.018704 
   -58.286   -233.143   0.296929       1876   0.064116   0.020452 
     0.000   -233.143   0.365565       2436   0.065576  -0.062906 
    58.286   -233.143   0.388245       2222   0.021080  -0.131559 
   116.571   -233.143   0.320534       1899   0.156890   0.039665 
   174.857   -233.143   0.316754       3686   0.104773   0.033338 
   233.143   -233.143   0.371032       2114   0.110491   0.015388 
   291.429   -233.143   0.358786       1377   0.083234   0.201613 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.476769         82  -0.113653   0.180263 
  -291.429   -174.857   0.349043       1342  -0.033519  -0.070435 
  -233.143   -174.857   0.332397       1716   0.052337  -0.043066 
