    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.078268         23   0.286203  -0.095460 
     0.000   -381.000   0.255304         50   0.482808   0.044517 
    54.429   -381.000   0.127451         18   0.058718   0.064845 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.000000          0   0.000000   0.000000 
  -163.286   -326.571   0.168057        175   0.023467  -0.085546 
  -108.857   -326.571   0.227622        195   0.181498  -0.124225 
   -54.429   -326.571   0.192597        302   0.325689  -0.274636 
     0.000   -326.571   0.336113        493   0.361646  -0.083395 
    54.429   -326.571   0.268443        468   0.303037   0.252995 
   108.857   -326.571   0.279102        462   0.180480   0.062349 
   163.286   -326.571   0.211089        281   0.112825   0.048111 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.269984        137   0.079102  -0.042102 
  -217.714   -272.143   0.167658       1254   0.017506  -0.001468 
  -163.286   -272.143   0.298805        468   0.064126  -0.115858 
  -108.857   -272.143   0.274065        564   0.022815  -0.097588 
   -54.429   -272.143   0.352934        514   0.157041  -0.237401 
     0.000   -272.143   0.224826        806   0.053703  -0.092545 
    54.429   -272.143   0.349648        457   0.322549   0.187398 
   108.857   -272.143   0.339640        638   0.144878   0.079594 
   163.286   -272.143   0.138134       1385   0.004683   0.130101 
   217.714   -272.143   0.110493        912   0.029914   0.005515 
   272.143   -272.143   0.044919         27  -0.039881  -0.096208 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.024792          3   0.088724  -0.164940 
  -272.143   -217.714   0.100917        968   0.040856  -0.051030 
  -217.714   -217.714   0.146813       1202   0.064844   0.018929 
  -163.286   -217.714   0.263173       1032   0.030897  -0.031950 
  -108.857   -217.714   0.270716       1913   0.065076  -0.108824 
   -54.429   -217.714   0.303579        731   0.288795  -0.188923 
     0.000   -217.714   0.201802       1804   0.135620  -0.031810 
    54.429   -217.714   0.155683       1101   0.162768   0.164075 
   108.857   -217.714   0.154330       1441   0.033659   0.097815 
   163.286   -217.714   0.279468       1491   0.078105   0.061157 
   217.714   -217.714   0.196929       1215   0.002502   0.041050 
   272.143   -217.714   0.128827        150  -0.003414  -0.002636 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.000000          0   0.000000   0.000000 
  -272.143   -163.286   0.042923        119  -0.406359  -0.304486 
  -217.714   -163.286   0.237581       1069  -0.021401  -0.052044 
  -163.286   -163.286   0.220831       1428   0.076328  -0.044655 
  -108.857   -163.286   0.208898       1239   0.047087  -0.150146 
   -54.429   -163.286   0.316084       1603   0.025961  -0.067567 
     0.000   -163.286   0.294201       1449  -0.027928  -0.001072 
    54.429   -163.286   0.226584       1701  -0.067415   0.096443 
   108.857   -163.286   0.238239       1300  -0.001275   0.051427 
   163.286   -163.286   0.161507       1726   0.036234   0.103626 
   217.714   -163.286   0.414058        255   0.059881   0.302214 
   272.143   -163.286   0.495684         24   0.509551   0.004288 
   326.571   -163.286   0.000000          0   0.000000   0.000000 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.000000          0   0.000000   0.000000 
  -272.143   -108.857   0.205477        185   0.053825  -0.349169 
  -217.714   -108.857   0.177715        636   0.127252  -0.057924 
  -163.286   -108.857   0.350781        647   0.007764  -0.077256 
  -108.857   -108.857   0.281930        559   0.060118  -0.202799 
   -54.429   -108.857   0.428165        829  -0.115601  -0.121776 
     0.000   -108.857   0.228602       1829  -0.077855   0.046882 
    54.429   -108.857   0.318691        891  -0.137440   0.044910 
   108.857   -108.857   0.299177       1484  -0.022662   0.061667 
   163.286   -108.857   0.256299       1068  -0.082762   0.085939 
   217.714   -108.857   0.339378        400   0.033992   0.191718 
   272.143   -108.857   0.348325         78   0.501226  -0.184522 
   326.571   -108.857   0.960323         42   0.520376   1.056111 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.000000          0   0.000000   0.000000 
  -326.571    -54.429   0.000000          0   0.000000   0.000000 
  -272.143    -54.429   0.060034        101  -0.086766  -0.227632 
  -217.714    -54.429   0.381326        461  -0.166405  -0.361671 
  -163.286    -54.429   0.409934        271   0.007367  -0.137448 
  -108.857    -54.429   0.268050       1089  -0.044190  -0.033084 
   -54.429    -54.429   0.585047        459  -0.309319   0.053818 
     0.000    -54.429   0.273710       1532  -0.127492   0.063198 
    54.429    -54.429   0.312085       1249  -0.186273   0.036169 
   108.857    -54.429   0.408249       1217  -0.157805   0.012705 
   163.286    -54.429   0.487240        571  -0.144014   0.028456 
   217.714    -54.429   0.251110        170  -0.070658   0.139730 
   272.143    -54.429   0.000000          0   0.000000   0.000000 
   326.571    -54.429   0.094500         35  -0.613472   1.415983 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.722659         17   0.061910  -0.038764 
  -326.571      0.000   1.001725        107   0.001641   0.023418 
  -272.143      0.000   0.229452        456  -0.030530   0.013213 
  -217.714      0.000   0.223473        931  -0.075778  -0.084264 
  -163.286      0.000   0.309173        725   0.028378  -0.292853 
  -108.857      0.000   0.338284       1474  -0.024900   0.051904 
   -54.429      0.000   0.370648       1460  -0.005813   0.059129 
     0.000      0.000   0.280946       1352  -0.046679   0.113324 
    54.429      0.000   0.473945        771   0.047461   0.044401 
   108.857      0.000   0.235419       1337  -0.044897  -0.022358 
   163.286      0.000   0.119466        405  -0.013463  -0.075812 
   217.714      0.000   0.000000          0   0.000000   0.000000 
   272.143      0.000   0.097371         38  -0.724954   1.294492 
   326.571      0.000   0.007558          2  -0.978876   1.298017 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.000000          0   0.000000   0.000000 
  -326.571     54.429   0.000000          0   0.000000   0.000000 
  -272.143     54.429   0.095687        295   0.084562   0.034692 
  -217.714     54.429   0.237600        957   0.118063  -0.209108 
  -163.286     54.429   0.286091       1163   0.006905  -0.014344 
  -108.857     54.429   0.296625       1283   0.009141   0.052782 
   -54.429     54.429   0.257184       1019  -0.137435   0.082929 
     0.000     54.429   0.335603       2041  -0.053714   0.079650 
    54.429     54.429   0.399502       1288  -0.060039   0.009909 
   108.857     54.429   0.128192        668  -0.013413  -0.201466 
   163.286     54.429   0.294650         21  -0.314121   0.060483 
   217.714     54.429   0.085294         15  -0.846383   1.118156 
   272.143     54.429   0.098796         28  -0.835848   1.195933 
   326.571     54.429   0.000000          0   0.000000   0.000000 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.000000          0   0.000000   0.000000 
  -272.143    108.857   0.113949        759   0.109096  -0.145129 
  -217.714    108.857   0.242247        849   0.119667  -0.150056 
  -163.286    108.857   0.309155       1394  -0.004210  -0.005897 
  -108.857    108.857   0.210320       2298  -0.034339   0.040825 
   -54.429    108.857   0.183946       1772  -0.016009   0.042093 
     0.000    108.857   0.183613       2541   0.004612   0.059809 
    54.429    108.857   0.405880        362   0.041302  -0.101654 
   108.857    108.857   0.217505       1066  -0.023543  -0.120892 
   163.286    108.857   0.359499        631  -0.039201  -0.019369 
   217.714    108.857   0.338605        346  -0.197143   0.090076 
   272.143    108.857   0.000000          0   0.000000   0.000000 
   326.571    108.857   0.000000          0   0.000000   0.000000 
   381.000    108.857   0.000000          0   0.000000   0.000000 
  -381.000    163.286   0.000000          0   0.000000   0.000000 
  -326.571    163.286   0.139825        277   0.004424  -0.109632 
