    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.000000          0   0.000000   0.000000 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.046403         16   0.991075  -0.186095 
  -163.286   -326.571   0.024535         59   0.868731  -0.027012 
  -108.857   -326.571   0.026011         58   0.772343   0.083694 
   -54.429   -326.571   0.046112          6   0.687630  -0.153297 
     0.000   -326.571   0.116201         86   0.654937  -0.134515 
    54.429   -326.571   0.121376        479   0.371937  -0.163714 
   108.857   -326.571   0.106410        969   0.128209   0.086926 
   163.286   -326.571   0.128379        382   0.060318   0.030558 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.391737         56  -0.075167   0.062622 
  -217.714   -272.143   0.226189        720   0.114739  -0.131846 
  -163.286   -272.143   0.134183        605   0.071947   0.034833 
  -108.857   -272.143   0.173935        728   0.184617  -0.052427 
   -54.429   -272.143   0.142185        871   0.274637  -0.072572 
     0.000   -272.143   0.174661       1369   0.186174  -0.029511 
    54.429   -272.143   0.122820       1201   0.004458   0.026767 
   108.857   -272.143   0.150370       1596   0.039472   0.024337 
   163.286   -272.143   0.106506       2497   0.027154   0.038917 
   217.714   -272.143   0.080591       1392   0.073686   0.026904 
   272.143   -272.143   0.197146         47   0.061931   0.271267 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.110310         67   0.211796  -0.221215 
  -272.143   -217.714   0.145779       1647   0.125089  -0.069580 
  -217.714   -217.714   0.155009       2684   0.050597  -0.012484 
  -163.286   -217.714   0.251468       1276   0.093250  -0.003887 
  -108.857   -217.714   0.140578       2098   0.111443  -0.051421 
   -54.429   -217.714   0.189665        890   0.145499  -0.056858 
     0.000   -217.714   0.164249       2895   0.014352   0.021463 
    54.429   -217.714   0.115804       2974  -0.012538  -0.000395 
   108.857   -217.714   0.145997       3728  -0.006802   0.042157 
   163.286   -217.714   0.116769       3409   0.001461   0.016993 
   217.714   -217.714   0.089230       2862  -0.009860   0.006764 
   272.143   -217.714   0.268121        659  -0.073475   0.090578 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.181833        342   0.090620  -0.326296 
  -272.143   -163.286   0.391480        673  -0.115061  -0.203048 
  -217.714   -163.286   0.226905        972  -0.065231   0.052293 
  -163.286   -163.286   0.108961       3481  -0.000573  -0.020381 
  -108.857   -163.286   0.231762       1393  -0.044796  -0.139601 
   -54.429   -163.286   0.225714       3090   0.009342   0.027579 
     0.000   -163.286   0.200670       3238  -0.016657   0.049189 
    54.429   -163.286   0.174337       2907  -0.023962   0.045007 
   108.857   -163.286   0.122168       3203  -0.051423   0.006638 
   163.286   -163.286   0.169995       2500  -0.010256  -0.003849 
   217.714   -163.286   0.186887       1770  -0.012426   0.036842 
   272.143   -163.286   0.185192       1332   0.041826   0.018947 
   326.571   -163.286   0.079317        265  -0.001630  -0.023574 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.327962        352  -0.080985  -0.124489 
  -272.143   -108.857   0.253744       1689  -0.043207  -0.016890 
  -217.714   -108.857   0.320035       1778  -0.007704  -0.059569 
  -163.286   -108.857   0.162718       2174   0.028815  -0.059134 
  -108.857   -108.857   0.268213       1265   0.019382  -0.082070 
   -54.429   -108.857   0.238114       3006  -0.010940   0.025049 
     0.000   -108.857   0.286025       2531  -0.061282   0.056209 
    54.429   -108.857   0.229190       3204  -0.026078   0.006886 
   108.857   -108.857   0.178310       3956   0.014489   0.037374 
   163.286   -108.857   0.191865       2148  -0.067884   0.000229 
   217.714   -108.857   0.161206       2784  -0.043049   0.029228 
   272.143   -108.857   0.124214       1198  -0.064411  -0.007734 
   326.571   -108.857   0.089538        101  -0.112479  -0.230603 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.241857         29   0.015147   0.348696 
  -326.571    -54.429   0.241635        890   0.009442  -0.036613 
  -272.143    -54.429   0.241568        658   0.042053  -0.153533 
  -217.714    -54.429   0.178583       1367   0.025280  -0.045243 
  -163.286    -54.429   0.210112       2421  -0.001831  -0.032664 
  -108.857    -54.429   0.227663       3305   0.006850  -0.048190 
   -54.429    -54.429   0.279408       3644  -0.005909   0.071983 
     0.000    -54.429   0.246916       3285  -0.037678   0.092376 
    54.429    -54.429   0.207827       4620  -0.024979  -0.037187 
   108.857    -54.429   0.172742       3049  -0.038754   0.001932 
   163.286    -54.429   0.176584       2614  -0.010447   0.005099 
   217.714    -54.429   0.214307        985   0.023521   0.028431 
   272.143    -54.429   0.261261        179   0.229243  -0.047337 
   326.571    -54.429   0.089839        150   0.069537  -0.198531 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.000000          0   0.000000   0.000000 
  -326.571      0.000   0.194428        531   0.083860  -0.108015 
  -272.143      0.000   0.255122       1603   0.082648  -0.116019 
  -217.714      0.000   0.196703       2589   0.117545  -0.026216 
  -163.286      0.000   0.259572       2050   0.056061   0.006631 
  -108.857      0.000   0.265130       4258  -0.015396  -0.035423 
   -54.429      0.000   0.256644       3107  -0.028208   0.130595 
     0.000      0.000   0.230847       2796  -0.014542   0.066313 
    54.429      0.000   0.263155       1803  -0.022951  -0.049312 
   108.857      0.000   0.284207       1816   0.008476   0.035145 
   163.286      0.000   0.255541       2509   0.009099  -0.032602 
   217.714      0.000   0.253524        968   0.005381  -0.039647 
   272.143      0.000   0.344975         82   0.258190  -0.097168 
   326.571      0.000   0.000000          0   0.000000   0.000000 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.146818         45   0.020520  -0.389775 
  -326.571     54.429   0.362669        584   0.020929  -0.271792 
  -272.143     54.429   0.242668       1476   0.028353  -0.113107 
  -217.714     54.429   0.237225       2122  -0.100484  -0.042380 
  -163.286     54.429   0.226050       2768  -0.048492   0.024750 
  -108.857     54.429   0.252322       3156   0.002283   0.031017 
   -54.429     54.429   0.294149       3099   0.001456   0.028462 
     0.000     54.429   0.257987       3743  -0.003748   0.085765 
    54.429     54.429   0.224297       3531  -0.018248   0.021342 
   108.857     54.429   0.207456       3781  -0.039941  -0.053338 
   163.286     54.429   0.258172       3158   0.014170  -0.024421 
   217.714     54.429   0.209022       1043   0.090230   0.014048 
   272.143     54.429   0.074024         79   0.382729   0.258638 
   326.571     54.429   0.000000          0   0.000000   0.000000 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.255796        665  -0.107106  -0.082799 
  -272.143    108.857   0.234612       1389  -0.128140  -0.175132 
  -217.714    108.857   0.336286        750  -0.097814   0.062315 
  -163.286    108.857   0.249784       2458   0.025312  -0.004188 
  -108.857    108.857   0.276457       2676  -0.005235   0.008993 
   -54.429    108.857   0.256188       2814  -0.008160   0.010939 
     0.000    108.857   0.236889       4591   0.018412   0.077815 
    54.429    108.857   0.280243       3334   0.033811   0.033503 
   108.857    108.857   0.253768       2986   0.036097  -0.063562 
   163.286    108.857   0.235975       2702  -0.003517  -0.036334 
   217.714    108.857   0.201392       1944  -0.044427  -0.005987 
   272.143    108.857   0.111446        231  -0.067964   0.206293 
   326.571    108.857   0.000000          0   0.000000   0.000000 
   381.000    108.857   0.000000          0   0.000000   0.000000 
  -381.000    163.286   0.000000          0   0.000000   0.000000 
