    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.575573          9   1.021361   0.079403 
     0.000   -381.000   0.277960         25   0.079308   0.030044 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.000000          0   0.000000   0.000000 
  -163.286   -326.571   0.286751        290   0.051701   0.094379 
  -108.857   -326.571   0.337701       1087   0.010193  -0.033097 
   -54.429   -326.571   0.626693        283   0.192401  -0.118195 
     0.000   -326.571   0.753982        209   0.274212   0.125455 
    54.429   -326.571   0.234153        305   0.400789   0.011726 
   108.857   -326.571   0.252467        747   0.192742   0.012020 
   163.286   -326.571   0.258199        250   0.330283   0.043534 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.241186        188   0.011339   0.029765 
  -217.714   -272.143   0.163650        813   0.003003  -0.035573 
  -163.286   -272.143   0.313727        757   0.001649   0.016954 
  -108.857   -272.143   0.304896       1091   0.052888  -0.037506 
   -54.429   -272.143   0.438790        942   0.015429   0.012439 
     0.000   -272.143   0.262873       1673   0.038918  -0.051100 
    54.429   -272.143   0.199697       2164   0.028773  -0.050003 
   108.857   -272.143   0.295248       1115   0.146058   0.009775 
   163.286   -272.143   0.154579       3143   0.053294   0.059770 
   217.714   -272.143   0.291833       1262   0.053927   0.051427 
   272.143   -272.143   0.000000          0   0.000000   0.000000 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.332889        102   0.038842  -0.079343 
  -272.143   -217.714   0.216816       1586   0.078755  -0.069218 
  -217.714   -217.714   0.206032       2520   0.118462   0.009977 
  -163.286   -217.714   0.278561        809   0.109361   0.035221 
  -108.857   -217.714   0.248342       1152   0.066098  -0.131735 
   -54.429   -217.714   0.273233       1247   0.117286   0.077216 
     0.000   -217.714   0.274353       3598   0.041598  -0.046030 
    54.429   -217.714   0.201976       3790   0.018012   0.009637 
   108.857   -217.714   0.205323       2472  -0.016982  -0.020178 
   163.286   -217.714   0.170526       4254  -0.021842   0.042589 
   217.714   -217.714   0.365574        875  -0.002078   0.069710 
   272.143   -217.714   0.443441        234   0.276150   0.079384 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.100924          6  -0.272074  -0.484373 
  -272.143   -163.286   0.216576       1471  -0.023228  -0.172510 
  -217.714   -163.286   0.291151       1679  -0.010280  -0.085034 
  -163.286   -163.286   0.222578       4449   0.013008   0.053586 
  -108.857   -163.286   0.230470       2976  -0.001205  -0.031841 
   -54.429   -163.286   0.250143       2541  -0.006155  -0.032610 
     0.000   -163.286   0.262387       2187   0.008865  -0.025079 
    54.429   -163.286   0.197630       3996   0.014220   0.019059 
   108.857   -163.286   0.173949       4476  -0.025087  -0.008148 
   163.286   -163.286   0.199113       2142   0.044578  -0.005078 
   217.714   -163.286   0.341199       1587   0.064545   0.035277 
   272.143   -163.286   0.330665        933   0.034405   0.147286 
   326.571   -163.286   0.064394         15  -0.040287   1.240366 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.194828        696   0.143421  -0.224770 
  -272.143   -108.857   0.263933        526   0.215958  -0.176007 
  -217.714   -108.857   0.565204        527  -0.190196  -0.169468 
  -163.286   -108.857   0.222688       3921   0.017396   0.009486 
  -108.857   -108.857   0.320867       2476  -0.002694   0.014214 
   -54.429   -108.857   0.330486       2738  -0.009406  -0.044338 
     0.000   -108.857   0.322752       3735   0.005063  -0.032450 
    54.429   -108.857   0.259838       2386  -0.035321   0.094994 
   108.857   -108.857   0.192712       3817  -0.031529  -0.037953 
   163.286   -108.857   0.210720       3278  -0.081937   0.007761 
   217.714   -108.857   0.174128       4242  -0.034861   0.019931 
   272.143   -108.857   0.261612       1668  -0.076243   0.078741 
   326.571   -108.857   0.000000          0   0.000000   0.000000 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.113645          6  -1.132586   0.813819 
  -326.571    -54.429   0.308907        497  -0.267824  -0.172037 
  -272.143    -54.429   0.261726        985  -0.172792  -0.019698 
  -217.714    -54.429   0.332304       1126  -0.174909  -0.091287 
  -163.286    -54.429   0.306652       2330  -0.094643   0.019575 
  -108.857    -54.429   0.296693       2289  -0.010840  -0.076396 
   -54.429    -54.429   0.377658       2153   0.089913  -0.013457 
     0.000    -54.429   0.374628       2448   0.014663  -0.017025 
    54.429    -54.429   0.288661       2568   0.026842   0.019254 
   108.857    -54.429   0.299840       2866   0.033837   0.028576 
   163.286    -54.429   0.240765       1861   0.061953   0.013465 
   217.714    -54.429   0.222194       2288  -0.022703   0.024133 
   272.143    -54.429   0.435642        259  -0.032276   0.132281 
   326.571    -54.429   0.000000          0   0.000000   0.000000 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.091971         17   0.421960   0.527853 
  -326.571      0.000   0.342287        173   0.370727   0.116012 
  -272.143      0.000   0.301154        733   0.021846  -0.155157 
  -217.714      0.000   0.229534       1980   0.055651  -0.001417 
  -163.286      0.000   0.393904       2099   0.035368   0.004979 
  -108.857      0.000   0.311295       2353   0.017202  -0.078680 
   -54.429      0.000   0.297316       2809  -0.022018  -0.080216 
     0.000      0.000   0.293285       2555   0.032597   0.068478 
    54.429      0.000   0.341873       3261  -0.051705   0.024062 
   108.857      0.000   0.229356       3141  -0.017139   0.012404 
   163.286      0.000   0.270662       1653  -0.059284   0.052305 
   217.714      0.000   0.273328       1706  -0.011819   0.008202 
   272.143      0.000   0.116467        224  -0.008078   0.033867 
   326.571      0.000   0.000000          0   0.000000   0.000000 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.350796         18   0.016674  -0.099212 
  -326.571     54.429   0.276643        733   0.007062  -0.072354 
  -272.143     54.429   0.248030       2076   0.050823  -0.063073 
  -217.714     54.429   0.218440       2805   0.045401  -0.024736 
  -163.286     54.429   0.255318       3246   0.088102  -0.010567 
  -108.857     54.429   0.331854       3211   0.074600   0.003838 
   -54.429     54.429   0.338151       2397  -0.043413  -0.002404 
     0.000     54.429   0.333840       2863  -0.058755   0.033754 
    54.429     54.429   0.264472       2785  -0.025149   0.011749 
   108.857     54.429   0.196372       3042  -0.031364   0.040485 
   163.286     54.429   0.261576       2197  -0.024983  -0.012660 
   217.714     54.429   0.265930       1715  -0.026258  -0.009219 
   272.143     54.429   0.113672        326  -0.001098  -0.006838 
   326.571     54.429   0.000000          0   0.000000   0.000000 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.441911        563  -0.043169  -0.126845 
  -272.143    108.857   0.196623       1065  -0.061846  -0.099807 
  -217.714    108.857   0.282994       1664  -0.000695  -0.136197 
  -163.286    108.857   0.353258       2061   0.095859  -0.059047 
  -108.857    108.857   0.335083       2169   0.027217   0.120109 
   -54.429    108.857   0.320571       3087   0.010489   0.069486 
     0.000    108.857   0.307135       4505  -0.049419   0.027656 
    54.429    108.857   0.292481       3152  -0.083716  -0.018808 
   108.857    108.857   0.223454       3847   0.034192  -0.024035 
   163.286    108.857   0.311260       2626   0.015674   0.017081 
   217.714    108.857   0.323449        730   0.114890   0.012735 
   272.143    108.857   0.092824         75   0.074749   0.233560 
   326.571    108.857   0.000000          0   0.000000   0.000000 
   381.000    108.857   0.000000          0   0.000000   0.000000 
  -381.000    163.286   0.000000          0   0.000000   0.000000 
