    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.639566         61  -0.276241   0.335075 
   -58.286   -349.714   0.014463         13  -1.106186  -1.463955 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.199004        262   0.454777  -0.208362 
   116.571   -349.714   0.187129        501   0.358869  -0.018924 
   174.857   -349.714   0.348879        380   0.303721   0.176939 
   233.143   -349.714   0.008278          2   0.718365   0.943981 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.149231        155   0.296610  -0.272617 
  -116.571   -291.429   0.208072        230   0.199387   0.300897 
   -58.286   -291.429   0.674996        271   0.156702  -0.194331 
     0.000   -291.429   0.194884        865   0.227792  -0.175941 
    58.286   -291.429   0.249725        467   0.336638  -0.103302 
   116.571   -291.429   0.220774       2208   0.125495  -0.074643 
   174.857   -291.429   0.246205       2206   0.172640   0.044317 
   233.143   -291.429   0.293494       1679   0.091822   0.181598 
   291.429   -291.429   0.273136        193  -0.041376  -0.042991 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.201166        335   0.213344  -0.169381 
  -233.143   -233.143   0.145974        714   0.330561  -0.075620 
  -174.857   -233.143   0.164492        589   0.290478   0.033299 
  -116.571   -233.143   0.159511        453   0.232286  -0.041058 
   -58.286   -233.143   0.248019        325   0.274006  -0.175254 
     0.000   -233.143   0.414787        394   0.097924  -0.376407 
    58.286   -233.143   0.303763       1537   0.140089  -0.132476 
   116.571   -233.143   0.273669       1864   0.095761  -0.042835 
   174.857   -233.143   0.303045       2976   0.037701  -0.018370 
   233.143   -233.143   0.286982       3406   0.048763   0.139055 
   291.429   -233.143   0.189297       1720   0.054762   0.064052 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.014213         51   0.177385  -0.287950 
  -291.429   -174.857   0.180329        663   0.067354  -0.336894 
  -233.143   -174.857   0.252063        652   0.118540  -0.233818 
  -174.857   -174.857   0.202387        949   0.250575   0.062098 
