    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.000000          0   0.000000   0.000000 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.000000          0   0.000000   0.000000 
  -163.286   -326.571   0.042802        295   0.047468   0.001589 
  -108.857   -326.571   0.000000          0   0.000000   0.000000 
   -54.429   -326.571   0.000000          0   0.000000   0.000000 
     0.000   -326.571   0.106121        310   0.006537   0.000584 
    54.429   -326.571   0.100583        143   0.312638  -0.140495 
   108.857   -326.571   0.098310        149   0.340087   0.120898 
   163.286   -326.571   0.532615         54   0.466930   0.050356 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.265229        123   0.036696  -0.112932 
  -217.714   -272.143   0.148553       1364   0.105466   0.009662 
  -163.286   -272.143   0.126019        531   0.047059  -0.012287 
  -108.857   -272.143   0.021840         84   0.142295   0.121480 
   -54.429   -272.143   0.080041        135   0.395173  -0.216018 
     0.000   -272.143   0.094774       1028   0.112479  -0.066962 
    54.429   -272.143   0.130796       1080   0.140449   0.032773 
   108.857   -272.143   0.052803        792   0.018475   0.032883 
   163.286   -272.143   0.128487       1568  -0.030493   0.021747 
   217.714   -272.143   0.124316       1892  -0.048429   0.003297 
   272.143   -272.143   0.031910         99   0.019129   0.037618 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.000000          0   0.000000   0.000000 
  -272.143   -217.714   0.114081        583   0.024207  -0.085808 
  -217.714   -217.714   0.159543       2487  -0.037504  -0.030680 
  -163.286   -217.714   0.125234       2999   0.014070   0.024328 
  -108.857   -217.714   0.115683       1120   0.106473  -0.043712 
   -54.429   -217.714   0.111891       1508   0.088335   0.028880 
     0.000   -217.714   0.105254       2136   0.017058  -0.015927 
    54.429   -217.714   0.131505       2205  -0.005766  -0.028969 
   108.857   -217.714   0.114309       2915   0.019241   0.063061 
   163.286   -217.714   0.186410       2738  -0.009901   0.019592 
   217.714   -217.714   0.175853       1498   0.057318  -0.049150 
   272.143   -217.714   0.323305        259  -0.015410  -0.056016 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.000000          0   0.000000   0.000000 
  -272.143   -163.286   0.106522        485   0.093244  -0.152998 
  -217.714   -163.286   0.081370       2762   0.029374  -0.024091 
  -163.286   -163.286   0.115001       3017  -0.012129   0.055261 
  -108.857   -163.286   0.179586       2685  -0.017430  -0.054881 
   -54.429   -163.286   0.132538       3220   0.000611  -0.042270 
     0.000   -163.286   0.133055       3087   0.039667   0.005459 
    54.429   -163.286   0.153538       3616   0.005398   0.017615 
   108.857   -163.286   0.105390       4681  -0.015217   0.057071 
   163.286   -163.286   0.129841       3832   0.024388  -0.008443 
   217.714   -163.286   0.172525       1184   0.025337  -0.026303 
   272.143   -163.286   0.000000          0   0.000000   0.000000 
   326.571   -163.286   0.000000          0   0.000000   0.000000 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.036735        131   0.237620  -0.229594 
  -272.143   -108.857   0.138111        891   0.097472  -0.168529 
  -217.714   -108.857   0.105497        872   0.101797  -0.009307 
  -163.286   -108.857   0.100499       3219   0.030651   0.072382 
  -108.857   -108.857   0.151744       3820  -0.004972  -0.027211 
   -54.429   -108.857   0.136121       3449  -0.016449  -0.048700 
     0.000   -108.857   0.171523       3279   0.007613   0.022761 
    54.429   -108.857   0.170082       3595  -0.029062   0.031414 
   108.857   -108.857   0.156477       2966   0.018285   0.006050 
   163.286   -108.857   0.138642       2798   0.003442   0.031334 
   217.714   -108.857   0.140001       1732  -0.032542   0.005764 
   272.143   -108.857   0.000000          0   0.000000   0.000000 
   326.571   -108.857   0.000000          0   0.000000   0.000000 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.226786         30   0.086069  -0.276303 
  -326.571    -54.429   0.086223        419   0.214711  -0.216317 
  -272.143    -54.429   0.148792        723  -0.000538  -0.148568 
  -217.714    -54.429   0.094415       2683  -0.011775   0.006067 
  -163.286    -54.429   0.123328       3018  -0.008620   0.026356 
  -108.857    -54.429   0.170142       3507  -0.040104   0.031206 
   -54.429    -54.429   0.194422       2959  -0.038444  -0.085967 
     0.000    -54.429   0.188239       2922  -0.073080   0.050665 
    54.429    -54.429   0.221531       1665  -0.054907   0.003938 
   108.857    -54.429   0.159119       3595   0.011088  -0.031001 
   163.286    -54.429   0.134163       3106   0.043066   0.053101 
   217.714    -54.429   0.140853        620   0.122065   0.057238 
   272.143    -54.429   0.000000          0   0.000000   0.000000 
   326.571    -54.429   0.000000          0   0.000000   0.000000 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.055955          6  -0.279515  -0.134792 
  -326.571      0.000   0.110149        394  -0.303754  -0.146741 
  -272.143      0.000   0.328064        409  -0.153150  -0.252478 
  -217.714      0.000   0.113840       1734   0.013557  -0.019187 
  -163.286      0.000   0.146860       2245   0.018056   0.061777 
  -108.857      0.000   0.261040       2169   0.031801   0.011711 
   -54.429      0.000   0.241754       3263  -0.001152  -0.020243 
     0.000      0.000   0.214172       3185  -0.043330   0.027749 
    54.429      0.000   0.196047       4091  -0.021567   0.002895 
   108.857      0.000   0.183902       3178  -0.016403  -0.070197 
   163.286      0.000   0.198607       2240  -0.024976   0.046282 
   217.714      0.000   0.120714       1616  -0.005218   0.062232 
   272.143      0.000   0.089184        528  -0.000864  -0.019763 
   326.571      0.000   0.000000          0   0.000000   0.000000 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.000000          0   0.000000   0.000000 
  -326.571     54.429   0.035658        163   0.054101  -0.256733 
  -272.143     54.429   0.095641       1166   0.015059  -0.082613 
  -217.714     54.429   0.129927       2903  -0.009311  -0.024280 
  -163.286     54.429   0.162068       2098  -0.052903   0.055452 
  -108.857     54.429   0.188200       2252  -0.035277   0.065611 
   -54.429     54.429   0.260954       2783  -0.062001   0.002423 
     0.000     54.429   0.269189       2107  -0.092815   0.051402 
    54.429     54.429   0.252226       2725  -0.042781  -0.099769 
   108.857     54.429   0.205789       3144  -0.029522  -0.006128 
   163.286     54.429   0.191818       2797  -0.028045   0.047023 
   217.714     54.429   0.102407        735  -0.052743   0.032378 
   272.143     54.429   0.025644        131  -0.003035  -0.081274 
   326.571     54.429   0.000000          0   0.000000   0.000000 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.032129         45  -0.188075  -0.278142 
  -272.143    108.857   0.080775       1746  -0.067045  -0.038020 
  -217.714    108.857   0.106158       3091  -0.068909   0.013365 
  -163.286    108.857   0.112373       3836  -0.017986  -0.008477 
  -108.857    108.857   0.147076       3503   0.043706   0.002700 
   -54.429    108.857   0.187853       4090   0.037248   0.038980 
     0.000    108.857   0.177066       4601   0.024973   0.039258 
    54.429    108.857   0.166014       4026  -0.013004  -0.022101 
   108.857    108.857   0.215774       4498   0.000960  -0.068211 
   163.286    108.857   0.179205       2571   0.055784   0.014542 
   217.714    108.857   0.164662       1091   0.094920   0.068457 
   272.143    108.857   0.000000          0   0.000000   0.000000 
   326.571    108.857   0.000000          0   0.000000   0.000000 
   381.000    108.857   0.000000          0   0.000000   0.000000 
  -381.000    163.286   0.000000          0   0.000000   0.000000 
  -326.571    163.286   0.051575        255   0.002494   0.093963 
