    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.000000          0   0.000000   0.000000 
   -58.286   -349.714   0.000000          0   0.000000   0.000000 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.000000          0   0.000000   0.000000 
   116.571   -349.714   0.000000          0   0.000000   0.000000 
   174.857   -349.714   0.042230        284   0.007387   0.000230 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.000000          0   0.000000   0.000000 
  -116.571   -291.429   0.000000          0   0.000000   0.000000 
   -58.286   -291.429   0.039194        431  -0.123482   0.047913 
     0.000   -291.429   0.030908        553  -0.206584   0.002381 
    58.286   -291.429   0.053901       1803  -0.073999   0.023931 
   116.571   -291.429   0.044412       1726  -0.080134   0.000691 
   174.857   -291.429   0.042121       6141  -0.026707  -0.009201 
   233.143   -291.429   0.035685       2763   0.007162  -0.007403 
   291.429   -291.429   0.054443         76   0.084816   0.033672 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.000000          0   0.000000   0.000000 
  -233.143   -233.143   0.000000          0   0.000000   0.000000 
  -174.857   -233.143   0.018659        190  -0.171202   0.065715 
  -116.571   -233.143   0.038409       1087  -0.107260   0.070884 
   -58.286   -233.143   0.036500       2849  -0.102247   0.041744 
     0.000   -233.143   0.034376       6314  -0.086858   0.045016 
    58.286   -233.143   0.043668       9368  -0.090872  -0.006565 
   116.571   -233.143   0.045473       7700  -0.070625  -0.015843 
   174.857   -233.143   0.043415       5682  -0.056442  -0.024170 
   233.143   -233.143   0.039232      11454  -0.021281  -0.021563 
   291.429   -233.143   0.037800       1904  -0.009637  -0.002054 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.000000          0   0.000000   0.000000 
  -233.143   -174.857   0.000000          0   0.000000   0.000000 
  -174.857   -174.857   0.045143       2201  -0.024057   0.071593 
