    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.159868        209   0.147548   0.015647 
   -58.286   -349.714   0.053474         36  -0.192051  -0.074839 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.013614         17   0.374362  -0.552353 
   116.571   -349.714   0.137420        203   0.204434   0.047195 
   174.857   -349.714   0.109819        223   0.048020   0.002731 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.099479        102   0.262256  -0.306798 
  -174.857   -291.429   0.060349        158   0.345427   0.055523 
  -116.571   -291.429   0.199684        402   0.137629   0.052051 
   -58.286   -291.429   0.153703        965   0.006862   0.023212 
     0.000   -291.429   0.134766        245  -0.065331  -0.071792 
    58.286   -291.429   0.067101       2680   0.000507  -0.011474 
   116.571   -291.429   0.097518       1607  -0.056539   0.016971 
   174.857   -291.429   0.112031       2519   0.043838  -0.031138 
   233.143   -291.429   0.084727       8056   0.017747   0.010080 
   291.429   -291.429   0.060394        791   0.016999   0.016434 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.081314         94   0.320057  -0.213692 
  -233.143   -233.143   0.110548        598   0.119013  -0.183699 
  -174.857   -233.143   0.090321        718   0.175044   0.045184 
  -116.571   -233.143   0.182429        892   0.087835  -0.025132 
   -58.286   -233.143   0.133748       2013   0.055807   0.049518 
     0.000   -233.143   0.131395       3718  -0.020077   0.004800 
    58.286   -233.143   0.082132       4782  -0.012899   0.000776 
   116.571   -233.143   0.088514       6581   0.035750  -0.027032 
   174.857   -233.143   0.097435       6122   0.022691  -0.006629 
   233.143   -233.143   0.097348       5968   0.002222   0.000975 
   291.429   -233.143   0.092915       5181   0.029339   0.040748 
   349.714   -233.143   0.089955        160   0.055166   0.020624 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.179449        459  -0.039340  -0.156369 
  -233.143   -174.857   0.208065        695   0.037944  -0.062894 
  -174.857   -174.857   0.158394       2015   0.003868  -0.010503 
