    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.113873        145   0.423509  -0.038489 
  -116.571   -349.714   0.121511        617   0.194497  -0.087825 
   -58.286   -349.714   0.183287        687   0.373134  -0.117728 
     0.000   -349.714   0.197801       1443   0.270862   0.004846 
    58.286   -349.714   0.267135       2124   0.202791  -0.005740 
   116.571   -349.714   0.283311       2235   0.220789   0.043403 
   174.857   -349.714   0.210803       1918   0.096588   0.038192 
   233.143   -349.714   0.185029         72  -0.035289  -0.012344 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.259251        541   0.162412  -0.123385 
  -174.857   -291.429   0.212035       1663   0.110908  -0.103744 
  -116.571   -291.429   0.177988       2550   0.169905  -0.043254 
   -58.286   -291.429   0.229035       2787   0.113208  -0.058549 
     0.000   -291.429   0.225835       3015   0.166763  -0.100303 
    58.286   -291.429   0.227221       4950   0.087865   0.024310 
   116.571   -291.429   0.248833       3539   0.078899   0.027241 
   174.857   -291.429   0.224262       5112   0.068565   0.055385 
   233.143   -291.429   0.195741       6766   0.068608   0.034732 
   291.429   -291.429   0.161667        577   0.130834   0.119106 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.195522        843   0.139977  -0.182813 
  -233.143   -233.143   0.207949       2182   0.173032  -0.083286 
  -174.857   -233.143   0.220584       2681   0.164095  -0.078423 
  -116.571   -233.143   0.231960       2869   0.028349  -0.043562 
   -58.286   -233.143   0.258727       3609   0.057846  -0.038996 
     0.000   -233.143   0.269311       2344   0.019249  -0.045490 
    58.286   -233.143   0.224096       5392   0.031613  -0.009412 
   116.571   -233.143   0.238028       4896   0.048632   0.028733 
   174.857   -233.143   0.263694       4002   0.074902   0.015000 
   233.143   -233.143   0.204408       5203   0.042717   0.018918 
   291.429   -233.143   0.223425       5818   0.087959   0.101920 
   349.714   -233.143   0.338725        113   0.042662   0.053422 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.130032         52   0.210243  -0.698369 
  -291.429   -174.857   0.208999       1203   0.136343  -0.211986 
  -233.143   -174.857   0.199663       2647   0.058627  -0.150270 
