    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.358518        575   0.171774  -0.191557 
  -116.571   -349.714   0.264459       2633   0.135889  -0.039694 
   -58.286   -349.714   0.270086       3205   0.180401   0.000080 
     0.000   -349.714   0.308404       3383   0.176644  -0.023429 
    58.286   -349.714   0.270036       4685   0.137868   0.018219 
   116.571   -349.714   0.328885       2658   0.216960   0.045405 
   174.857   -349.714   0.197736       4191   0.080410   0.030511 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.161826         40   0.115791  -0.000086 
  -233.143   -291.429   0.235503       2678   0.086107  -0.045876 
  -174.857   -291.429   0.285755       3802   0.111656  -0.084023 
  -116.571   -291.429   0.275666       4411   0.091631  -0.050963 
   -58.286   -291.429   0.357813       3974   0.105721  -0.010378 
     0.000   -291.429   0.296231       5021   0.082954  -0.035906 
    58.286   -291.429   0.339019       3839   0.157244   0.023296 
   116.571   -291.429   0.228974       4306   0.107599  -0.010687 
   174.857   -291.429   0.267020       6489   0.097382   0.025738 
   233.143   -291.429   0.286444       5638   0.120215   0.110487 
   291.429   -291.429   0.343536        228   0.174542   0.180963 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.235780       1841   0.160547  -0.157064 
  -233.143   -233.143   0.270900       6293   0.089482  -0.084093 
  -174.857   -233.143   0.261340       4833   0.085476  -0.018255 
  -116.571   -233.143   0.319526       3313   0.122454  -0.084454 
   -58.286   -233.143   0.301849       5457   0.084769  -0.045479 
     0.000   -233.143   0.336742       5094   0.129012  -0.019160 
    58.286   -233.143   0.289158       5849   0.049955   0.021209 
   116.571   -233.143   0.324551       4442   0.087955   0.053878 
   174.857   -233.143   0.327936       6136   0.081782  -0.025219 
   233.143   -233.143   0.359510       4645   0.154374   0.072577 
   291.429   -233.143   0.292304       7274   0.109981   0.126755 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.226561        616   0.096045  -0.185578 
  -291.429   -174.857   0.277355       4016   0.077877  -0.207172 
  -233.143   -174.857   0.336407       3511  -0.002386   0.027791 
