    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.000000          0   0.000000   0.000000 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.000000          0   0.000000   0.000000 
  -163.286   -326.571   0.000000          0   0.000000   0.000000 
  -108.857   -326.571   0.000000          0   0.000000   0.000000 
   -54.429   -326.571   0.044665        437  -0.067268   0.001285 
     0.000   -326.571   0.037231        209  -0.004774   0.001397 
    54.429   -326.571   0.000000          0   0.000000   0.000000 
   108.857   -326.571   0.058608        913   0.057490   0.007140 
   163.286   -326.571   0.101980        763  -0.000020  -0.005681 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.102684        272   0.069140   0.047682 
  -217.714   -272.143   0.061389       2639  -0.009982  -0.013341 
  -163.286   -272.143   0.053810       1703  -0.001267   0.001760 
  -108.857   -272.143   0.062105       2509   0.004872   0.016720 
   -54.429   -272.143   0.053589       3212   0.018806   0.014265 
     0.000   -272.143   0.074588       2950  -0.018459  -0.021175 
    54.429   -272.143   0.057339       2858  -0.010759   0.004766 
   108.857   -272.143   0.063538       4085  -0.042223   0.000618 
   163.286   -272.143   0.054071       4033  -0.005812   0.013603 
   217.714   -272.143   0.055854       5827   0.017040  -0.003358 
   272.143   -272.143   0.085796        104  -0.026343   0.009990 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.082015        251   0.043446  -0.013062 
  -272.143   -217.714   0.057980       3793   0.059130  -0.043219 
  -217.714   -217.714   0.064246       7068   0.033873   0.018384 
  -163.286   -217.714   0.067916       4330  -0.015460   0.033972 
  -108.857   -217.714   0.067499       4819  -0.064916   0.009449 
   -54.429   -217.714   0.076781       4888  -0.045113  -0.014686 
     0.000   -217.714   0.073776       6977  -0.025142   0.013095 
    54.429   -217.714   0.083277       4289  -0.064892  -0.027100 
   108.857   -217.714   0.059256       8314   0.000751   0.000325 
   163.286   -217.714   0.074664       3183  -0.002875   0.004521 
   217.714   -217.714   0.063390       8177  -0.014654  -0.014294 
   272.143   -217.714   0.047490       2837  -0.001290   0.009193 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.076076       1002   0.014984  -0.113352 
  -272.143   -163.286   0.089389       4953  -0.032153  -0.024962 
  -217.714   -163.286   0.084696       5009  -0.044760   0.061801 
  -163.286   -163.286   0.088732       5949  -0.061158   0.034556 
  -108.857   -163.286   0.071886       6734  -0.023988   0.000152 
   -54.429   -163.286   0.089305       7442  -0.023851  -0.008485 
     0.000   -163.286   0.090658       6928  -0.024783   0.009875 
    54.429   -163.286   0.099760       6222  -0.001213  -0.012502 
   108.857   -163.286   0.081867       6781  -0.025450  -0.003214 
   163.286   -163.286   0.080383       6325  -0.028975  -0.010469 
   217.714   -163.286   0.056270       5998  -0.017583  -0.019787 
   272.143   -163.286   0.057066       3377  -0.020000  -0.011687 
   326.571   -163.286   0.084412         70  -0.006594   0.156359 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.060575        942  -0.023907  -0.086814 
  -272.143   -108.857   0.072287       2537   0.007000   0.010670 
  -217.714   -108.857   0.083031       4020  -0.004251   0.065629 
  -163.286   -108.857   0.070403       7056   0.021460   0.041724 
  -108.857   -108.857   0.091221       4675  -0.003447   0.000889 
   -54.429   -108.857   0.086131       8508  -0.024114   0.001437 
     0.000   -108.857   0.092103       5937  -0.011101  -0.030244 
    54.429   -108.857   0.082246       5918  -0.006780  -0.016355 
   108.857   -108.857   0.098438       7440  -0.019395   0.005614 
   163.286   -108.857   0.078991       5338  -0.004458   0.002184 
   217.714   -108.857   0.071595       6043  -0.017009  -0.023968 
   272.143   -108.857   0.060840       1976  -0.002568  -0.046778 
   326.571   -108.857   0.011506         88  -0.001789  -0.010449 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.000000          0   0.000000   0.000000 
  -326.571    -54.429   0.036194        242   0.000839  -0.028665 
  -272.143    -54.429   0.084117       3048  -0.040286   0.012086 
  -217.714    -54.429   0.075692       4669  -0.009673   0.021683 
  -163.286    -54.429   0.098340       8082  -0.006975   0.039325 
  -108.857    -54.429   0.083351       6174  -0.025125   0.038312 
   -54.429    -54.429   0.096389       6920  -0.014563  -0.000682 
     0.000    -54.429   0.126408       5197  -0.028628  -0.017600 
    54.429    -54.429   0.103908       7675  -0.027218  -0.023147 
   108.857    -54.429   0.103249       7345   0.005097  -0.010659 
   163.286    -54.429   0.096612       4390  -0.028530   0.002470 
   217.714    -54.429   0.058841       3274   0.005943  -0.067248 
   272.143    -54.429   0.045095        686  -0.101706  -0.123476 
   326.571    -54.429   0.000000          0   0.000000   0.000000 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.000000          0   0.000000   0.000000 
  -326.571      0.000   0.107632        119  -0.007245   0.117946 
  -272.143      0.000   0.083328       1733   0.015247   0.032755 
  -217.714      0.000   0.071559       6070  -0.002859   0.019708 
  -163.286      0.000   0.105028       4740  -0.013585   0.083259 
  -108.857      0.000   0.097992       6181  -0.017989   0.031720 
   -54.429      0.000   0.110504       7563  -0.006108  -0.007451 
     0.000      0.000   0.100015       7362   0.000963  -0.015646 
    54.429      0.000   0.092106       7400   0.010349  -0.013216 
   108.857      0.000   0.097878       6676  -0.010382  -0.009042 
   163.286      0.000   0.095571       7331  -0.005147  -0.004574 
   217.714      0.000   0.079805       5369  -0.007411  -0.036214 
   272.143      0.000   0.060545       3216   0.006695  -0.049589 
   326.571      0.000   0.011276          8  -0.210461   0.010925 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.000000          0   0.000000   0.000000 
  -326.571     54.429   0.053843        607   0.022313  -0.073378 
  -272.143     54.429   0.077464       2649  -0.029099   0.053021 
  -217.714     54.429   0.108582       3821  -0.042757   0.032088 
  -163.286     54.429   0.089056       7076   0.010447   0.039278 
  -108.857     54.429   0.093765       6557   0.026960   0.026646 
   -54.429     54.429   0.100987       7776   0.005023   0.008487 
     0.000     54.429   0.114191       5994  -0.018763  -0.021324 
    54.429     54.429   0.122321       6856  -0.015915  -0.028107 
   108.857     54.429   0.123768       4822   0.018891   0.016622 
   163.286     54.429   0.110261       5717   0.003356  -0.017780 
   217.714     54.429   0.083918       4437   0.027694  -0.064514 
   272.143     54.429   0.063703       1606   0.033445  -0.020882 
   326.571     54.429   0.024982         71   0.020906  -0.063208 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.045466        515  -0.022431  -0.038954 
  -272.143    108.857   0.068691       6711   0.004337   0.029803 
  -217.714    108.857   0.086098       6721   0.012818   0.023996 
  -163.286    108.857   0.094343       6843  -0.015430   0.021436 
  -108.857    108.857   0.085476       7539   0.002457   0.017271 
   -54.429    108.857   0.089559       7767   0.013380   0.027195 
     0.000    108.857   0.086335       6001   0.011429  -0.023985 
    54.429    108.857   0.091689       8298  -0.005257  -0.008152 
   108.857    108.857   0.117654       5396  -0.030503  -0.034136 
   163.286    108.857   0.102171       8875   0.015596  -0.028001 
   217.714    108.857   0.075321       3675   0.028257  -0.028213 
   272.143    108.857   0.038007       1085   0.028168  -0.029870 
   326.571    108.857   0.000000          0   0.000000   0.000000 
   381.000    108.857   0.000000          0   0.000000   0.000000 
