    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.152218         19   0.250439  -0.005728 
     0.000   -381.000   0.110533        163   0.511113   0.015548 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.165832        210   0.135548  -0.058669 
  -163.286   -326.571   0.163928       1815   0.082650  -0.020780 
  -108.857   -326.571   0.209491       1821   0.176328  -0.055631 
   -54.429   -326.571   0.199140       1638   0.259648  -0.093850 
     0.000   -326.571   0.148571       2739   0.190477  -0.003038 
    54.429   -326.571   0.147027       2842   0.183901   0.023755 
   108.857   -326.571   0.139957       3769   0.093674   0.053541 
   163.286   -326.571   0.159292       1692   0.106997   0.029804 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.193186       1059   0.047204   0.000997 
  -217.714   -272.143   0.160093       5866   0.057442  -0.052834 
  -163.286   -272.143   0.147495       6783   0.068347  -0.029881 
  -108.857   -272.143   0.179452       4101   0.089480  -0.015531 
   -54.429   -272.143   0.163360       4211   0.099872  -0.025725 
     0.000   -272.143   0.172971       3896   0.060344  -0.041414 
    54.429   -272.143   0.146288       4442   0.061638   0.039632 
   108.857   -272.143   0.189166       5293   0.058931   0.017913 
   163.286   -272.143   0.161010       7071   0.059353   0.025665 
   217.714   -272.143   0.209013       5332   0.095768   0.065748 
   272.143   -272.143   0.349029         67   0.109338   0.124667 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.124104        323   0.025750   0.032193 
  -272.143   -217.714   0.149110       8953   0.029417  -0.043281 
  -217.714   -217.714   0.180210       4538   0.044256  -0.047889 
  -163.286   -217.714   0.164828       4983   0.002783  -0.027125 
  -108.857   -217.714   0.165558       5260   0.021472  -0.020717 
   -54.429   -217.714   0.204822       3107   0.029627  -0.070186 
     0.000   -217.714   0.183215       5616   0.023271   0.013342 
    54.429   -217.714   0.234036       4468   0.017068   0.043980 
   108.857   -217.714   0.211073       5429   0.023369   0.019607 
   163.286   -217.714   0.170480       4800   0.036030   0.005467 
   217.714   -217.714   0.219941       4869   0.057208   0.042144 
   272.143   -217.714   0.216421       2997   0.042778   0.142582 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.148764       2139   0.044683  -0.067824 
  -272.143   -163.286   0.168795       4214   0.040743  -0.082115 
  -217.714   -163.286   0.203491       4453   0.031443  -0.037481 
  -163.286   -163.286   0.172888       5273   0.038207  -0.019122 
  -108.857   -163.286   0.240730       4875  -0.011733  -0.002168 
   -54.429   -163.286   0.251928       5460  -0.007632  -0.035734 
     0.000   -163.286   0.209624       6326  -0.003107   0.012020 
    54.429   -163.286   0.229681       4579   0.006273  -0.013805 
   108.857   -163.286   0.216202       4932   0.035186   0.009602 
   163.286   -163.286   0.194633       4870   0.017545   0.003162 
   217.714   -163.286   0.218824       3523  -0.006822   0.092623 
   272.143   -163.286   0.206134       3536   0.119017   0.117917 
   326.571   -163.286   0.209303        738   0.049101   0.140028 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.148314       3387   0.009149  -0.089026 
  -272.143   -108.857   0.221000       3268   0.013286  -0.058774 
  -217.714   -108.857   0.164545       5820  -0.002865  -0.066169 
  -163.286   -108.857   0.202410       5352   0.004153   0.010405 
  -108.857   -108.857   0.260611       5060   0.024873  -0.005184 
   -54.429   -108.857   0.272802       4667   0.026458  -0.029487 
     0.000   -108.857   0.315782       4533   0.037046  -0.021276 
    54.429   -108.857   0.289764       5019   0.008788   0.026332 
   108.857   -108.857   0.219266       6278  -0.008801  -0.010374 
   163.286   -108.857   0.248085       5294  -0.015473  -0.001888 
   217.714   -108.857   0.197709       5372   0.038561   0.042718 
   272.143   -108.857   0.213036       4026   0.016890   0.119149 
   326.571   -108.857   0.237331       1824   0.061399   0.176429 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.143996        173   0.048348  -0.178540 
  -326.571    -54.429   0.205940       3004   0.065405  -0.134435 
  -272.143    -54.429   0.217264       3705   0.061142  -0.085817 
  -217.714    -54.429   0.248370       2946   0.070106  -0.032917 
  -163.286    -54.429   0.217304       4239   0.012716  -0.001092 
  -108.857    -54.429   0.267157       5063   0.036288  -0.012195 
   -54.429    -54.429   0.252106       5545  -0.026894   0.016871 
     0.000    -54.429   0.326257       4340  -0.072315  -0.037046 
    54.429    -54.429   0.223889       6140  -0.006983   0.020400 
   108.857    -54.429   0.264326       4461   0.017378   0.012756 
   163.286    -54.429   0.225474       4545  -0.010145   0.007861 
   217.714    -54.429   0.219343       4128  -0.070654   0.017587 
   272.143    -54.429   0.180311       3131  -0.042623   0.075573 
   326.571    -54.429   0.216651       2401   0.000130   0.200800 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.307442        298   0.010200  -0.490531 
  -326.571      0.000   0.219512       2794   0.046792  -0.149814 
  -272.143      0.000   0.250515       2832  -0.013083  -0.084096 
  -217.714      0.000   0.253132       4694   0.025591  -0.018233 
  -163.286      0.000   0.273289       4899   0.029227  -0.022116 
  -108.857      0.000   0.293265       5355  -0.043083   0.046217 
   -54.429      0.000   0.302526       4667  -0.025920  -0.012656 
     0.000      0.000   0.222416       5818   0.015160   0.016796 
    54.429      0.000   0.210349       4181  -0.050949  -0.029084 
   108.857      0.000   0.240672       6021  -0.019056   0.014687 
   163.286      0.000   0.216188       5529  -0.010801   0.020181 
   217.714      0.000   0.157755       4725   0.012611   0.036188 
   272.143      0.000   0.207823       3780  -0.049656   0.063717 
   326.571      0.000   0.214575       2650  -0.038322   0.132976 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.190747        267  -0.015193  -0.282554 
  -326.571     54.429   0.211480       4155  -0.036579  -0.110971 
  -272.143     54.429   0.225913       3854  -0.043058  -0.042713 
  -217.714     54.429   0.244095       4586  -0.054381  -0.033041 
  -163.286     54.429   0.262981       4448  -0.006465  -0.028391 
  -108.857     54.429   0.249454       4758   0.022278   0.065910 
   -54.429     54.429   0.270892       3859   0.005731  -0.029468 
     0.000     54.429   0.309223       4887  -0.007977   0.033249 
    54.429     54.429   0.279828       5928   0.016181   0.017538 
   108.857     54.429   0.217636       5170  -0.072233  -0.028172 
   163.286     54.429   0.233879       5244  -0.035841   0.029443 
   217.714     54.429   0.193841       4054  -0.057166   0.055016 
   272.143     54.429   0.197391       3797  -0.059956   0.097175 
   326.571     54.429   0.220014        730  -0.138794   0.074439 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.170802       3697  -0.071741  -0.089692 
  -272.143    108.857   0.165299       4835  -0.024029  -0.061415 
  -217.714    108.857   0.219728       6406  -0.014388  -0.027554 
  -163.286    108.857   0.225956       5721  -0.026885  -0.036161 
  -108.857    108.857   0.240626       5964   0.000474   0.019871 
   -54.429    108.857   0.268297       5484   0.029332   0.011973 
     0.000    108.857   0.275641       6098  -0.032091   0.029373 
    54.429    108.857   0.217759       6027  -0.042598   0.031068 
   108.857    108.857   0.235386       5286  -0.012915   0.038576 
   163.286    108.857   0.230458       5010  -0.025989   0.005128 
   217.714    108.857   0.167572       4379  -0.052757   0.030682 
   272.143    108.857   0.210132       2846   0.049620   0.064981 
   326.571    108.857   0.126295        859   0.004369   0.027097 
   381.000    108.857   0.000000          0   0.000000   0.000000 
