    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.000000          0   0.000000   0.000000 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.000000          0   0.000000   0.000000 
  -163.286   -326.571   0.000000          0   0.000000   0.000000 
  -108.857   -326.571   0.000000          0   0.000000   0.000000 
   -54.429   -326.571   0.000000          0   0.000000   0.000000 
     0.000   -326.571   0.019078         51  -0.182955   0.041385 
    54.429   -326.571   0.034040        287  -0.054093  -0.006794 
   108.857   -326.571   0.030552        195  -0.033227   0.001288 
   163.286   -326.571   0.000000          0   0.000000   0.000000 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.000000          0   0.000000   0.000000 
  -217.714   -272.143   0.020901         94  -0.185172   0.145478 
  -163.286   -272.143   0.024527        167  -0.302952   0.022372 
  -108.857   -272.143   0.040931        725  -0.111952  -0.008519 
   -54.429   -272.143   0.039723        995  -0.116160   0.067550 
     0.000   -272.143   0.046749       2620  -0.072036   0.011785 
    54.429   -272.143   0.052034       2828  -0.075190   0.000100 
   108.857   -272.143   0.038523       2616  -0.042782  -0.020639 
   163.286   -272.143   0.041386       2385  -0.004358  -0.017181 
   217.714   -272.143   0.037989       2633   0.013846   0.008435 
   272.143   -272.143   0.000000          0   0.000000   0.000000 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.000000          0   0.000000   0.000000 
  -272.143   -217.714   0.015877         83  -0.028492   0.014833 
  -217.714   -217.714   0.035852       1805  -0.002794   0.041270 
  -163.286   -217.714   0.032028       3026  -0.105979   0.039599 
  -108.857   -217.714   0.044120       4812  -0.106866   0.015730 
   -54.429   -217.714   0.042588       5930  -0.077688   0.024053 
     0.000   -217.714   0.042100       7862  -0.068598   0.009411 
    54.429   -217.714   0.045210       5849  -0.061180  -0.014703 
   108.857   -217.714   0.041078       9450  -0.035047  -0.009541 
   163.286   -217.714   0.040843       7432  -0.030482  -0.036753 
   217.714   -217.714   0.031651       1323  -0.040197  -0.025941 
   272.143   -217.714   0.000000          0   0.000000   0.000000 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.000000          0   0.000000   0.000000 
  -272.143   -163.286   0.044342       2614  -0.020003   0.018407 
  -217.714   -163.286   0.048401       8021  -0.044485   0.030835 
  -163.286   -163.286   0.036790       6819  -0.042691   0.049600 
  -108.857   -163.286   0.047259       5445  -0.055008   0.016097 
   -54.429   -163.286   0.051575       9118  -0.049301   0.020111 
     0.000   -163.286   0.054684       6637  -0.049324  -0.016975 
    54.429   -163.286   0.053721       7133  -0.039087  -0.013376 
   108.857   -163.286   0.050647       5372  -0.044553  -0.029137 
   163.286   -163.286   0.040904       8685  -0.026051  -0.054360 
   217.714   -163.286   0.041387       2141  -0.029933  -0.077421 
   272.143   -163.286   0.034804        698  -0.000282   0.015633 
   326.571   -163.286   0.000000          0   0.000000   0.000000 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.000000          0   0.000000   0.000000 
  -272.143   -108.857   0.040195       3072   0.004950   0.053482 
  -217.714   -108.857   0.068345       6079  -0.018382   0.068577 
  -163.286   -108.857   0.049162       6627  -0.027076   0.039643 
  -108.857   -108.857   0.049938       6644  -0.039879   0.032189 
   -54.429   -108.857   0.056481       6470  -0.056348   0.016537 
     0.000   -108.857   0.059922       7889  -0.048626  -0.009774 
    54.429   -108.857   0.052650       8851  -0.046224  -0.023857 
   108.857   -108.857   0.058586       9313  -0.025309  -0.025361 
   163.286   -108.857   0.051808       7786  -0.021616  -0.059256 
   217.714   -108.857   0.049372       4006  -0.012499  -0.059801 
   272.143   -108.857   0.031742        297  -0.001058  -0.003102 
   326.571   -108.857   0.000000          0   0.000000   0.000000 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.000000          0   0.000000   0.000000 
  -326.571    -54.429   0.031311        141   0.001060  -0.044289 
  -272.143    -54.429   0.051301       3252   0.013724   0.076367 
  -217.714    -54.429   0.058536       6070   0.012214   0.077309 
  -163.286    -54.429   0.053267      10810  -0.017802   0.038831 
  -108.857    -54.429   0.057134       5791  -0.042771   0.028378 
   -54.429    -54.429   0.057731      11086  -0.021333   0.024931 
     0.000    -54.429   0.058819       6170  -0.034884  -0.009306 
    54.429    -54.429   0.055531       6954  -0.036280  -0.051686 
   108.857    -54.429   0.050608       7784  -0.015989  -0.053094 
   163.286    -54.429   0.049849       6417  -0.021835  -0.051644 
   217.714    -54.429   0.044175       4640   0.005688  -0.110866 
   272.143    -54.429   0.073916        679  -0.005486   0.000935 
   326.571    -54.429   0.000000          0   0.000000   0.000000 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.000000          0   0.000000   0.000000 
  -326.571      0.000   0.000000          0   0.000000   0.000000 
  -272.143      0.000   0.063330       2090  -0.019918   0.110981 
  -217.714      0.000   0.062895       5164  -0.001524   0.090295 
  -163.286      0.000   0.059737       5235   0.012059   0.100114 
  -108.857      0.000   0.063614       7617  -0.018620   0.047767 
   -54.429      0.000   0.067039       6845  -0.024040   0.012579 
     0.000      0.000   0.066242      11962  -0.021395  -0.003125 
    54.429      0.000   0.055927       8140  -0.025854  -0.023655 
   108.857      0.000   0.054243       8282  -0.008551  -0.069527 
   163.286      0.000   0.069785       5092   0.000847  -0.088317 
   217.714      0.000   0.047220       4520  -0.019686  -0.104434 
   272.143      0.000   0.098375        412  -0.046268  -0.089525 
   326.571      0.000   0.000000          0   0.000000   0.000000 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.000000          0   0.000000   0.000000 
  -326.571     54.429   0.000000          0   0.000000   0.000000 
  -272.143     54.429   0.052936       1756   0.020446   0.055707 
  -217.714     54.429   0.050374       7866   0.000685   0.071429 
  -163.286     54.429   0.064722       6995   0.010187   0.079330 
  -108.857     54.429   0.054858       8634  -0.006974   0.060260 
   -54.429     54.429   0.057103      10176  -0.013542   0.021339 
     0.000     54.429   0.050137       3563  -0.023645  -0.024063 
    54.429     54.429   0.057019       7953  -0.000107  -0.047579 
   108.857     54.429   0.059575       9929  -0.017375  -0.048713 
   163.286     54.429   0.061219       5676  -0.013029  -0.080222 
   217.714     54.429   0.056126       4655  -0.009465  -0.120052 
   272.143     54.429   0.058177        223   0.098288  -0.268707 
   326.571     54.429   0.000000          0   0.000000   0.000000 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.000000          0   0.000000   0.000000 
  -272.143    108.857   0.040020        898   0.002782   0.090653 
  -217.714    108.857   0.051549       7627   0.012753   0.073976 
  -163.286    108.857   0.068187       6510   0.017176   0.076071 
  -108.857    108.857   0.060808       9541   0.034528   0.057322 
   -54.429    108.857   0.051711       8322   0.018395   0.029339 
     0.000    108.857   0.051154       9879   0.016257  -0.015664 
    54.429    108.857   0.053415       8709   0.005962  -0.024329 
   108.857    108.857   0.056285       7609   0.010782  -0.061872 
   163.286    108.857   0.053536       8215   0.020247  -0.070832 
   217.714    108.857   0.050384       5493   0.031970  -0.099370 
   272.143    108.857   0.000000          0   0.000000   0.000000 
   326.571    108.857   0.000000          0   0.000000   0.000000 
   381.000    108.857   0.000000          0   0.000000   0.000000 
  -381.000    163.286   0.000000          0   0.000000   0.000000 
