    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.000000          0   0.000000   0.000000 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.026108         30   0.491818  -0.242640 
  -163.286   -326.571   0.091558        321   0.105850  -0.002108 
  -108.857   -326.571   0.062736        265  -0.085811   0.032821 
   -54.429   -326.571   0.069633       1030   0.000770  -0.011441 
     0.000   -326.571   0.065974        747   0.103564  -0.022595 
    54.429   -326.571   0.067103        646   0.045645   0.012851 
   108.857   -326.571   0.068065        409   0.146115   0.023517 
   163.286   -326.571   0.078504        300   0.174996   0.052402 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.117356         71   0.165493  -0.167250 
  -217.714   -272.143   0.087433       2837   0.027227  -0.008671 
  -163.286   -272.143   0.059201       2539   0.022010  -0.018155 
  -108.857   -272.143   0.066809       4083   0.019426  -0.001477 
   -54.429   -272.143   0.087069       5224  -0.010809   0.005117 
     0.000   -272.143   0.070693       4742  -0.015465   0.004510 
    54.429   -272.143   0.102891       2836  -0.011700  -0.000390 
   108.857   -272.143   0.063597       4595   0.000266  -0.016686 
   163.286   -272.143   0.060448       6259   0.015515   0.006392 
   217.714   -272.143   0.097093       3181   0.007436   0.017315 
   272.143   -272.143   0.099375         26  -0.138065  -0.035916 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.029411         87   0.014644  -0.254411 
  -272.143   -217.714   0.068124       1745   0.097065  -0.090641 
  -217.714   -217.714   0.051572       8498   0.015058   0.002716 
  -163.286   -217.714   0.056845       3248  -0.026367   0.026548 
  -108.857   -217.714   0.071977       5528  -0.015554   0.032461 
   -54.429   -217.714   0.103353       4743  -0.019435  -0.026887 
     0.000   -217.714   0.104379       3549  -0.025370  -0.006856 
    54.429   -217.714   0.095631       5636  -0.005363  -0.015513 
   108.857   -217.714   0.093581       5772   0.011792  -0.003976 
   163.286   -217.714   0.087133       5137  -0.020828   0.011895 
   217.714   -217.714   0.080570       8163  -0.011307  -0.004583 
   272.143   -217.714   0.114057       1865   0.026159   0.028521 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.020508        371   0.079104  -0.015519 
  -272.143   -163.286   0.059489       4785  -0.009578  -0.035782 
  -217.714   -163.286   0.057832       6705  -0.010113   0.009885 
  -163.286   -163.286   0.069396       6319   0.001786   0.032177 
  -108.857   -163.286   0.105395       5790  -0.014422  -0.005871 
   -54.429   -163.286   0.102397       6380   0.006154   0.006156 
     0.000   -163.286   0.115768       6618  -0.033460   0.011894 
    54.429   -163.286   0.099810       5845  -0.027530  -0.031401 
   108.857   -163.286   0.113329       4557  -0.028410  -0.021985 
   163.286   -163.286   0.092803       6936  -0.003729   0.013409 
   217.714   -163.286   0.075556       4046   0.013512   0.000741 
   272.143   -163.286   0.060585       2123  -0.025894  -0.014948 
   326.571   -163.286   0.000000          0   0.000000   0.000000 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.098770        980  -0.028957  -0.039544 
  -272.143   -108.857   0.110972       4045   0.006078  -0.027763 
  -217.714   -108.857   0.105741       4208  -0.004930   0.001610 
  -163.286   -108.857   0.115430       7343   0.009877   0.027034 
  -108.857   -108.857   0.105669       6422   0.018348   0.019809 
   -54.429   -108.857   0.108322       4472  -0.017670   0.014257 
     0.000   -108.857   0.113611       8188  -0.027825   0.008321 
    54.429   -108.857   0.109613       6010  -0.020040  -0.020191 
   108.857   -108.857   0.110563       4852  -0.028889  -0.035164 
   163.286   -108.857   0.091303       7853  -0.023090  -0.023055 
   217.714   -108.857   0.088883       4359   0.013939   0.026547 
   272.143   -108.857   0.075699       1895   0.058153  -0.028736 
   326.571   -108.857   0.185674        142   0.124364   0.266482 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.000000          0   0.000000   0.000000 
  -326.571    -54.429   0.097548       1203   0.026188   0.016337 
  -272.143    -54.429   0.133554       3993  -0.006559  -0.035699 
  -217.714    -54.429   0.110009       5538   0.005910   0.013036 
  -163.286    -54.429   0.119305       4658  -0.007407   0.009118 
  -108.857    -54.429   0.133032       4584  -0.009394   0.031260 
   -54.429    -54.429   0.134265       5667  -0.018513   0.018678 
     0.000    -54.429   0.136636       6953   0.020672   0.022448 
    54.429    -54.429   0.099050       5856   0.011565  -0.051072 
   108.857    -54.429   0.097597       8171   0.007372   0.001592 
   163.286    -54.429   0.113939       4081   0.027721  -0.035256 
   217.714    -54.429   0.103793       4189  -0.011816  -0.034331 
   272.143    -54.429   0.084616       2013  -0.057073   0.019818 
   326.571    -54.429   0.040712         61  -0.291839   0.323396 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.048985        116   0.000367  -0.167641 
  -326.571      0.000   0.129464        770   0.017336  -0.068015 
  -272.143      0.000   0.119844       5432   0.000765  -0.005147 
  -217.714      0.000   0.110817       5236   0.006561  -0.005188 
  -163.286      0.000   0.114854       6644   0.010894   0.020755 
  -108.857      0.000   0.118800       7981   0.006782   0.007176 
   -54.429      0.000   0.115801       8131   0.013020   0.039677 
     0.000      0.000   0.139297       7437   0.001590  -0.014374 
    54.429      0.000   0.127738       6618  -0.005948   0.006655 
   108.857      0.000   0.130942       6590  -0.006481  -0.040539 
   163.286      0.000   0.100960       5635  -0.007636  -0.015721 
   217.714      0.000   0.099848       5592   0.005225  -0.020377 
   272.143      0.000   0.110559       2921   0.033024   0.008479 
   326.571      0.000   0.070924        266  -0.002771   0.010800 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.077671         83   0.006887  -0.004931 
  -326.571     54.429   0.134733       1102  -0.052801  -0.003593 
  -272.143     54.429   0.115020       4453  -0.004419  -0.026257 
  -217.714     54.429   0.115728       4817  -0.021253   0.012655 
  -163.286     54.429   0.131380       4337  -0.065870   0.042205 
  -108.857     54.429   0.139285       4523  -0.057901  -0.008400 
   -54.429     54.429   0.144802       6326  -0.036526   0.040010 
     0.000     54.429   0.151022       6244  -0.005729  -0.005033 
    54.429     54.429   0.147429       7183   0.013963  -0.005194 
   108.857     54.429   0.149591       5530  -0.000524  -0.037694 
   163.286     54.429   0.122820       4609   0.000955  -0.010037 
   217.714     54.429   0.096202       3344   0.002033  -0.061691 
   272.143     54.429   0.141276       1466   0.021186   0.059149 
   326.571     54.429   0.000000          0   0.000000   0.000000 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.085227       1707   0.025291  -0.062639 
  -272.143    108.857   0.118160       5401   0.007949   0.007828 
  -217.714    108.857   0.127153       5247  -0.037370   0.049828 
  -163.286    108.857   0.116977       7820  -0.013199   0.009084 
  -108.857    108.857   0.124357       5579  -0.028709   0.012462 
   -54.429    108.857   0.142789       7018  -0.021991   0.035610 
     0.000    108.857   0.135682       6847  -0.010898  -0.033522 
    54.429    108.857   0.133938       5536  -0.009263  -0.012632 
   108.857    108.857   0.119101       6464   0.002616  -0.002379 
   163.286    108.857   0.131228       5656   0.010499  -0.045102 
   217.714    108.857   0.113123       4229   0.045892  -0.079457 
   272.143    108.857   0.097637       2614   0.003074   0.088924 
   326.571    108.857   0.036868        309  -0.001097   0.077313 
   381.000    108.857   0.000000          0   0.000000   0.000000 
