    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.367721        829   0.129204  -0.019246 
  -116.571   -349.714   0.337187       2170   0.106102   0.002161 
   -58.286   -349.714   0.353270       3175   0.117914  -0.060292 
     0.000   -349.714   0.374675       4183   0.227981  -0.076627 
    58.286   -349.714   0.367788       5510   0.214864   0.017228 
   116.571   -349.714   0.343447       3696   0.257844   0.084623 
   174.857   -349.714   0.379679       2463   0.208161   0.070882 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.589500          7   0.292209   0.362809 
  -233.143   -291.429   0.357887       3364   0.164278  -0.113897 
  -174.857   -291.429   0.364022       4764   0.178546  -0.076620 
  -116.571   -291.429   0.341962       4739   0.234945  -0.036603 
   -58.286   -291.429   0.419630       4763   0.273068  -0.073592 
     0.000   -291.429   0.396340       4040   0.216968  -0.045881 
    58.286   -291.429   0.333517       3728   0.161834  -0.025593 
   116.571   -291.429   0.305524       6038   0.119423   0.073836 
   174.857   -291.429   0.305475       6660   0.128992   0.088094 
   233.143   -291.429   0.337794       5805   0.147882   0.093887 
   291.429   -291.429   0.349042        304   0.085729   0.119766 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.407599       2263   0.202775  -0.294567 
  -233.143   -233.143   0.462304       3899   0.134580  -0.093155 
  -174.857   -233.143   0.455582       2956   0.108795  -0.083201 
  -116.571   -233.143   0.489376       3501   0.139696  -0.155152 
   -58.286   -233.143   0.504691       3548   0.096911  -0.053586 
     0.000   -233.143   0.420772       6056   0.082632  -0.001862 
    58.286   -233.143   0.382893       4263   0.115044   0.004630 
   116.571   -233.143   0.419660       4661   0.071948   0.051258 
   174.857   -233.143   0.443555       4196   0.091060   0.121428 
   233.143   -233.143   0.387933       5835   0.118297   0.093564 
   291.429   -233.143   0.398285       6209   0.122371   0.136318 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.288696        452   0.082794  -0.358939 
  -291.429   -174.857   0.359618       3576   0.137352  -0.218434 
  -233.143   -174.857   0.363596       4788   0.098297  -0.091459 
