    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.196469         93   0.428652  -0.141352 
  -116.571   -349.714   0.276911        630   0.208747  -0.068569 
   -58.286   -349.714   0.152178        964   0.206719   0.052602 
     0.000   -349.714   0.211638       2407   0.064886  -0.017972 
    58.286   -349.714   0.186714       2459   0.078327   0.002837 
   116.571   -349.714   0.167739       3153   0.048317   0.010550 
   174.857   -349.714   0.103157       2214   0.023444   0.014774 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.282132        571   0.116062  -0.064845 
  -174.857   -291.429   0.151400       2817   0.063766  -0.036180 
  -116.571   -291.429   0.235556       1455   0.044924  -0.084655 
   -58.286   -291.429   0.156989       4058   0.052927  -0.016857 
     0.000   -291.429   0.181776       3252   0.078320  -0.004646 
    58.286   -291.429   0.202837       3363   0.066525  -0.015493 
   116.571   -291.429   0.163002       6030   0.054025   0.024242 
   174.857   -291.429   0.128848       7652   0.047741  -0.024269 
   233.143   -291.429   0.149026       8393   0.047741   0.040061 
   291.429   -291.429   0.127263        532   0.023179   0.048459 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.193011        617   0.167895  -0.019305 
  -233.143   -233.143   0.192712       1512   0.065910  -0.105238 
  -174.857   -233.143   0.129736       6793   0.007484  -0.012980 
  -116.571   -233.143   0.196054       3796   0.039434  -0.019321 
   -58.286   -233.143   0.158292       4755  -0.007433  -0.002392 
     0.000   -233.143   0.154781       6971  -0.020250   0.008744 
    58.286   -233.143   0.211137       6049  -0.013732  -0.045783 
   116.571   -233.143   0.176541       6343   0.001016   0.030870 
   174.857   -233.143   0.194480       4287  -0.003667  -0.029440 
   233.143   -233.143   0.135157       5673   0.011629   0.021067 
   291.429   -233.143   0.154103       4940   0.029125   0.068062 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.305779         60   0.008667  -0.214673 
  -291.429   -174.857   0.181303       1463   0.023813  -0.134137 
  -233.143   -174.857   0.164272       3522   0.023777  -0.031832 
