    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.000000          0   0.000000   0.000000 
   -58.286   -349.714   0.000000          0   0.000000   0.000000 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.000000          0   0.000000   0.000000 
   116.571   -349.714   0.000000          0   0.000000   0.000000 
   174.857   -349.714   0.000000          0   0.000000   0.000000 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.000000          0   0.000000   0.000000 
  -116.571   -291.429   0.000000          0   0.000000   0.000000 
   -58.286   -291.429   0.000000          0   0.000000   0.000000 
     0.000   -291.429   0.000000          0   0.000000   0.000000 
    58.286   -291.429   0.000000          0   0.000000   0.000000 
   116.571   -291.429   0.017699        510  -0.055794   0.016735 
   174.857   -291.429   0.016271        767  -0.031862  -0.009831 
   233.143   -291.429   0.000000          0   0.000000   0.000000 
   291.429   -291.429   0.000000          0   0.000000   0.000000 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.000000          0   0.000000   0.000000 
  -233.143   -233.143   0.000000          0   0.000000   0.000000 
  -174.857   -233.143   0.000000          0   0.000000   0.000000 
  -116.571   -233.143   0.000000          0   0.000000   0.000000 
   -58.286   -233.143   0.001552          4  -0.204684   0.145464 
     0.000   -233.143   0.016445       1795  -0.137217   0.055195 
    58.286   -233.143   0.019871       4031  -0.125763   0.021174 
   116.571   -233.143   0.018223       4395  -0.083570  -0.002904 
   174.857   -233.143   0.019660       2205  -0.061468  -0.051791 
   233.143   -233.143   0.009940        284  -0.080818  -0.119097 
   291.429   -233.143   0.000000          0   0.000000   0.000000 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.000000          0   0.000000   0.000000 
  -233.143   -174.857   0.000000          0   0.000000   0.000000 
  -174.857   -174.857   0.000000          0   0.000000   0.000000 
