    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.000000          0   0.000000   0.000000 
   -58.286   -349.714   0.000000          0   0.000000   0.000000 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.000000          0   0.000000   0.000000 
   116.571   -349.714   0.000000          0   0.000000   0.000000 
   174.857   -349.714   0.000000          0   0.000000   0.000000 
   233.143   -349.714   0.000000          0   0.000000   0.000000 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.000000          0   0.000000   0.000000 
  -116.571   -291.429   0.000000          0   0.000000   0.000000 
   -58.286   -291.429   0.000000          0   0.000000   0.000000 
     0.000   -291.429   0.000000          0   0.000000   0.000000 
    58.286   -291.429   0.000000          0   0.000000   0.000000 
   116.571   -291.429   0.000000          0   0.000000   0.000000 
   174.857   -291.429   0.000000          0   0.000000   0.000000 
   233.143   -291.429   0.000000          0   0.000000   0.000000 
   291.429   -291.429   0.000000          0   0.000000   0.000000 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.000000          0   0.000000   0.000000 
  -233.143   -233.143   0.000000          0   0.000000   0.000000 
  -174.857   -233.143   0.000000          0   0.000000   0.000000 
  -116.571   -233.143   0.102915        100   0.018776   0.133702 
   -58.286   -233.143   0.139074        474  -0.047193  -0.027092 
     0.000   -233.143   0.109950         74   0.079389  -0.179981 
    58.286   -233.143   0.111067        333   0.149607   0.041313 
   116.571   -233.143   0.000000          0   0.000000   0.000000 
   174.857   -233.143   0.123919        406   0.044609  -0.014178 
   233.143   -233.143   0.105311        208  -0.005055   0.030010 
   291.429   -233.143   0.000000          0   0.000000   0.000000 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.000000          0   0.000000   0.000000 
  -233.143   -174.857   0.000000          0   0.000000   0.000000 
  -174.857   -174.857   0.000000          0   0.000000   0.000000 
  -116.571   -174.857   0.000000          0   0.000000   0.000000 
