    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.005476          5   0.117011   0.032141 
     0.000   -381.000   0.000000          0   0.000000   0.000000 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.040638        188  -0.127175   0.008907 
  -163.286   -326.571   0.046016        826  -0.008667   0.006173 
  -108.857   -326.571   0.050595        727  -0.186733   0.016880 
   -54.429   -326.571   0.071256       3543  -0.048469   0.009806 
     0.000   -326.571   0.060257       2869  -0.047173  -0.015941 
    54.429   -326.571   0.056675       2676  -0.036368   0.032853 
   108.857   -326.571   0.068817       3530  -0.008303  -0.011894 
   163.286   -326.571   0.041582       4606  -0.026479  -0.002138 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.057158       3607  -0.032006   0.028135 
  -217.714   -272.143   0.056188      11963  -0.048349   0.016735 
  -163.286   -272.143   0.054299       9326  -0.067225   0.002020 
  -108.857   -272.143   0.063095       7615  -0.073367   0.010543 
   -54.429   -272.143   0.064855       8424  -0.072512   0.009351 
     0.000   -272.143   0.060277      10099  -0.055520  -0.011553 
    54.429   -272.143   0.053054       8450  -0.053231  -0.011360 
   108.857   -272.143   0.060148       6144  -0.039352  -0.004532 
   163.286   -272.143   0.069482      10621  -0.013815  -0.001130 
   217.714   -272.143   0.083443       8389  -0.010772  -0.023920 
   272.143   -272.143   0.056265        349   0.020832   0.032982 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.051301       1114  -0.015098   0.063344 
  -272.143   -217.714   0.054220      11688  -0.036076   0.047725 
  -217.714   -217.714   0.057627       3524  -0.057531   0.026799 
  -163.286   -217.714   0.065068       8368  -0.058289   0.014852 
  -108.857   -217.714   0.067132       9203  -0.056265   0.015780 
   -54.429   -217.714   0.060134       8494  -0.063675   0.001925 
     0.000   -217.714   0.059019       7424  -0.062086  -0.022575 
    54.429   -217.714   0.060850       8758  -0.053583  -0.027423 
   108.857   -217.714   0.061583      10602  -0.032924  -0.020535 
   163.286   -217.714   0.076252       5765  -0.023710  -0.025245 
   217.714   -217.714   0.097194       5583  -0.000845  -0.058123 
   272.143   -217.714   0.092705       8212  -0.009611   0.015947 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.044184       3815  -0.000353   0.040612 
  -272.143   -163.286   0.062478       8727  -0.013036   0.068911 
  -217.714   -163.286   0.061280      11979  -0.028055   0.037906 
  -163.286   -163.286   0.069368       7238  -0.061489   0.026616 
  -108.857   -163.286   0.066670       8339  -0.053446   0.014327 
   -54.429   -163.286   0.063592       7838  -0.051847  -0.002719 
     0.000   -163.286   0.065396       9351  -0.048071  -0.016781 
    54.429   -163.286   0.058490      10028  -0.035151  -0.039994 
   108.857   -163.286   0.055527       8861  -0.038705  -0.030184 
   163.286   -163.286   0.078581      10421  -0.024313  -0.037848 
   217.714   -163.286   0.085177       6880  -0.029010  -0.021445 
   272.143   -163.286   0.097575       6559  -0.002889  -0.021386 
   326.571   -163.286   0.108919        659  -0.026917  -0.011927 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.070419       5391  -0.018117   0.073186 
  -272.143   -108.857   0.069429       8543  -0.020614   0.061335 
  -217.714   -108.857   0.068221       8568  -0.020321   0.063442 
  -163.286   -108.857   0.065238       9342  -0.017157   0.035863 
  -108.857   -108.857   0.064671      11566  -0.032157   0.015898 
   -54.429   -108.857   0.055735      10939  -0.037191  -0.002927 
     0.000   -108.857   0.060179      10401  -0.040127  -0.016626 
    54.429   -108.857   0.064329       9573  -0.041021  -0.042815 
   108.857   -108.857   0.067027      10966  -0.026047  -0.039057 
   163.286   -108.857   0.067470       8398  -0.024703  -0.048529 
   217.714   -108.857   0.084197       8692  -0.024687  -0.030556 
   272.143   -108.857   0.096326       9311  -0.007484  -0.025549 
   326.571   -108.857   0.069191       2611  -0.000021   0.000470 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.038749        148   0.004011   0.154619 
  -326.571    -54.429   0.061050       6720  -0.013410   0.090688 
  -272.143    -54.429   0.071763       7079  -0.010573   0.067329 
  -217.714    -54.429   0.080785       9307  -0.003230   0.059194 
  -163.286    -54.429   0.062529       8346  -0.018645   0.046095 
  -108.857    -54.429   0.069278       9131  -0.019332   0.021604 
   -54.429    -54.429   0.067007       7733  -0.029365   0.016601 
     0.000    -54.429   0.055568      10556  -0.019618  -0.030998 
    54.429    -54.429   0.067898       8159  -0.025120  -0.041978 
   108.857    -54.429   0.069067       8378  -0.023144  -0.059709 
   163.286    -54.429   0.071941       9190  -0.003971  -0.053146 
   217.714    -54.429   0.065878       5520  -0.011669  -0.048715 
   272.143    -54.429   0.085450       6065  -0.004550  -0.049040 
   326.571    -54.429   0.071612       1313   0.002199  -0.084653 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.057575        176   0.002097   0.139766 
  -326.571      0.000   0.072384       5676   0.003829   0.094367 
  -272.143      0.000   0.071096       6858   0.027936   0.081613 
  -217.714      0.000   0.068918       7323   0.004424   0.064357 
  -163.286      0.000   0.071310      11322   0.007771   0.042420 
  -108.857      0.000   0.062497       6457   0.006991   0.039017 
   -54.429      0.000   0.053633      12593   0.004025   0.007899 
     0.000      0.000   0.052301      11407   0.002033  -0.024076 
    54.429      0.000   0.069172      10045  -0.008555  -0.033798 
   108.857      0.000   0.071057      10089  -0.005378  -0.057637 
   163.286      0.000   0.074645       8344  -0.011975  -0.066386 
   217.714      0.000   0.092070       8238   0.002905  -0.053603 
   272.143      0.000   0.086150       7227   0.022347  -0.031311 
   326.571      0.000   0.079904       1179   0.012403  -0.021312 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.009664        122   0.000659   0.089279 
  -326.571     54.429   0.065637       4993   0.005753   0.075715 
  -272.143     54.429   0.078362       6730   0.000662   0.083498 
  -217.714     54.429   0.074076       9438   0.002819   0.058532 
  -163.286     54.429   0.074991       9186   0.013179   0.040301 
  -108.857     54.429   0.069634      12055   0.021873   0.026718 
   -54.429     54.429   0.062214       7954   0.023164   0.017334 
     0.000     54.429   0.059131      11643   0.003390  -0.013494 
    54.429     54.429   0.061507       9013   0.003121  -0.043274 
   108.857     54.429   0.078124       7120   0.007721  -0.068572 
   163.286     54.429   0.071832      11440   0.010056  -0.053165 
   217.714     54.429   0.094623       3893   0.015570  -0.108025 
   272.143     54.429   0.080427       5719   0.010866  -0.063911 
   326.571     54.429   0.051408        644   0.040534   0.162847 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.053926       7274   0.024415   0.041921 
  -272.143    108.857   0.076200       8265   0.021924   0.062603 
  -217.714    108.857   0.081659       8550   0.025314   0.057655 
  -163.286    108.857   0.077398      10745   0.024964   0.036088 
  -108.857    108.857   0.072848       6246   0.035186   0.035140 
   -54.429    108.857   0.074652       7951   0.018949   0.025063 
     0.000    108.857   0.066751      12398   0.016377  -0.002262 
    54.429    108.857   0.056846       7771   0.019085  -0.052408 
   108.857    108.857   0.064895      10743   0.013560  -0.049291 
   163.286    108.857   0.076428       8240   0.002232  -0.067239 
   217.714    108.857   0.084013       8530   0.022148  -0.052087 
   272.143    108.857   0.074899       6693  -0.004664  -0.032616 
   326.571    108.857   0.039164        576  -0.060520   0.093630 
