    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.027975         85   0.175021   0.000592 
    54.429   -381.000   0.000000          0   0.000000   0.000000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.061194        319  -0.005950   0.069346 
  -163.286   -326.571   0.077769       1636  -0.067006  -0.005235 
  -108.857   -326.571   0.065562       2339  -0.064941   0.001798 
   -54.429   -326.571   0.092041       1418  -0.081749   0.014127 
     0.000   -326.571   0.064412       2221  -0.104481   0.021321 
    54.429   -326.571   0.059308       4998  -0.064737   0.006998 
   108.857   -326.571   0.057682       4581  -0.035666  -0.006519 
   163.286   -326.571   0.061320       1977  -0.067782  -0.026733 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.059499       2331  -0.029153   0.024863 
  -217.714   -272.143   0.061235       6413  -0.062305   0.032048 
  -163.286   -272.143   0.057115       7501  -0.071030   0.034808 
  -108.857   -272.143   0.069369       7332  -0.094679   0.005820 
   -54.429   -272.143   0.078030       7463  -0.112471  -0.002018 
     0.000   -272.143   0.062808       7398  -0.103093   0.009623 
    54.429   -272.143   0.071500       7100  -0.084223  -0.013822 
   108.857   -272.143   0.077958       5289  -0.066552  -0.033307 
   163.286   -272.143   0.062892      10247  -0.020226  -0.011954 
   217.714   -272.143   0.067844       8721  -0.019382  -0.027778 
   272.143   -272.143   0.077204         61  -0.119687   0.013956 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.057595        544  -0.026888   0.051787 
  -272.143   -217.714   0.064832      10704  -0.026478   0.038512 
  -217.714   -217.714   0.060899       6744  -0.055756   0.050518 
  -163.286   -217.714   0.067237       7561  -0.067429   0.036402 
  -108.857   -217.714   0.065120       7062  -0.088718   0.018138 
   -54.429   -217.714   0.061084       8674  -0.072394   0.013278 
     0.000   -217.714   0.057390       7425  -0.096993   0.002449 
    54.429   -217.714   0.060411       9411  -0.067674  -0.025011 
   108.857   -217.714   0.061470       9924  -0.071926  -0.048295 
   163.286   -217.714   0.078506       5968  -0.058295  -0.049622 
   217.714   -217.714   0.081117       7680  -0.013302  -0.042047 
   272.143   -217.714   0.070923       6621  -0.003452  -0.002834 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.074771       3412  -0.017754   0.036979 
  -272.143   -163.286   0.063859       8466  -0.031346   0.069425 
  -217.714   -163.286   0.067543       8161  -0.039809   0.059613 
  -163.286   -163.286   0.078352       8644  -0.060022   0.054354 
  -108.857   -163.286   0.061527       9471  -0.072760   0.032127 
   -54.429   -163.286   0.051754       9519  -0.095276   0.014399 
     0.000   -163.286   0.053886       8500  -0.091536  -0.005808 
    54.429   -163.286   0.050328       9306  -0.067107  -0.045475 
   108.857   -163.286   0.062370       7052  -0.067459  -0.037967 
   163.286   -163.286   0.073138      10373  -0.053447  -0.076881 
   217.714   -163.286   0.091337       6050  -0.032222  -0.071026 
   272.143   -163.286   0.068798       7543  -0.011815  -0.019499 
   326.571   -163.286   0.078002       1146  -0.027550  -0.040921 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.066403       4600  -0.003184   0.073871 
  -272.143   -108.857   0.069868       7333  -0.005446   0.086475 
  -217.714   -108.857   0.080200       7764  -0.039221   0.087793 
  -163.286   -108.857   0.061799       7424  -0.046763   0.071956 
  -108.857   -108.857   0.046509      10582  -0.052306   0.043908 
   -54.429   -108.857   0.048964       9717  -0.056549   0.023969 
     0.000   -108.857   0.039343      10159  -0.064676  -0.009441 
    54.429   -108.857   0.046383      11800  -0.066816  -0.040482 
   108.857   -108.857   0.058087      10444  -0.069751  -0.060829 
   163.286   -108.857   0.063427       7926  -0.037123  -0.096735 
   217.714   -108.857   0.078984       9303  -0.043556  -0.067606 
   272.143   -108.857   0.065534       6535  -0.023542  -0.046133 
   326.571   -108.857   0.044093       1756   0.018757  -0.011866 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.068542         69   0.026744  -0.102440 
  -326.571    -54.429   0.067388       4997   0.002311   0.094713 
  -272.143    -54.429   0.079973       8354  -0.023218   0.075225 
  -217.714    -54.429   0.068542       8952  -0.013357   0.085018 
  -163.286    -54.429   0.063815       9676  -0.022516   0.080908 
  -108.857    -54.429   0.046763       8941  -0.039550   0.055560 
   -54.429    -54.429   0.028519      11158  -0.039280   0.022642 
     0.000    -54.429   0.028339      11754  -0.038113  -0.006154 
    54.429    -54.429   0.025487      11513  -0.032723  -0.036319 
   108.857    -54.429   0.052923       8238  -0.027950  -0.066338 
   163.286    -54.429   0.055263      10691  -0.031511  -0.099217 
   217.714    -54.429   0.074550       5743  -0.054666  -0.100456 
   272.143    -54.429   0.074874       7825  -0.019312  -0.089799 
   326.571    -54.429   0.067337       1614  -0.009280  -0.018428 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.093341        249  -0.019974  -0.010046 
  -326.571      0.000   0.069937       5726  -0.001926   0.080598 
  -272.143      0.000   0.076303       6319   0.004994   0.103568 
  -217.714      0.000   0.069188       8533   0.006154   0.088217 
  -163.286      0.000   0.056386       9564  -0.006888   0.094560 
  -108.857      0.000   0.044077      10587  -0.008057   0.059978 
   -54.429      0.000   0.028363      12164  -0.012881   0.024169 
     0.000      0.000   0.024275      11023  -0.007389  -0.011664 
    54.429      0.000   0.027163       9794  -0.009988  -0.037519 
   108.857      0.000   0.037531      11056  -0.014175  -0.070849 
   163.286      0.000   0.062839       9216  -0.017078  -0.090416 
   217.714      0.000   0.069017       9067  -0.003053  -0.092939 
   272.143      0.000   0.078109       6658   0.000356  -0.098364 
   326.571      0.000   0.072430       1409  -0.012957  -0.092155 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.125207         97   0.047654   0.068246 
  -326.571     54.429   0.075653       3099   0.008823   0.091726 
  -272.143     54.429   0.085100       5949   0.030506   0.112760 
  -217.714     54.429   0.071586       9157   0.014177   0.090795 
  -163.286     54.429   0.058990       9373   0.023140   0.088475 
  -108.857     54.429   0.045363       9127   0.024373   0.063241 
   -54.429     54.429   0.032367      11467   0.023064   0.031622 
     0.000     54.429   0.028742      12378   0.016293  -0.010606 
    54.429     54.429   0.024419      10829   0.014135  -0.033874 
   108.857     54.429   0.038100      11093   0.015104  -0.065642 
   163.286     54.429   0.056278       9713   0.012266  -0.087023 
   217.714     54.429   0.068253       7976   0.008758  -0.103346 
   272.143     54.429   0.083431       6849   0.008482  -0.089862 
   326.571     54.429   0.078511       1729  -0.004097  -0.076334 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.084324       5666   0.006867   0.041685 
  -272.143    108.857   0.085380       8190   0.019647   0.065851 
  -217.714    108.857   0.071108      10800   0.025502   0.085488 
  -163.286    108.857   0.061541       6915   0.039155   0.073520 
  -108.857    108.857   0.052149      12131   0.042797   0.060403 
   -54.429    108.857   0.040728       9827   0.043227   0.025472 
     0.000    108.857   0.033686      11317   0.042781   0.004038 
    54.429    108.857   0.038377      13386   0.041783  -0.034539 
   108.857    108.857   0.047361       9134   0.043113  -0.069448 
   163.286    108.857   0.063836      10138   0.027058  -0.082026 
   217.714    108.857   0.075378       6322   0.026937  -0.111728 
   272.143    108.857   0.088950       7213   0.010768  -0.084778 
   326.571    108.857   0.087062       1225   0.015692  -0.040203 
