    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.129145         51   0.093208   0.015337 
     0.000   -381.000   0.046822        237  -0.054314   0.008488 
    54.429   -381.000   0.013177         20  -0.273569  -0.061961 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.073038        486  -0.018081   0.023110 
  -163.286   -326.571   0.084209       3465  -0.010449   0.000161 
  -108.857   -326.571   0.068228       2635  -0.051664   0.010896 
   -54.429   -326.571   0.093576       3412  -0.046812  -0.028740 
     0.000   -326.571   0.080614       3509  -0.005793   0.022692 
    54.429   -326.571   0.063928       2729   0.001383  -0.030587 
   108.857   -326.571   0.065276       9010   0.001883  -0.001560 
   163.286   -326.571   0.066389       5626  -0.005139   0.014144 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.078190       2419  -0.007895   0.020879 
  -217.714   -272.143   0.079620      11800  -0.024231   0.013577 
  -163.286   -272.143   0.075789       8719  -0.031529  -0.002266 
  -108.857   -272.143   0.079289       7758  -0.036598   0.021841 
   -54.429   -272.143   0.087266       6343  -0.042890  -0.004355 
     0.000   -272.143   0.083193       8290  -0.040725  -0.026675 
    54.429   -272.143   0.090793       7241  -0.017702  -0.006857 
   108.857   -272.143   0.096812       4467  -0.016739  -0.012235 
   163.286   -272.143   0.084697       8784   0.004024  -0.008446 
   217.714   -272.143   0.103410       8357   0.014104   0.005633 
   272.143   -272.143   0.097515        417  -0.002462   0.019578 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.077735        448   0.036462   0.021481 
  -272.143   -217.714   0.074962       9899  -0.004984   0.019045 
  -217.714   -217.714   0.085941       5761  -0.022297   0.027849 
  -163.286   -217.714   0.085655       6251  -0.032975   0.023339 
  -108.857   -217.714   0.089380       7432  -0.035227   0.013774 
   -54.429   -217.714   0.088466       7055  -0.037575  -0.006924 
     0.000   -217.714   0.086361       6952  -0.030606  -0.010625 
    54.429   -217.714   0.086472       8581  -0.046229  -0.036869 
   108.857   -217.714   0.085539       8787  -0.026638  -0.008503 
   163.286   -217.714   0.095289       5845  -0.020127  -0.024218 
   217.714   -217.714   0.103320       6891  -0.018992  -0.015528 
   272.143   -217.714   0.087576       9104   0.000562   0.009347 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.069532       4396  -0.014010   0.014718 
  -272.143   -163.286   0.075489       8600  -0.040080   0.041260 
  -217.714   -163.286   0.098529       7995  -0.037132   0.038270 
  -163.286   -163.286   0.082214       8740  -0.045978   0.004929 
  -108.857   -163.286   0.087671      11206  -0.040230   0.010981 
   -54.429   -163.286   0.082313       9454  -0.041594   0.000473 
     0.000   -163.286   0.088135       9548  -0.046206  -0.021323 
    54.429   -163.286   0.076804       8158  -0.037398  -0.027445 
   108.857   -163.286   0.090322      12147  -0.025985  -0.021260 
   163.286   -163.286   0.087172       7896  -0.023623  -0.014083 
   217.714   -163.286   0.100715       8355   0.000822  -0.017845 
   272.143   -163.286   0.091708       8291  -0.011304  -0.004345 
   326.571   -163.286   0.100139       2354  -0.001719  -0.012858 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.078066       5963   0.000683   0.040640 
  -272.143   -108.857   0.095655       7058  -0.001613   0.041245 
  -217.714   -108.857   0.083150       9038  -0.027419   0.050020 
  -163.286   -108.857   0.071590       8684  -0.028234   0.019804 
  -108.857   -108.857   0.083763       6748  -0.029291   0.010159 
   -54.429   -108.857   0.081791       9550  -0.029060  -0.008371 
     0.000   -108.857   0.091528       8340  -0.034955  -0.016145 
    54.429   -108.857   0.086595       8684  -0.037130  -0.023676 
   108.857   -108.857   0.090761       6929  -0.048267  -0.050770 
   163.286   -108.857   0.095557       7884  -0.014051  -0.039143 
   217.714   -108.857   0.115573       7085  -0.018829  -0.011656 
   272.143   -108.857   0.104385       8406   0.013609  -0.021409 
   326.571   -108.857   0.091254       2660  -0.001315   0.009847 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.026746         75   0.003168   0.181393 
  -326.571    -54.429   0.075616       6268   0.012589   0.033075 
  -272.143    -54.429   0.081132       5597  -0.011630   0.084281 
  -217.714    -54.429   0.079429       9578  -0.002539   0.048692 
  -163.286    -54.429   0.082254       9331  -0.020832   0.008301 
  -108.857    -54.429   0.085867      10771  -0.016394   0.025910 
   -54.429    -54.429   0.085713       8638  -0.037581   0.005098 
     0.000    -54.429   0.084718       8257  -0.050694  -0.003908 
    54.429    -54.429   0.078496       9631  -0.043742  -0.036603 
   108.857    -54.429   0.082672       9240  -0.027197  -0.044594 
   163.286    -54.429   0.089769       9037  -0.030172  -0.059297 
   217.714    -54.429   0.115075       5515  -0.005677  -0.048331 
   272.143    -54.429   0.105438       6047   0.000370   0.009378 
   326.571    -54.429   0.074889       2810  -0.005951  -0.029636 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.213998         77   0.008227  -0.237857 
  -326.571      0.000   0.085980       6627  -0.005335   0.041246 
  -272.143      0.000   0.087563       6058   0.005924   0.071437 
  -217.714      0.000   0.079301      11535   0.009752   0.056188 
  -163.286      0.000   0.072466       5708  -0.002319   0.039694 
  -108.857      0.000   0.078394       8135  -0.021638   0.029497 
   -54.429      0.000   0.071254      12592  -0.017331   0.009788 
     0.000      0.000   0.064261       9796  -0.022321  -0.016688 
    54.429      0.000   0.068050      10644  -0.018713  -0.023501 
   108.857      0.000   0.079799      10831  -0.016266  -0.044645 
   163.286      0.000   0.082538       8936  -0.018070  -0.052398 
   217.714      0.000   0.084379       8678  -0.020420  -0.046807 
   272.143      0.000   0.082615       8026  -0.002019  -0.027686 
   326.571      0.000   0.104181       2146  -0.004105   0.026625 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.037914         36   0.011003   0.039359 
  -326.571     54.429   0.082094       5399  -0.007809   0.035783 
  -272.143     54.429   0.092005       5605   0.019021   0.061915 
  -217.714     54.429   0.081230       9343   0.006738   0.074845 
  -163.286     54.429   0.066504       6504   0.000134   0.055419 
  -108.857     54.429   0.069581      10880  -0.003747   0.023173 
   -54.429     54.429   0.063454       8228   0.001561   0.014431 
     0.000     54.429   0.061106       9120  -0.005770  -0.000760 
    54.429     54.429   0.070080       8817  -0.000706  -0.039979 
   108.857     54.429   0.088287       8526   0.008299  -0.061390 
   163.286     54.429   0.092035       9171   0.000192  -0.058734 
   217.714     54.429   0.079632       8929  -0.012509  -0.048418 
   272.143     54.429   0.076466       4791  -0.020037  -0.039271 
   326.571     54.429   0.078145       1439   0.015081   0.005672 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.090551       5785  -0.000279   0.017147 
  -272.143    108.857   0.078320       8092  -0.007825   0.060712 
  -217.714    108.857   0.083301       9364  -0.000612   0.060397 
  -163.286    108.857   0.070612      11714   0.011862   0.039534 
  -108.857    108.857   0.073249       8359   0.011886   0.024126 
   -54.429    108.857   0.065672      11259   0.005322   0.009724 
     0.000    108.857   0.065442       9646   0.024294  -0.005021 
    54.429    108.857   0.076871       9005   0.013097  -0.037961 
   108.857    108.857   0.076954       9338   0.029010  -0.054113 
   163.286    108.857   0.086419       8604   0.016587  -0.047644 
   217.714    108.857   0.098425       7219   0.012140  -0.045564 
   272.143    108.857   0.085882       5102   0.008674  -0.050198 
   326.571    108.857   0.045436        484   0.008111   0.000996 
