    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.387658       3648   0.413047  -0.183426 
  -116.571   -349.714   0.333428       8209   0.431274  -0.146509 
   -58.286   -349.714   0.351609      10109   0.397628  -0.086192 
     0.000   -349.714   0.372101       9875   0.426198   0.005722 
    58.286   -349.714   0.353168      10862   0.387878   0.054683 
   116.571   -349.714   0.320560       9354   0.400366   0.097509 
   174.857   -349.714   0.268653       6946   0.378667   0.179055 
   233.143   -349.714   0.325016          9   0.713791   0.367324 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.302379        117   0.278632  -0.171771 
  -233.143   -291.429   0.308758      10316   0.279330  -0.229166 
  -174.857   -291.429   0.335068       8167   0.336817  -0.191960 
  -116.571   -291.429   0.351846       5033   0.301201  -0.126275 
   -58.286   -291.429   0.391725       5676   0.297659  -0.020483 
     0.000   -291.429   0.359908       5815   0.297752  -0.055429 
    58.286   -291.429   0.386238       5702   0.284813   0.029054 
   116.571   -291.429   0.359958       5544   0.300135   0.101803 
   174.857   -291.429   0.333612       7451   0.256345   0.149599 
   233.143   -291.429   0.295122      11538   0.317144   0.244876 
   291.429   -291.429   0.316179       1177   0.312000   0.320559 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.305280       9483   0.245021  -0.291079 
  -233.143   -233.143   0.331626       6246   0.214985  -0.230404 
  -174.857   -233.143   0.372502       7129   0.167116  -0.187289 
  -116.571   -233.143   0.383206       8229   0.207925  -0.091171 
   -58.286   -233.143   0.378315       7181   0.191666  -0.068695 
     0.000   -233.143   0.415798       6072   0.233055  -0.024772 
    58.286   -233.143   0.391633       7198   0.194168   0.062559 
   116.571   -233.143   0.394996       7062   0.193321   0.090638 
   174.857   -233.143   0.366844       7522   0.225482   0.139180 
   233.143   -233.143   0.329452       6143   0.218400   0.126387 
   291.429   -233.143   0.303991      12619   0.260165   0.317020 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.375862       3757   0.182026  -0.377487 
  -291.429   -174.857   0.306742       8442   0.186036  -0.325224 
  -233.143   -174.857   0.346506       7122   0.148878  -0.162155 
