    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.000000          0   0.000000   0.000000 
  -116.571   -349.714   0.000000          0   0.000000   0.000000 
   -58.286   -349.714   0.000000          0   0.000000   0.000000 
     0.000   -349.714   0.000000          0   0.000000   0.000000 
    58.286   -349.714   0.005040          4  -0.184692   0.245848 
   116.571   -349.714   0.046587        186  -0.188029  -0.005036 
   174.857   -349.714   0.043625        256  -0.049210   0.006613 
   233.143   -349.714   0.011751         11  -0.376841  -0.123470 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.000000          0   0.000000   0.000000 
  -174.857   -291.429   0.000000          0   0.000000   0.000000 
  -116.571   -291.429   0.000000          0   0.000000   0.000000 
   -58.286   -291.429   0.028936        313  -0.048208   0.121008 
     0.000   -291.429   0.044199       1425  -0.110571  -0.026344 
    58.286   -291.429   0.059701       3596  -0.087075   0.041753 
   116.571   -291.429   0.055654       5526  -0.077046  -0.003324 
   174.857   -291.429   0.061719       5847  -0.046536  -0.011458 
   233.143   -291.429   0.056289      10399  -0.016519   0.000314 
   291.429   -291.429   0.060432       1765  -0.025818  -0.033627 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.000000          0   0.000000   0.000000 
  -233.143   -233.143   0.000000          0   0.000000   0.000000 
  -174.857   -233.143   0.032675        362  -0.263065   0.160222 
  -116.571   -233.143   0.048775       1748  -0.232090   0.084011 
   -58.286   -233.143   0.062132       5687  -0.122149   0.058074 
     0.000   -233.143   0.057097       6040  -0.141798   0.040717 
    58.286   -233.143   0.061281       6653  -0.129722   0.013457 
   116.571   -233.143   0.055565       9209  -0.068745  -0.017892 
   174.857   -233.143   0.062155       6910  -0.052141  -0.045727 
   233.143   -233.143   0.073347       6132  -0.043448  -0.007295 
   291.429   -233.143   0.069260       8855  -0.013309  -0.029564 
   349.714   -233.143   0.045176        101  -0.007972   0.006176 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.000000          0   0.000000   0.000000 
  -291.429   -174.857   0.043341        259   0.003059  -0.053705 
  -233.143   -174.857   0.051320       1925  -0.055663   0.072619 
