    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.212190        535   0.173146  -0.070158 
  -116.571   -349.714   0.162859       2485   0.159745  -0.018818 
   -58.286   -349.714   0.198068       3918   0.127872  -0.058232 
     0.000   -349.714   0.175942       4326   0.226368  -0.059159 
    58.286   -349.714   0.213104       5950   0.158231   0.031755 
   116.571   -349.714   0.192600       6504   0.097779   0.024853 
   174.857   -349.714   0.181289       4783   0.075632   0.050396 
   233.143   -349.714   0.151450        147   0.073986   0.087310 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.148031       3170   0.068904  -0.065047 
  -174.857   -291.429   0.173959       5570   0.121533  -0.095513 
  -116.571   -291.429   0.190273       6995   0.109009  -0.004487 
   -58.286   -291.429   0.230292       5061   0.122271  -0.027919 
     0.000   -291.429   0.214571       5790   0.049082  -0.051031 
    58.286   -291.429   0.232460       4942   0.076159   0.041424 
   116.571   -291.429   0.197298       5931   0.061252   0.042114 
   174.857   -291.429   0.202550       5917   0.114472  -0.029980 
   233.143   -291.429   0.171264      13684   0.084060   0.050640 
   291.429   -291.429   0.133161       2498   0.068512   0.075367 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.157114       3086   0.046666  -0.052703 
  -233.143   -233.143   0.138327       7606   0.030793  -0.053496 
  -174.857   -233.143   0.182056       6262   0.013311  -0.072427 
  -116.571   -233.143   0.224195       7454   0.020826  -0.044236 
   -58.286   -233.143   0.245429       5839   0.064114  -0.001519 
     0.000   -233.143   0.210787       7568   0.027734  -0.002894 
    58.286   -233.143   0.227779       5652   0.037076   0.006227 
   116.571   -233.143   0.242102       7419   0.073587  -0.004428 
   174.857   -233.143   0.200190       9222   0.069477   0.000747 
   233.143   -233.143   0.204429       3471   0.078659   0.052098 
   291.429   -233.143   0.151567      14226   0.054716   0.077573 
   349.714   -233.143   0.173050        414   0.029928   0.117372 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.154813        292   0.157442  -0.160691 
  -291.429   -174.857   0.182548       5273   0.060950  -0.071699 
  -233.143   -174.857   0.180042       5820   0.083543  -0.066954 
