    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.301871       1666   0.460611  -0.209898 
  -116.571   -349.714   0.338553       6152   0.430842  -0.152403 
   -58.286   -349.714   0.318847       7749   0.408759  -0.090991 
     0.000   -349.714   0.380521       8720   0.400611   0.000240 
    58.286   -349.714   0.376171       8263   0.418580   0.045708 
   116.571   -349.714   0.342995       9120   0.325993   0.084590 
   174.857   -349.714   0.321650       6685   0.357618   0.134648 
   233.143   -349.714   0.335049        170   0.412941   0.241979 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.283786       6179   0.285542  -0.220937 
  -174.857   -291.429   0.318770       8739   0.303496  -0.209631 
  -116.571   -291.429   0.403601       6388   0.275223  -0.104404 
   -58.286   -291.429   0.402331       6053   0.280625  -0.037595 
     0.000   -291.429   0.384325       6459   0.259520  -0.012354 
    58.286   -291.429   0.371694       5315   0.271597   0.038225 
   116.571   -291.429   0.337176       6343   0.232907   0.066227 
   174.857   -291.429   0.388895       5702   0.283753   0.104838 
   233.143   -291.429   0.322599      12895   0.283878   0.179440 
   291.429   -291.429   0.290415       2577   0.252776   0.279643 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.284120       5646   0.237815  -0.309316 
  -233.143   -233.143   0.262924       8991   0.190127  -0.185032 
  -174.857   -233.143   0.340549       5697   0.209157  -0.164651 
  -116.571   -233.143   0.404467       7979   0.133276  -0.109848 
   -58.286   -233.143   0.442897       6031   0.220188  -0.081224 
     0.000   -233.143   0.428288       7841   0.202110  -0.036334 
    58.286   -233.143   0.366990       7115   0.211722   0.086622 
   116.571   -233.143   0.397071       8142   0.203197   0.028441 
   174.857   -233.143   0.378041       8803   0.231315   0.081683 
   233.143   -233.143   0.329050       3863   0.244737   0.171290 
   291.429   -233.143   0.322352      13606   0.229488   0.267068 
   349.714   -233.143   0.322290        757   0.223172   0.340187 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.230528       1033   0.223938  -0.383208 
  -291.429   -174.857   0.318483       9423   0.166717  -0.313268 
  -233.143   -174.857   0.325431       6462   0.156539  -0.204252 
