    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.142094        110   0.164881   0.012770 
     0.000   -381.000   0.086580        160   0.142075   0.007860 
    54.429   -381.000   0.111335        130   0.010856   0.021382 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.100346        782   0.043403  -0.028811 
  -163.286   -326.571   0.078949       7924   0.003858   0.001340 
  -108.857   -326.571   0.119718       4529   0.001138  -0.022542 
   -54.429   -326.571   0.101228       8046   0.003732  -0.011606 
     0.000   -326.571   0.102059       8176   0.016966   0.009325 
    54.429   -326.571   0.112903       8425   0.004787   0.016918 
   108.857   -326.571   0.101169       6776   0.006332  -0.015116 
   163.286   -326.571   0.098540       3865   0.005378   0.016500 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.088146       3555  -0.018793   0.016207 
  -217.714   -272.143   0.094191      10118  -0.009855  -0.004867 
  -163.286   -272.143   0.100168       6587  -0.022158  -0.011607 
  -108.857   -272.143   0.088060       6203  -0.033700   0.018891 
   -54.429   -272.143   0.108114       6696  -0.016684  -0.015850 
     0.000   -272.143   0.107467       6174  -0.044007  -0.001953 
    54.429   -272.143   0.111700       6428  -0.006488   0.000998 
   108.857   -272.143   0.106039       5985   0.021499  -0.016030 
   163.286   -272.143   0.089393      11010   0.015179  -0.000599 
   217.714   -272.143   0.117807       7084   0.019252   0.023934 
   272.143   -272.143   0.132316        273  -0.054604   0.006839 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.089442       1717  -0.000722  -0.011977 
  -272.143   -217.714   0.089950      12649   0.015381   0.009727 
  -217.714   -217.714   0.103935       5809   0.007070  -0.018550 
  -163.286   -217.714   0.104628       7932   0.006724   0.018611 
  -108.857   -217.714   0.117815       8271  -0.000983  -0.002651 
   -54.429   -217.714   0.096366       9653  -0.006863  -0.003142 
     0.000   -217.714   0.107742       7322  -0.020671   0.004069 
    54.429   -217.714   0.108816       9357  -0.001873  -0.033631 
   108.857   -217.714   0.111418       9275  -0.003439  -0.010254 
   163.286   -217.714   0.122593       6806   0.008107  -0.002897 
   217.714   -217.714   0.125272       8060   0.009633   0.000027 
   272.143   -217.714   0.114730      10329  -0.005589   0.021219 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.083828       7518   0.005675  -0.009469 
  -272.143   -163.286   0.102353       5670  -0.032287   0.021074 
  -217.714   -163.286   0.074712       7121   0.006497  -0.006514 
  -163.286   -163.286   0.098738       8389  -0.007396   0.018854 
  -108.857   -163.286   0.114054       7100   0.008525  -0.002879 
   -54.429   -163.286   0.098512      10156  -0.001990   0.003590 
     0.000   -163.286   0.111360       6976  -0.000682  -0.006141 
    54.429   -163.286   0.112550       8322  -0.011652  -0.019030 
   108.857   -163.286   0.127673       7943  -0.019927  -0.017368 
   163.286   -163.286   0.112316       8947  -0.014341  -0.006289 
   217.714   -163.286   0.140283       5796  -0.002808   0.010338 
   272.143   -163.286   0.111183       8223   0.032378   0.003656 
   326.571   -163.286   0.104376       4365   0.005633   0.017234 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.014051          5   0.071081  -0.418119 
  -326.571   -108.857   0.084826       9316   0.000313  -0.000951 
  -272.143   -108.857   0.107127       6030   0.025266  -0.009943 
  -217.714   -108.857   0.101096      11334   0.003038   0.008693 
  -163.286   -108.857   0.117940       5930   0.020473   0.003037 
  -108.857   -108.857   0.122282       8700   0.018317   0.004439 
   -54.429   -108.857   0.112083       7078   0.007095   0.012401 
     0.000   -108.857   0.115866       9868   0.004745  -0.000697 
    54.429   -108.857   0.115217      10012  -0.001874  -0.021101 
   108.857   -108.857   0.120654      10044   0.001553  -0.012874 
   163.286   -108.857   0.139372       6777   0.010504  -0.011549 
   217.714   -108.857   0.127057       9572  -0.002694  -0.004259 
   272.143   -108.857   0.124743       6427  -0.015195   0.028673 
   326.571   -108.857   0.102913       4936   0.006287   0.001437 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.132754        594   0.019955  -0.021688 
  -326.571    -54.429   0.105068       6858   0.018518  -0.003806 
  -272.143    -54.429   0.100720       6438   0.004156   0.004870 
  -217.714    -54.429   0.116509       9135   0.009205   0.004592 
  -163.286    -54.429   0.128400       9192  -0.003132  -0.004307 
  -108.857    -54.429   0.136425       8651  -0.005728   0.009930 
   -54.429    -54.429   0.111543      11052   0.004250   0.003295 
     0.000    -54.429   0.114657       7504   0.012309   0.006511 
    54.429    -54.429   0.101813       6607   0.000789  -0.011267 
   108.857    -54.429   0.106444       8302   0.000907  -0.018883 
   163.286    -54.429   0.136452       7470  -0.013330  -0.017857 
   217.714    -54.429   0.129646       7042   0.016987  -0.007612 
   272.143    -54.429   0.131429       6564   0.017618   0.009381 
   326.571    -54.429   0.111581       4454  -0.013632   0.034625 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.154370       1153  -0.002542  -0.077926 
  -326.571      0.000   0.109667      10650   0.002066  -0.007026 
  -272.143      0.000   0.104873       4543   0.021431   0.000850 
  -217.714      0.000   0.130713       9739   0.016346   0.009457 
  -163.286      0.000   0.127915       6785   0.005018   0.005521 
  -108.857      0.000   0.110702       9553  -0.006822   0.017793 
   -54.429      0.000   0.117710       7464  -0.011154  -0.000859 
     0.000      0.000   0.107399       9923  -0.004624   0.002955 
    54.429      0.000   0.104727       9313   0.000677  -0.002009 
   108.857      0.000   0.118992       9777  -0.004964  -0.025873 
   163.286      0.000   0.118995       8217  -0.004059  -0.003191 
   217.714      0.000   0.120092       8061  -0.003875  -0.011271 
   272.143      0.000   0.131186       5394  -0.020710   0.006622 
   326.571      0.000   0.135995       4503   0.009912   0.038587 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.121420        255   0.006227  -0.116586 
  -326.571     54.429   0.119975       6689  -0.000433  -0.029881 
  -272.143     54.429   0.125389       5032   0.021092  -0.002111 
  -217.714     54.429   0.118475       8051  -0.005320   0.024860 
  -163.286     54.429   0.118037       7317   0.008177   0.016270 
  -108.857     54.429   0.126373       6889  -0.004205   0.010137 
   -54.429     54.429   0.112913       9967  -0.006505   0.015614 
     0.000     54.429   0.113002       7142  -0.022560  -0.008009 
    54.429     54.429   0.120691       8341  -0.006776  -0.005034 
   108.857     54.429   0.103095      10550   0.001811  -0.026625 
   163.286     54.429   0.134468       6207  -0.007448  -0.008345 
   217.714     54.429   0.117572       9134  -0.006932  -0.013106 
   272.143     54.429   0.098033       7502   0.009541   0.012465 
   326.571     54.429   0.119236       2962  -0.005987   0.046379 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.113490       9673  -0.004071  -0.027376 
  -272.143    108.857   0.106489       6436  -0.013113   0.009687 
  -217.714    108.857   0.118914      10836  -0.008368   0.008848 
  -163.286    108.857   0.117805       9174  -0.001095   0.018647 
  -108.857    108.857   0.119677       9532  -0.004295   0.020851 
   -54.429    108.857   0.113667       9091   0.007555   0.003360 
     0.000    108.857   0.107167       9965   0.006073   0.002909 
    54.429    108.857   0.113232       9443  -0.004039  -0.012309 
   108.857    108.857   0.121053       7623   0.009208  -0.029126 
   163.286    108.857   0.129280       8523   0.008200  -0.008787 
   217.714    108.857   0.120343       6841  -0.012018  -0.007585 
   272.143    108.857   0.117322       6461   0.017035   0.004877 
   326.571    108.857   0.128943       2562   0.001431   0.057172 
