    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.119563        578   0.135712   0.004153 
     0.000   -381.000   0.129161        941   0.137547   0.006862 
    54.429   -381.000   0.113941        276   0.149506   0.034239 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.145319        665   0.068793  -0.056694 
  -163.286   -326.571   0.115483       6222   0.074924  -0.034807 
  -108.857   -326.571   0.130976       7632   0.069693  -0.009860 
   -54.429   -326.571   0.136751       9426   0.059212  -0.018465 
     0.000   -326.571   0.145398       6885   0.088978  -0.020954 
    54.429   -326.571   0.152252       9563   0.082948   0.007339 
   108.857   -326.571   0.141910       7863   0.090701   0.042545 
   163.286   -326.571   0.138367       4849   0.106043   0.043281 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.163852       2848   0.119667  -0.085455 
  -217.714   -272.143   0.120394      14581   0.053980  -0.034547 
  -163.286   -272.143   0.117693       5834   0.070974  -0.001639 
  -108.857   -272.143   0.135680       7278   0.047627  -0.001995 
   -54.429   -272.143   0.163491       7581   0.048892  -0.016882 
     0.000   -272.143   0.152789       8179   0.037213  -0.005052 
    54.429   -272.143   0.173389       4414   0.036897  -0.008289 
   108.857   -272.143   0.140106       8334   0.048634   0.024201 
   163.286   -272.143   0.138775       8449   0.064595   0.012131 
   217.714   -272.143   0.155211      11020   0.070545   0.058274 
   272.143   -272.143   0.169798        497   0.112668   0.079919 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.131094       1491   0.079938  -0.099273 
  -272.143   -217.714   0.130924      11375   0.041080  -0.063878 
  -217.714   -217.714   0.119845       5293   0.057025  -0.026720 
  -163.286   -217.714   0.147526       9830   0.031578   0.011284 
  -108.857   -217.714   0.159392       5900   0.046854  -0.024766 
   -54.429   -217.714   0.167258       8543   0.015148  -0.005753 
     0.000   -217.714   0.168057       6125   0.020102  -0.007518 
    54.429   -217.714   0.169341       7583   0.028713   0.010520 
   108.857   -217.714   0.157000       8751   0.009891  -0.003617 
   163.286   -217.714   0.176681       5232   0.014207   0.020103 
   217.714   -217.714   0.214563       4969   0.028998   0.047830 
   272.143   -217.714   0.158544       8934   0.046337   0.082242 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.132364       6075   0.037068  -0.094035 
  -272.143   -163.286   0.128002       6604   0.011977  -0.060274 
  -217.714   -163.286   0.140946       9973  -0.000490  -0.027078 
  -163.286   -163.286   0.146227       4854   0.007589  -0.005310 
  -108.857   -163.286   0.147284      10453   0.006024  -0.000402 
   -54.429   -163.286   0.161795       6611  -0.006290   0.019265 
     0.000   -163.286   0.164568      10506   0.009535  -0.021835 
    54.429   -163.286   0.165901       7938   0.019133  -0.003039 
   108.857   -163.286   0.176824       7038   0.020843   0.008861 
   163.286   -163.286   0.155012       9775   0.006077   0.020594 
   217.714   -163.286   0.155447       7517   0.016586   0.036728 
   272.143   -163.286   0.134723      10914   0.022996   0.051572 
   326.571   -163.286   0.126049       3386   0.028842   0.079588 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.046749         15   0.016345   0.033099 
  -326.571   -108.857   0.121082       9530   0.016438  -0.082739 
  -272.143   -108.857   0.146552       8084   0.017197  -0.040298 
  -217.714   -108.857   0.143451       8392   0.006615  -0.021426 
  -163.286   -108.857   0.160255      10517   0.000401   0.006824 
  -108.857   -108.857   0.151958       7970  -0.021760   0.015432 
   -54.429   -108.857   0.153238       7714  -0.008397  -0.013233 
     0.000   -108.857   0.169425       7543  -0.009336  -0.006973 
    54.429   -108.857   0.145344       9416  -0.017340  -0.019283 
   108.857   -108.857   0.178951       8377   0.000538   0.014205 
   163.286   -108.857   0.186981       6471   0.035914   0.003745 
   217.714   -108.857   0.156704       8110   0.019683   0.029687 
   272.143   -108.857   0.150088       7280   0.033635   0.061194 
   326.571   -108.857   0.134083       5973   0.031456   0.100727 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.152904        804   0.042989  -0.176065 
  -326.571    -54.429   0.140891       8918   0.022949  -0.088736 
  -272.143    -54.429   0.150469       5874   0.020987  -0.047009 
  -217.714    -54.429   0.168168       6066   0.005312  -0.003309 
  -163.286    -54.429   0.183793       6383  -0.015836   0.011076 
  -108.857    -54.429   0.159651       7951   0.012621   0.003749 
   -54.429    -54.429   0.170116       6707   0.007018  -0.019037 
     0.000    -54.429   0.165008       9528  -0.012902   0.017988 
    54.429    -54.429   0.159386       6323  -0.026539  -0.023312 
   108.857    -54.429   0.177458       8210  -0.023339  -0.003286 
   163.286    -54.429   0.169727       8790  -0.016970  -0.009794 
   217.714    -54.429   0.202100       6438   0.012300   0.021087 
   272.143    -54.429   0.163442       5739   0.018392   0.069114 
   326.571    -54.429   0.139913       6726   0.032648   0.120214 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.170507       1651  -0.002634  -0.189051 
  -326.571      0.000   0.151236       7190   0.010510  -0.088253 
  -272.143      0.000   0.151636       9505  -0.000378  -0.033436 
  -217.714      0.000   0.151485       8956  -0.002097   0.004499 
  -163.286      0.000   0.160926       8671   0.008366   0.013741 
  -108.857      0.000   0.174902       8010   0.016790  -0.025944 
   -54.429      0.000   0.150728       9884   0.026211   0.018024 
     0.000      0.000   0.156527       8336  -0.001152   0.012020 
    54.429      0.000   0.177541       8442   0.009598  -0.024963 
   108.857      0.000   0.157793       7388   0.006383  -0.001312 
   163.286      0.000   0.188716       7757   0.009760   0.008792 
   217.714      0.000   0.184892       6981  -0.008165  -0.002359 
   272.143      0.000   0.159918       7703   0.004877   0.037027 
   326.571      0.000   0.159019       6518  -0.015268   0.139209 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.111916        723  -0.006508  -0.115951 
  -326.571     54.429   0.124014       9035  -0.015227  -0.107896 
  -272.143     54.429   0.144686       6732   0.010728  -0.026662 
  -217.714     54.429   0.186395       6094  -0.020837   0.027204 
  -163.286     54.429   0.150031       8705  -0.020620  -0.006389 
  -108.857     54.429   0.149784       6805  -0.013944   0.000005 
   -54.429     54.429   0.149092       9834  -0.040684   0.013002 
     0.000     54.429   0.148571       6936  -0.027965   0.008226 
    54.429     54.429   0.169591      10610  -0.012959  -0.009853 
   108.857     54.429   0.170602       7710  -0.000245  -0.034595 
   163.286     54.429   0.167347       7595  -0.023332   0.021494 
   217.714     54.429   0.155333       7636  -0.004212   0.004143 
   272.143     54.429   0.175074       4643  -0.022847   0.078998 
   326.571     54.429   0.148520       6471  -0.010122   0.121292 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.131501      11184  -0.028264  -0.082011 
  -272.143    108.857   0.152880       6118  -0.050021  -0.021425 
  -217.714    108.857   0.159821      10669  -0.012977   0.007828 
  -163.286    108.857   0.176293       6641  -0.016600  -0.016060 
  -108.857    108.857   0.172989       9179  -0.038340   0.011052 
   -54.429    108.857   0.166435       7486  -0.036787   0.018584 
     0.000    108.857   0.167627       9956  -0.012512  -0.001456 
    54.429    108.857   0.165242       7266  -0.020429  -0.017000 
   108.857    108.857   0.183381       7469  -0.028443  -0.021320 
   163.286    108.857   0.170537       8192  -0.007422  -0.000422 
   217.714    108.857   0.199463       6025  -0.026298   0.014440 
   272.143    108.857   0.170733       7825  -0.014261   0.034060 
   326.571    108.857   0.195347       5569  -0.041985   0.131309 
   381.000    108.857   0.000000          0   0.000000   0.000000 
