    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.171505        389   0.248437  -0.011674 
     0.000   -381.000   0.181602       1715   0.193228   0.010893 
    54.429   -381.000   0.179281        121   0.165040   0.077796 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.131035       1127   0.135637  -0.066737 
  -163.286   -326.571   0.143179       8813   0.117273  -0.048251 
  -108.857   -326.571   0.160997       7742   0.134914  -0.019410 
   -54.429   -326.571   0.154347       6800   0.145533  -0.025303 
     0.000   -326.571   0.175908       9755   0.091850  -0.007154 
    54.429   -326.571   0.135941       8385   0.143510   0.027075 
   108.857   -326.571   0.146283       9262   0.126793   0.033214 
   163.286   -326.571   0.131344       6190   0.096402   0.059052 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.149894       3391   0.077510  -0.091705 
  -217.714   -272.143   0.132985      13056   0.083554  -0.068178 
  -163.286   -272.143   0.137816       4214   0.112160  -0.032333 
  -108.857   -272.143   0.146031       7546   0.073654   0.005035 
   -54.429   -272.143   0.170553       8844   0.083476  -0.006606 
     0.000   -272.143   0.136834       7200   0.064856  -0.021332 
    54.429   -272.143   0.184698       7808   0.058018   0.010729 
   108.857   -272.143   0.149744       6576   0.050123   0.023674 
   163.286   -272.143   0.139121       8277   0.083518   0.036314 
   217.714   -272.143   0.173040      10823   0.087986   0.084910 
   272.143   -272.143   0.131949        396   0.122674   0.107643 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.163275       1542   0.091574  -0.118016 
  -272.143   -217.714   0.145480      11189   0.072249  -0.090167 
  -217.714   -217.714   0.184158       4531   0.052262  -0.089737 
  -163.286   -217.714   0.170596      10641   0.048182  -0.026279 
  -108.857   -217.714   0.162944       6691   0.069481   0.010144 
   -54.429   -217.714   0.202685       6769   0.028200  -0.003957 
     0.000   -217.714   0.189423       6625   0.065275   0.011938 
    54.429   -217.714   0.191287       6719   0.053957  -0.014566 
   108.857   -217.714   0.196212       8027   0.044884   0.021420 
   163.286   -217.714   0.190494       7049   0.043825   0.050438 
   217.714   -217.714   0.153690       5797   0.074656   0.049161 
   272.143   -217.714   0.165034       9948   0.060801   0.112144 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.130337       9514   0.036079  -0.097716 
  -272.143   -163.286   0.169471       5167   0.029289  -0.082545 
  -217.714   -163.286   0.193807       8957   0.039672  -0.069479 
  -163.286   -163.286   0.181009       7651   0.026788  -0.030700 
  -108.857   -163.286   0.199123       8305   0.057526  -0.011617 
   -54.429   -163.286   0.201877       8491   0.075397  -0.014420 
     0.000   -163.286   0.220681       6021   0.072261   0.026231 
    54.429   -163.286   0.187219       9228   0.046617   0.023055 
   108.857   -163.286   0.173236       6376   0.041049   0.025081 
   163.286   -163.286   0.176017      10931   0.027346   0.017855 
   217.714   -163.286   0.193762       6528   0.034714   0.058852 
   272.143   -163.286   0.153084       8962   0.050257   0.106027 
   326.571   -163.286   0.164960       3584   0.035968   0.106503 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.063836          8   0.082420   0.071299 
  -326.571   -108.857   0.153019      10015   0.047184  -0.114937 
  -272.143   -108.857   0.182411       7525   0.036054  -0.076376 
  -217.714   -108.857   0.199446       6734   0.032137  -0.061800 
  -163.286   -108.857   0.222820       7771   0.051243  -0.075214 
  -108.857   -108.857   0.221315       6532   0.042885  -0.006508 
   -54.429   -108.857   0.212087       8283   0.040755  -0.010065 
     0.000   -108.857   0.205835       8639   0.037041   0.027410 
    54.429   -108.857   0.191652       9670   0.020112   0.025334 
   108.857   -108.857   0.202457       8339   0.020553   0.032005 
   163.286   -108.857   0.241087       5721   0.047045   0.013213 
   217.714   -108.857   0.199846       8216   0.022311   0.077455 
   272.143   -108.857   0.152812       6268   0.011564   0.081854 
   326.571   -108.857   0.178134       7439   0.025358   0.117935 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.136155       1846   0.023236  -0.123057 
  -326.571    -54.429   0.161241       9382   0.017149  -0.126320 
  -272.143    -54.429   0.169932       5894   0.020761  -0.083847 
  -217.714    -54.429   0.201624       8017   0.019846  -0.056580 
  -163.286    -54.429   0.175272       9157  -0.003582  -0.038577 
  -108.857    -54.429   0.204380       7742  -0.002275  -0.042357 
   -54.429    -54.429   0.224048       7426   0.003702  -0.004596 
     0.000    -54.429   0.216308       7380  -0.012537   0.031282 
    54.429    -54.429   0.241208       5509   0.007019   0.034818 
   108.857    -54.429   0.215437       8286   0.025166   0.040776 
   163.286    -54.429   0.223937       7239  -0.016919   0.051082 
   217.714    -54.429   0.199407       7398  -0.039497   0.074583 
   272.143    -54.429   0.189872       6219  -0.026296   0.085728 
   326.571    -54.429   0.156712       7522  -0.003700   0.106680 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.154312       2342   0.006548  -0.206467 
  -326.571      0.000   0.166528       9008   0.005891  -0.114185 
  -272.143      0.000   0.181816       7735   0.015741  -0.085364 
  -217.714      0.000   0.205284       7198   0.010263  -0.042251 
  -163.286      0.000   0.215479       9163   0.017698  -0.044361 
  -108.857      0.000   0.214135       8106   0.025223  -0.021094 
   -54.429      0.000   0.234998       6746  -0.004329   0.039995 
     0.000      0.000   0.217071       8851  -0.004937   0.004724 
    54.429      0.000   0.214854       7172  -0.006090   0.027929 
   108.857      0.000   0.219533       8058  -0.022038   0.037885 
   163.286      0.000   0.201178       8223  -0.019794   0.050609 
   217.714      0.000   0.191610       8256   0.005682   0.059668 
   272.143      0.000   0.214730       6567   0.037127   0.069533 
   326.571      0.000   0.165263       6362   0.024661   0.134451 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.184618        891  -0.028572  -0.193893 
  -326.571     54.429   0.157311       9455  -0.042208  -0.138039 
  -272.143     54.429   0.190293       5980  -0.011197  -0.089792 
  -217.714     54.429   0.223962       6440   0.006134  -0.076001 
  -163.286     54.429   0.206723       7724  -0.013133  -0.059256 
  -108.857     54.429   0.241343       5512  -0.038119   0.015972 
   -54.429     54.429   0.211420       9222  -0.042578   0.016230 
     0.000     54.429   0.193177       7912  -0.014866   0.025724 
    54.429     54.429   0.174040       8150  -0.022347   0.014768 
   108.857     54.429   0.168490       7095  -0.010293   0.063511 
   163.286     54.429   0.202572       8770  -0.015759   0.040126 
   217.714     54.429   0.218507       6381  -0.027687   0.045781 
   272.143     54.429   0.197895       5331  -0.049501   0.048017 
   326.571     54.429   0.176522       7850  -0.014910   0.131269 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.139291      11032  -0.015739  -0.134750 
  -272.143    108.857   0.187133       5421   0.009856  -0.112962 
  -217.714    108.857   0.210794       8364  -0.009945  -0.037668 
  -163.286    108.857   0.231459       6991  -0.050074  -0.030151 
  -108.857    108.857   0.212451       9238  -0.046752   0.006415 
   -54.429    108.857   0.180704       7583  -0.025840   0.005354 
     0.000    108.857   0.188945       7935  -0.043020  -0.000778 
    54.429    108.857   0.193509       7628  -0.023881   0.043648 
   108.857    108.857   0.185092       8922  -0.026883   0.044238 
   163.286    108.857   0.202580       5718  -0.040513   0.060329 
   217.714    108.857   0.211012       8706  -0.008376   0.037677 
   272.143    108.857   0.193911       5568   0.007693   0.078695 
   326.571    108.857   0.194199       4779  -0.056918   0.146246 
   381.000    108.857   0.000000          0   0.000000   0.000000 
