    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.306590       3476   0.239527  -0.122179 
  -116.571   -349.714   0.303033       7340   0.236194  -0.080123 
   -58.286   -349.714   0.276754      10070   0.217418  -0.041767 
     0.000   -349.714   0.291380       8999   0.280214  -0.009541 
    58.286   -349.714   0.270275      10364   0.248860   0.024837 
   116.571   -349.714   0.256146       9542   0.268675   0.056619 
   174.857   -349.714   0.267180       7992   0.227899   0.101094 
   233.143   -349.714   0.150153         19   0.461445   0.370884 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.189547         63   0.279703  -0.278353 
  -233.143   -291.429   0.264629       9959   0.170914  -0.128715 
  -174.857   -291.429   0.277893       8585   0.171288  -0.103059 
  -116.571   -291.429   0.349779       5825   0.187235  -0.052264 
   -58.286   -291.429   0.347468       5742   0.189296  -0.066379 
     0.000   -291.429   0.328425       6629   0.179748  -0.031723 
    58.286   -291.429   0.324169       6460   0.172805   0.007869 
   116.571   -291.429   0.320489       5294   0.185832   0.019348 
   174.857   -291.429   0.262098       5980   0.238715   0.061916 
   233.143   -291.429   0.288668      11906   0.235992   0.191502 
   291.429   -291.429   0.303353       1092   0.233588   0.274757 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.251418       9525   0.145169  -0.195148 
  -233.143   -233.143   0.261027       6081   0.146316  -0.110769 
  -174.857   -233.143   0.365181       6615   0.168407  -0.082845 
  -116.571   -233.143   0.337949       7783   0.129868  -0.071797 
   -58.286   -233.143   0.328121       8424   0.127105  -0.046233 
     0.000   -233.143   0.350670       6883   0.120694  -0.030027 
    58.286   -233.143   0.311667       7652   0.105331   0.019378 
   116.571   -233.143   0.311914       8547   0.121793   0.001763 
   174.857   -233.143   0.294242       9606   0.105048   0.062086 
   233.143   -233.143   0.274773       5622   0.137036   0.110104 
   291.429   -233.143   0.247035      12131   0.178721   0.234303 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.235619       3861   0.112142  -0.237592 
  -291.429   -174.857   0.269940       7803   0.109731  -0.202708 
  -233.143   -174.857   0.300332       7929   0.082551  -0.122734 
