    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.134786        219   0.148358  -0.031595 
     0.000   -381.000   0.147515        775   0.175084   0.012993 
    54.429   -381.000   0.160309        113   0.095731   0.076410 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.094557       1405   0.031713  -0.015771 
  -163.286   -326.571   0.099138       6104   0.027950  -0.013629 
  -108.857   -326.571   0.122388       5740   0.007371  -0.004026 
   -54.429   -326.571   0.134469       6009   0.069137  -0.041474 
     0.000   -326.571   0.107152       8609   0.046318  -0.000392 
    54.429   -326.571   0.115642       7661   0.060080   0.022947 
   108.857   -326.571   0.100330       4600   0.089118   0.025301 
   163.286   -326.571   0.076360       7531   0.037536   0.011770 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.096880       2094  -0.026037   0.015976 
  -217.714   -272.143   0.092970      11935  -0.006380  -0.013149 
  -163.286   -272.143   0.100697       6606  -0.028543   0.022415 
  -108.857   -272.143   0.129483       7471   0.005599  -0.022677 
   -54.429   -272.143   0.134206       6147  -0.028479  -0.062655 
     0.000   -272.143   0.129496       7459   0.019203  -0.003747 
    54.429   -272.143   0.109663       7367   0.039768   0.000491 
   108.857   -272.143   0.112359       6227   0.049593   0.007942 
   163.286   -272.143   0.083558       8858   0.041590   0.014710 
   217.714   -272.143   0.107032       8731   0.042080   0.046738 
   272.143   -272.143   0.142483        486   0.025390   0.016109 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.098203        736   0.038090  -0.084034 
  -272.143   -217.714   0.084277      15993   0.017808   0.000100 
  -217.714   -217.714   0.104630       5245   0.020683   0.017311 
  -163.286   -217.714   0.128886       8052   0.016902  -0.010966 
  -108.857   -217.714   0.118962       7167   0.015855  -0.029009 
   -54.429   -217.714   0.129748       7067   0.010922  -0.013332 
     0.000   -217.714   0.128848       7887  -0.034327  -0.026654 
    54.429   -217.714   0.133310       5800  -0.022221  -0.049382 
   108.857   -217.714   0.117614      10222   0.021175   0.011549 
   163.286   -217.714   0.107085       8093   0.026730   0.019637 
   217.714   -217.714   0.100835       6766   0.036910   0.019836 
   272.143   -217.714   0.103741       9500   0.028807   0.049663 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.095742       4597   0.028727  -0.025287 
  -272.143   -163.286   0.091020       6977  -0.007885  -0.003619 
  -217.714   -163.286   0.127133       8467   0.007473   0.006985 
  -163.286   -163.286   0.133300       7282   0.014974  -0.022936 
  -108.857   -163.286   0.131498       9754   0.014792   0.005252 
   -54.429   -163.286   0.121740       7321  -0.023568   0.001928 
     0.000   -163.286   0.125487       9334  -0.014766  -0.022338 
    54.429   -163.286   0.118170      10499  -0.007695  -0.027417 
   108.857   -163.286   0.110693       5993  -0.012232  -0.014254 
   163.286   -163.286   0.110720       9136  -0.001312   0.011062 
   217.714   -163.286   0.126079       6462  -0.002768   0.042081 
   272.143   -163.286   0.095149       9025   0.010615   0.037915 
   326.571   -163.286   0.096313       3248   0.012819   0.048274 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.016487          3   0.153847   0.060806 
  -326.571   -108.857   0.106913       7225   0.019651  -0.030731 
  -272.143   -108.857   0.109842       7237   0.012513   0.007141 
  -217.714   -108.857   0.140753       6532   0.033044  -0.005767 
  -163.286   -108.857   0.128869       9720   0.013560  -0.014273 
  -108.857   -108.857   0.116364       8030   0.013234   0.009450 
   -54.429   -108.857   0.118406       8278   0.012916   0.014804 
     0.000   -108.857   0.134744      10100   0.008756  -0.015439 
    54.429   -108.857   0.114267       6800  -0.011743  -0.045268 
   108.857   -108.857   0.131386       9338  -0.020722  -0.012905 
   163.286   -108.857   0.113817      10198  -0.013047   0.006429 
   217.714   -108.857   0.124788       8311  -0.009132   0.029442 
   272.143   -108.857   0.106113       7857   0.001315   0.024780 
   326.571   -108.857   0.081151       6561   0.011907   0.047096 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.156179        746   0.027115  -0.148814 
  -326.571    -54.429   0.110199       8381   0.006008  -0.029121 
  -272.143    -54.429   0.112556       8338   0.024987   0.013559 
  -217.714    -54.429   0.132233       6752   0.011705   0.007263 
  -163.286    -54.429   0.132597       9249   0.004863  -0.009628 
  -108.857    -54.429   0.112161       6946  -0.007983   0.005229 
   -54.429    -54.429   0.107913       8652  -0.011372   0.010008 
     0.000    -54.429   0.121187       9554  -0.005618  -0.012859 
    54.429    -54.429   0.125779       7492  -0.015712  -0.012200 
   108.857    -54.429   0.134420       8867  -0.012974  -0.018507 
   163.286    -54.429   0.142435       6709  -0.030231   0.007884 
   217.714    -54.429   0.143950       6077   0.002492   0.022300 
   272.143    -54.429   0.100062       6231   0.016799   0.027934 
   326.571    -54.429   0.116374       4675   0.004636   0.065927 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.124741       1471  -0.006274  -0.047939 
  -326.571      0.000   0.108130       9883  -0.005798  -0.030596 
  -272.143      0.000   0.133879       7226   0.002756  -0.017283 
  -217.714      0.000   0.135863       7256   0.011212   0.035183 
  -163.286      0.000   0.120269       9156  -0.000044  -0.000870 
  -108.857      0.000   0.118627       9438   0.001876   0.010185 
   -54.429      0.000   0.111838       7180  -0.006454   0.008225 
     0.000      0.000   0.120407       9287  -0.005889  -0.018043 
    54.429      0.000   0.128346       7300  -0.003448  -0.022114 
   108.857      0.000   0.129653       8507   0.004715  -0.013518 
   163.286      0.000   0.124226       8007   0.002568  -0.009085 
   217.714      0.000   0.139817       8267  -0.007324   0.011916 
   272.143      0.000   0.107925       7525  -0.000652   0.011329 
   326.571      0.000   0.144236       4663   0.018121   0.094868 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.154142        208   0.026439  -0.117501 
  -326.571     54.429   0.115443       8798  -0.010084  -0.041118 
  -272.143     54.429   0.129302       7865  -0.012368  -0.001812 
  -217.714     54.429   0.121899       8574  -0.021879   0.014760 
  -163.286     54.429   0.127128       8136  -0.026945   0.014999 
  -108.857     54.429   0.124228       7948  -0.033470   0.009939 
   -54.429     54.429   0.119108      10503  -0.009377  -0.001526 
     0.000     54.429   0.123149       9285  -0.027405  -0.006875 
    54.429     54.429   0.128587       8346  -0.023320  -0.021730 
   108.857     54.429   0.128598       8250  -0.030476  -0.016683 
   163.286     54.429   0.137297       9407  -0.018949   0.006227 
   217.714     54.429   0.144527       5220  -0.019002  -0.004179 
   272.143     54.429   0.130723       6791  -0.005091   0.009314 
   326.571     54.429   0.101617       5641  -0.026655   0.074694 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.100974       9281  -0.017783  -0.029536 
  -272.143    108.857   0.140138       5038  -0.006939  -0.017799 
  -217.714    108.857   0.131951       8848  -0.007494   0.025406 
  -163.286    108.857   0.143602       7766   0.002509   0.007811 
  -108.857    108.857   0.126460       8402   0.000171   0.017816 
   -54.429    108.857   0.119875       8506  -0.007011  -0.005225 
     0.000    108.857   0.134166       8235   0.003595   0.002742 
    54.429    108.857   0.122685       8359  -0.016928  -0.045725 
   108.857    108.857   0.142416       9669  -0.009956   0.009466 
   163.286    108.857   0.136548       7245  -0.006038  -0.017195 
   217.714    108.857   0.137763       9156   0.010104  -0.012983 
   272.143    108.857   0.149937       4109   0.010195   0.042311 
   326.571    108.857   0.124621       3555  -0.009438   0.101703 
   381.000    108.857   0.000000          0   0.000000   0.000000 
