    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.197055       2145   0.135894  -0.027848 
  -116.571   -349.714   0.191560       4452   0.125350  -0.062286 
   -58.286   -349.714   0.214437       5111   0.185251  -0.045093 
     0.000   -349.714   0.199110       7005   0.159966  -0.013639 
    58.286   -349.714   0.211143       7754   0.165853  -0.011764 
   116.571   -349.714   0.196826       8692   0.148153   0.036893 
   174.857   -349.714   0.158020       7228   0.114587   0.062011 
   233.143   -349.714   0.182631         10   0.322785   0.168295 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.151009        134   0.090885  -0.021990 
  -233.143   -291.429   0.175116       8478   0.087271  -0.064055 
  -174.857   -291.429   0.177407       8433   0.065512  -0.022620 
  -116.571   -291.429   0.211773       6826   0.084563  -0.022738 
   -58.286   -291.429   0.212540       6542   0.046543  -0.046926 
     0.000   -291.429   0.194430       7319   0.049812  -0.052118 
    58.286   -291.429   0.198812       6134   0.037176   0.019748 
   116.571   -291.429   0.178226       5311  -0.017104   0.006681 
   174.857   -291.429   0.154878       7119   0.065228   0.047017 
   233.143   -291.429   0.163431      10415   0.112685   0.087962 
   291.429   -291.429   0.128105       1077   0.065646   0.053653 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.153523       7431   0.063121  -0.087135 
  -233.143   -233.143   0.199460       4094   0.010930  -0.046368 
  -174.857   -233.143   0.168065       8615   0.040390  -0.026096 
  -116.571   -233.143   0.191292       6993   0.007530  -0.028914 
   -58.286   -233.143   0.214460       6276   0.015330  -0.031417 
     0.000   -233.143   0.202847       6631  -0.014607  -0.014666 
    58.286   -233.143   0.186195       8682   0.005550  -0.011394 
   116.571   -233.143   0.186490       8811   0.046509  -0.022737 
   174.857   -233.143   0.192531      10685   0.034042   0.031288 
   233.143   -233.143   0.170127       4920   0.057631   0.013726 
   291.429   -233.143   0.155056      11718   0.075696   0.107854 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.161452       1709   0.069249  -0.124267 
  -291.429   -174.857   0.184560       8952   0.026262  -0.067418 
  -233.143   -174.857   0.183520       6946   0.046368  -0.053351 
