    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.160541        216   0.156782   0.008522 
  -116.571   -349.714   0.165891        985   0.049452   0.007948 
   -58.286   -349.714   0.164268       1101   0.083081  -0.083130 
     0.000   -349.714   0.115962       5339   0.019932  -0.005907 
    58.286   -349.714   0.117626       6004   0.013105  -0.001741 
   116.571   -349.714   0.102955       6890   0.028537   0.008042 
   174.857   -349.714   0.104444       6036   0.032802   0.015496 
   233.143   -349.714   0.117831         22  -0.101485  -0.096619 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.110684       2662   0.006190  -0.023981 
  -174.857   -291.429   0.126659       6135   0.015509  -0.013418 
  -116.571   -291.429   0.120728       6614  -0.007737   0.014955 
   -58.286   -291.429   0.139562       5647  -0.053960   0.018885 
     0.000   -291.429   0.131508       7001  -0.052118  -0.008468 
    58.286   -291.429   0.135003       8889  -0.028870  -0.021818 
   116.571   -291.429   0.120947       5537  -0.018068  -0.008399 
   174.857   -291.429   0.107711       9256  -0.000946   0.012437 
   233.143   -291.429   0.119045      11100   0.021238   0.009778 
   291.429   -291.429   0.142227       2970  -0.001942   0.008573 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.128496       1591  -0.017587   0.001188 
  -233.143   -233.143   0.127377       6146  -0.028138   0.000839 
  -174.857   -233.143   0.138601       6080  -0.079467   0.015304 
  -116.571   -233.143   0.129925       7889  -0.092311   0.044811 
   -58.286   -233.143   0.128015       5787  -0.099374   0.006671 
     0.000   -233.143   0.139610       7678  -0.054917  -0.003645 
    58.286   -233.143   0.140475       6836  -0.055711  -0.043941 
   116.571   -233.143   0.134496      10377  -0.040660  -0.024323 
   174.857   -233.143   0.118286      11033  -0.028371  -0.009913 
   233.143   -233.143   0.154420       3912  -0.010615  -0.024164 
   291.429   -233.143   0.136012      14105   0.017988   0.012645 
   349.714   -233.143   0.083996        700   0.042464   0.073960 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.082778        276   0.027417  -0.026709 
  -291.429   -174.857   0.124495       8237  -0.008889   0.022814 
  -233.143   -174.857   0.142371       6615  -0.040750   0.027383 
