    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.095054        532   0.061646  -0.012179 
     0.000   -381.000   0.105106        983   0.067990   0.020436 
    54.429   -381.000   0.086606         98  -0.011701   0.002320 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.077538        835  -0.011390   0.009635 
  -163.286   -326.571   0.096994       6950  -0.016755   0.010711 
  -108.857   -326.571   0.104065       9382  -0.037166   0.004222 
   -54.429   -326.571   0.102084       9617  -0.026110  -0.002058 
     0.000   -326.571   0.111829       8325  -0.031475  -0.016118 
    54.429   -326.571   0.120263       9292   0.008249  -0.001723 
   108.857   -326.571   0.116107       8501   0.000658   0.005343 
   163.286   -326.571   0.090472       8383   0.008601   0.003815 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.078682       4085  -0.005555   0.012538 
  -217.714   -272.143   0.093812      12241  -0.024356   0.011092 
  -163.286   -272.143   0.084343       9035  -0.033381   0.020782 
  -108.857   -272.143   0.112980       5907  -0.040180   0.023707 
   -54.429   -272.143   0.082634       8221  -0.054359  -0.009036 
     0.000   -272.143   0.101085       5771  -0.070105  -0.022184 
    54.429   -272.143   0.103138      10160  -0.053812  -0.018858 
   108.857   -272.143   0.119743       4788  -0.050632  -0.021564 
   163.286   -272.143   0.109786       6619  -0.007626  -0.003645 
   217.714   -272.143   0.126714      11020   0.007734   0.004336 
   272.143   -272.143   0.092843        604  -0.005969  -0.000855 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.069510       1525   0.007475   0.004207 
  -272.143   -217.714   0.080990      13618  -0.026665   0.022550 
  -217.714   -217.714   0.091509       6880  -0.043584   0.029458 
  -163.286   -217.714   0.087158       8750  -0.060850   0.035255 
  -108.857   -217.714   0.087149       9305  -0.070926   0.028691 
   -54.429   -217.714   0.081822       9663  -0.070391  -0.005389 
     0.000   -217.714   0.088577      10138  -0.064762  -0.024492 
    54.429   -217.714   0.108000       7884  -0.090507  -0.016289 
   108.857   -217.714   0.108099       9656  -0.042406  -0.046751 
   163.286   -217.714   0.106317       9631  -0.033154  -0.026299 
   217.714   -217.714   0.109758       6888  -0.017641  -0.012495 
   272.143   -217.714   0.086774      11972   0.000752   0.009099 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.073925      12969  -0.013734   0.023926 
  -272.143   -163.286   0.081385       3806  -0.037373   0.052754 
  -217.714   -163.286   0.079849      13397  -0.049690   0.044619 
  -163.286   -163.286   0.079962       9584  -0.054450   0.027016 
  -108.857   -163.286   0.076370      10575  -0.069115   0.027300 
   -54.429   -163.286   0.068631       9576  -0.078571   0.004949 
     0.000   -163.286   0.074954      10534  -0.071197  -0.013037 
    54.429   -163.286   0.071210       7133  -0.086278  -0.037114 
   108.857   -163.286   0.094898      10547  -0.054871  -0.063655 
   163.286   -163.286   0.128011       8657  -0.044168  -0.034948 
   217.714   -163.286   0.119228       7174  -0.035881  -0.039881 
   272.143   -163.286   0.098598       9515  -0.011261   0.002173 
   326.571   -163.286   0.090202       4127  -0.002271  -0.014743 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.139140         22   0.041661   0.009639 
  -326.571   -108.857   0.092525      10982  -0.000128   0.033528 
  -272.143   -108.857   0.087086       8231  -0.023560   0.071712 
  -217.714   -108.857   0.071657       6621  -0.023055   0.061227 
  -163.286   -108.857   0.065591      13521  -0.044761   0.051674 
  -108.857   -108.857   0.054008       8868  -0.059370   0.033558 
   -54.429   -108.857   0.053305      10217  -0.054174   0.009081 
     0.000   -108.857   0.063962       9776  -0.057240  -0.016483 
    54.429   -108.857   0.063412      12022  -0.055519  -0.039872 
   108.857   -108.857   0.090720       8420  -0.060586  -0.079240 
   163.286   -108.857   0.105449       9263  -0.036235  -0.068853 
   217.714   -108.857   0.117180       7988  -0.015787  -0.032868 
   272.143   -108.857   0.133950       6985   0.000582  -0.039878 
   326.571   -108.857   0.130055       6714   0.005350   0.002209 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.102636       1477   0.009086  -0.042526 
  -326.571    -54.429   0.085309       8550  -0.011210   0.056450 
  -272.143    -54.429   0.082972      10231  -0.009766   0.074617 
  -217.714    -54.429   0.069675       8824  -0.025096   0.078133 
  -163.286    -54.429   0.064279       9574  -0.037183   0.062512 
  -108.857    -54.429   0.032741      12633  -0.029560   0.029700 
   -54.429    -54.429   0.030439      10886  -0.042393   0.009437 
     0.000    -54.429   0.025571      15647  -0.031062  -0.016393 
    54.429    -54.429   0.031831       8522  -0.033365  -0.037346 
   108.857    -54.429   0.076698      11596  -0.036552  -0.070742 
   163.286    -54.429   0.084581       8337  -0.041642  -0.085792 
   217.714    -54.429   0.121550       9898  -0.022800  -0.070234 
   272.143    -54.429   0.112455       6308   0.010165  -0.028922 
   326.571    -54.429   0.139582       8075   0.000433   0.008516 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.110444       1111  -0.003204   0.039904 
  -326.571      0.000   0.095332       9004  -0.001128   0.047374 
  -272.143      0.000   0.080461       9502   0.001864   0.083014 
  -217.714      0.000   0.055915      10270  -0.011146   0.084670 
  -163.286      0.000   0.044372      11130  -0.014867   0.059388 
  -108.857      0.000   0.028855      11182  -0.015382   0.030387 
   -54.429      0.000   0.021521      15714  -0.009946   0.004085 
     0.000      0.000   0.020715       9044  -0.012704  -0.010999 
    54.429      0.000   0.030613      13431  -0.017274  -0.033766 
   108.857      0.000   0.050100      10918  -0.016713  -0.063583 
   163.286      0.000   0.073983       9761  -0.013202  -0.102146 
   217.714      0.000   0.102433       9802   0.015277  -0.076654 
   272.143      0.000   0.126364       6458  -0.010015  -0.030956 
   326.571      0.000   0.155067       7084  -0.008822  -0.003445 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.080359       1263   0.009906  -0.004457 
  -326.571     54.429   0.112949      11335   0.003080   0.038179 
  -272.143     54.429   0.086518       8668  -0.001061   0.096936 
  -217.714     54.429   0.067413       9082   0.008597   0.089008 
  -163.286     54.429   0.043852      10053   0.006348   0.068446 
  -108.857     54.429   0.025527      16278   0.007079   0.026371 
   -54.429     54.429   0.025336       6225   0.014587   0.020259 
     0.000     54.429   0.019775      12187   0.003634  -0.017820 
    54.429     54.429   0.026514      12274   0.008881  -0.039077 
   108.857     54.429   0.051761      10064   0.004282  -0.063037 
   163.286     54.429   0.077092       8483   0.009837  -0.105091 
   217.714     54.429   0.100693      10184  -0.014204  -0.087753 
   272.143     54.429   0.122002       5108   0.013189  -0.059828 
   326.571     54.429   0.154381       6216   0.011090   0.015979 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.091053      10615   0.012572   0.035451 
  -272.143    108.857   0.093040       9419   0.020485   0.077342 
  -217.714    108.857   0.061339       9684   0.014601   0.083627 
  -163.286    108.857   0.049077      12552   0.035142   0.060480 
  -108.857    108.857   0.037652       9436   0.032186   0.032137 
   -54.429    108.857   0.024833      14307   0.021301   0.006703 
     0.000    108.857   0.023052      12248   0.026889  -0.012309 
    54.429    108.857   0.036189      10710   0.032246  -0.037796 
   108.857    108.857   0.066436      11975   0.038518  -0.068045 
   163.286    108.857   0.081149       8933   0.019998  -0.077443 
   217.714    108.857   0.096596       9811   0.019452  -0.076527 
   272.143    108.857   0.113906       7694  -0.001077  -0.045334 
   326.571    108.857   0.129529       5739  -0.010494   0.021114 
