    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.099583       1833   0.043929   0.006027 
     0.000   -381.000   0.127461       3896   0.074762   0.007106 
    54.429   -381.000   0.158621        434   0.113903   0.023480 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.135416       1231   0.126595  -0.073794 
  -163.286   -326.571   0.114551      11459   0.068596  -0.024451 
  -108.857   -326.571   0.118097      12728   0.062682  -0.023881 
   -54.429   -326.571   0.114565       9688   0.078789   0.005025 
     0.000   -326.571   0.130627       9379   0.055566  -0.014105 
    54.429   -326.571   0.130137      10924   0.069879   0.023448 
   108.857   -326.571   0.115944      12142   0.064909   0.018837 
   163.286   -326.571   0.111213       9313   0.061683   0.027288 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.112390       6149   0.061293  -0.049558 
  -217.714   -272.143   0.101215      13836   0.066014  -0.047337 
  -163.286   -272.143   0.121138       4394   0.052471  -0.011360 
  -108.857   -272.143   0.128661       8282   0.039652  -0.003275 
   -54.429   -272.143   0.133455      13022   0.040115  -0.006961 
     0.000   -272.143   0.126685      11183   0.044779   0.005594 
    54.429   -272.143   0.130936      11622   0.028230   0.013280 
   108.857   -272.143   0.118386       6415   0.040953   0.022151 
   163.286   -272.143   0.115970       5510   0.047890   0.025310 
   217.714   -272.143   0.108096      14711   0.051358   0.039381 
   272.143   -272.143   0.090856       1063   0.031206   0.053933 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.108652       2316   0.063012  -0.071255 
  -272.143   -217.714   0.113505      13918   0.049683  -0.062160 
  -217.714   -217.714   0.138423       5517   0.036879  -0.027527 
  -163.286   -217.714   0.118340      12713   0.031087  -0.004797 
  -108.857   -217.714   0.136276       8191   0.037565  -0.018926 
   -54.429   -217.714   0.135540       5293   0.027076   0.009851 
     0.000   -217.714   0.131101       6812   0.005128   0.026990 
    54.429   -217.714   0.132809       8375   0.027399  -0.016277 
   108.857   -217.714   0.128151      10758   0.043202   0.007665 
   163.286   -217.714   0.111733      12449   0.034094   0.027106 
   217.714   -217.714   0.104838       4143   0.025177   0.016280 
   272.143   -217.714   0.103200      14896   0.037481   0.054539 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.115421      12688   0.033149  -0.080956 
  -272.143   -163.286   0.144830       4103  -0.001177  -0.044530 
  -217.714   -163.286   0.144794      11821   0.018584  -0.035507 
  -163.286   -163.286   0.149398       7044   0.022576  -0.000084 
  -108.857   -163.286   0.150183      11927   0.022199   0.006641 
   -54.429   -163.286   0.145547      11358   0.014297  -0.005396 
     0.000   -163.286   0.155599       7590   0.038245   0.004937 
    54.429   -163.286   0.129732      11473   0.031699  -0.002993 
   108.857   -163.286   0.118755       8383   0.029332   0.005642 
   163.286   -163.286   0.140176       6264   0.034315   0.012074 
   217.714   -163.286   0.123785      13348   0.026433   0.045517 
   272.143   -163.286   0.101805       6407   0.031446   0.038608 
   326.571   -163.286   0.087904      10329   0.026620   0.059218 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.070724         20   0.089397  -0.328414 
  -326.571   -108.857   0.112976      13899   0.018112  -0.075042 
  -272.143   -108.857   0.144118       8674   0.008963  -0.023651 
  -217.714   -108.857   0.145101       8872  -0.001831  -0.037314 
  -163.286   -108.857   0.144608      10432  -0.000551  -0.013648 
  -108.857   -108.857   0.144086       6694  -0.001089   0.001898 
   -54.429   -108.857   0.139179       8882   0.011904  -0.004348 
     0.000   -108.857   0.150107      10575   0.016477  -0.002469 
    54.429   -108.857   0.149712       9205   0.007900   0.003309 
   108.857   -108.857   0.128407      10562   0.008341  -0.008991 
   163.286   -108.857   0.133433       8785   0.015273   0.035409 
   217.714   -108.857   0.126936      10448   0.006850   0.056265 
   272.143   -108.857   0.127849       5590   0.016979   0.025304 
   326.571   -108.857   0.096712       9564   0.015115   0.082272 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.120277       2855   0.022255  -0.130054 
  -326.571    -54.429   0.122192       8714   0.007487  -0.069414 
  -272.143    -54.429   0.134531      11042   0.018908  -0.043533 
  -217.714    -54.429   0.153242       4448  -0.001661  -0.033127 
  -163.286    -54.429   0.153969       9643   0.005885  -0.007323 
  -108.857    -54.429   0.147337      10017  -0.004353  -0.010245 
   -54.429    -54.429   0.153748       7860  -0.004085  -0.004368 
     0.000    -54.429   0.152963       8261   0.003834  -0.007580 
    54.429    -54.429   0.163412       9187   0.020086   0.002825 
   108.857    -54.429   0.148828       8551   0.012233   0.005663 
   163.286    -54.429   0.149605      10450   0.007812   0.032843 
   217.714    -54.429   0.148865       7863   0.030856   0.027169 
   272.143    -54.429   0.140497       7557   0.018790   0.055412 
   326.571    -54.429   0.130650       9980   0.021015   0.082321 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.123949       5106   0.002640  -0.113586 
  -326.571      0.000   0.125735       9344   0.008962  -0.056700 
  -272.143      0.000   0.158217      11273   0.005216  -0.039047 
  -217.714      0.000   0.150759       8034   0.033163  -0.033295 
  -163.286      0.000   0.153851      10960   0.016310  -0.008005 
  -108.857      0.000   0.142748       9805   0.017724   0.016851 
   -54.429      0.000   0.159275       7828   0.017885  -0.028130 
     0.000      0.000   0.169686      13073   0.002503   0.002383 
    54.429      0.000   0.146074       8702  -0.019147   0.006408 
   108.857      0.000   0.153206       7718  -0.010970   0.008000 
   163.286      0.000   0.143983      10204   0.006803   0.013571 
   217.714      0.000   0.170787       6315   0.003443   0.044097 
   272.143      0.000   0.150158       8747   0.012078   0.054803 
   326.571      0.000   0.142922       7555  -0.001380   0.116642 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.110488       1077  -0.034433  -0.236278 
  -326.571     54.429   0.117159      11645  -0.006587  -0.076532 
  -272.143     54.429   0.130967       8935   0.010268  -0.061246 
  -217.714     54.429   0.139349       8025   0.012594  -0.029870 
  -163.286     54.429   0.160792      10101   0.003639   0.003816 
  -108.857     54.429   0.163544       9051   0.014704  -0.009195 
   -54.429     54.429   0.135855      10434   0.012043   0.009303 
     0.000     54.429   0.156443       7261  -0.006162   0.015657 
    54.429     54.429   0.170329      10307  -0.014244   0.002061 
   108.857     54.429   0.168444       9334  -0.021736   0.003873 
   163.286     54.429   0.184179       9010  -0.009793   0.001292 
   217.714     54.429   0.177635       7143   0.013011   0.037715 
   272.143     54.429   0.164901       6523   0.022648   0.056885 
   326.571     54.429   0.140188       9646   0.004003   0.112824 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.123725      12603  -0.023393  -0.095996 
  -272.143    108.857   0.160199       6532  -0.021147  -0.046056 
  -217.714    108.857   0.153380       9229  -0.021831  -0.028424 
  -163.286    108.857   0.147978       8974  -0.004578  -0.028949 
  -108.857    108.857   0.157899       7939  -0.013823   0.008529 
   -54.429    108.857   0.156704       9217  -0.011557   0.001983 
     0.000    108.857   0.150580       9787  -0.012979   0.009907 
    54.429    108.857   0.165566       7257   0.000057   0.019579 
   108.857    108.857   0.167590       9763  -0.009118  -0.000528 
   163.286    108.857   0.169274       7706  -0.026052   0.005972 
   217.714    108.857   0.174675       8928  -0.026424   0.022753 
   272.143    108.857   0.154657       6893  -0.029294   0.065894 
   326.571    108.857   0.151675       7570  -0.067323   0.124353 
   381.000    108.857   0.000000          0   0.000000   0.000000 
