    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.000000          0   0.000000   0.000000 
     0.000   -381.000   0.120024        246  -0.054594   0.014518 
    54.429   -381.000   0.048134        242  -0.039767  -0.003650 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.084727        503  -0.025274  -0.000155 
  -163.286   -326.571   0.075486       3905  -0.063394   0.032963 
  -108.857   -326.571   0.076661       5088  -0.066860  -0.004210 
   -54.429   -326.571   0.095608       2418  -0.110115   0.025110 
     0.000   -326.571   0.067476       5750  -0.052708   0.013292 
    54.429   -326.571   0.061239       4804  -0.036353  -0.029316 
   108.857   -326.571   0.069409       2580  -0.038406  -0.025718 
   163.286   -326.571   0.061059       2094  -0.005607  -0.004969 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.068946       2768  -0.012097   0.022066 
  -217.714   -272.143   0.072372       6037  -0.061722   0.038340 
  -163.286   -272.143   0.074569       6955  -0.038121   0.024683 
  -108.857   -272.143   0.073275       6562  -0.066039   0.018323 
   -54.429   -272.143   0.066824       8191  -0.080865   0.005839 
     0.000   -272.143   0.059980       8397  -0.066534  -0.012683 
    54.429   -272.143   0.063165       9221  -0.057713  -0.013173 
   108.857   -272.143   0.058802       7241  -0.062245  -0.021766 
   163.286   -272.143   0.067772       3895  -0.047206  -0.041772 
   217.714   -272.143   0.079314       3472  -0.012801  -0.017813 
   272.143   -272.143   0.040254         71   0.066934   0.086719 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.068749       1227  -0.040276   0.075662 
  -272.143   -217.714   0.079187       8749  -0.049703   0.046354 
  -217.714   -217.714   0.076910       4647  -0.048724   0.032457 
  -163.286   -217.714   0.069021       8459  -0.072501   0.037203 
  -108.857   -217.714   0.061360      10566  -0.067631   0.024531 
   -54.429   -217.714   0.058413      10199  -0.066181   0.011548 
     0.000   -217.714   0.060768       8905  -0.079419  -0.011608 
    54.429   -217.714   0.055232       9326  -0.066099  -0.018000 
   108.857   -217.714   0.054173       6850  -0.066639  -0.037060 
   163.286   -217.714   0.067363      12418  -0.037090  -0.043392 
   217.714   -217.714   0.076698       3964  -0.045472  -0.054043 
   272.143   -217.714   0.082620       5919  -0.021651  -0.044948 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.078921       6303  -0.016652   0.047424 
  -272.143   -163.286   0.069014       4629  -0.000886   0.067819 
  -217.714   -163.286   0.069263       9921  -0.043644   0.051987 
  -163.286   -163.286   0.063459      11006  -0.042974   0.046925 
  -108.857   -163.286   0.060709       9256  -0.055634   0.025335 
   -54.429   -163.286   0.041631      11305  -0.053800   0.011744 
     0.000   -163.286   0.042310      11349  -0.052092  -0.007752 
    54.429   -163.286   0.049490      12985  -0.050200  -0.022727 
   108.857   -163.286   0.055919      12806  -0.046361  -0.038441 
   163.286   -163.286   0.066018       6222  -0.056302  -0.060654 
   217.714   -163.286   0.079534       9183  -0.033355  -0.056608 
   272.143   -163.286   0.093926       5474  -0.036845  -0.053405 
   326.571   -163.286   0.098496       4914  -0.009925  -0.044998 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.079561       7492  -0.006053   0.052205 
  -272.143   -108.857   0.075266       7770  -0.015566   0.065225 
  -217.714   -108.857   0.071072       6432  -0.031040   0.075319 
  -163.286   -108.857   0.056473      11650  -0.013396   0.053356 
  -108.857   -108.857   0.040794      11275  -0.023658   0.030502 
   -54.429   -108.857   0.039135      11292  -0.029427   0.014802 
     0.000   -108.857   0.030709      13334  -0.027268  -0.006832 
    54.429   -108.857   0.036868      11545  -0.032001  -0.029135 
   108.857   -108.857   0.049679       9057  -0.032948  -0.047171 
   163.286   -108.857   0.063530      10462  -0.029557  -0.070634 
   217.714   -108.857   0.081856       9499  -0.015145  -0.051072 
   272.143   -108.857   0.084995       6465  -0.006521  -0.049620 
   326.571   -108.857   0.097846       9990  -0.007729  -0.042688 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.078955        553   0.019930  -0.046794 
  -326.571    -54.429   0.087567       8722   0.005449   0.059933 
  -272.143    -54.429   0.074949       8114   0.000954   0.068062 
  -217.714    -54.429   0.065706       8670   0.000737   0.067452 
  -163.286    -54.429   0.052780      11113  -0.008105   0.053070 
  -108.857    -54.429   0.044096       8490  -0.013497   0.041695 
   -54.429    -54.429   0.028508      13934  -0.008063   0.014677 
     0.000    -54.429   0.025246      10670  -0.018005  -0.005369 
    54.429    -54.429   0.030231      10415  -0.011260  -0.027561 
   108.857    -54.429   0.046273      11826  -0.014427  -0.048048 
   163.286    -54.429   0.063817      10157  -0.013932  -0.069475 
   217.714    -54.429   0.082294       9284  -0.015883  -0.066964 
   272.143    -54.429   0.087978       7412   0.003851  -0.068152 
   326.571    -54.429   0.104150       5264   0.012692  -0.060751 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.106965        329  -0.003837  -0.193509 
  -326.571      0.000   0.092084       7300   0.019414   0.049301 
  -272.143      0.000   0.093897       6682   0.020919   0.076122 
  -217.714      0.000   0.071618      10501   0.027974   0.070522 
  -163.286      0.000   0.058271      10894   0.016463   0.059211 
  -108.857      0.000   0.045443      10177   0.017207   0.039608 
   -54.429      0.000   0.031081      10675   0.010054   0.016984 
     0.000      0.000   0.027539      14461   0.010818  -0.006393 
    54.429      0.000   0.030534       9986   0.003803  -0.023583 
   108.857      0.000   0.047105      10975   0.014206  -0.049584 
   163.286      0.000   0.054397      10906   0.009776  -0.065761 
   217.714      0.000   0.077309      11189   0.008126  -0.074063 
   272.143      0.000   0.072808       6678   0.004923  -0.073347 
   326.571      0.000   0.078185       4285   0.009491  -0.039346 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.134100        471  -0.002242  -0.124637 
  -326.571     54.429   0.100333       8454   0.004388   0.035129 
  -272.143     54.429   0.094022       6585   0.027340   0.069073 
  -217.714     54.429   0.091744       8162   0.020635   0.064074 
  -163.286     54.429   0.070081      10732   0.026995   0.066121 
  -108.857     54.429   0.055924      11118   0.030130   0.035688 
   -54.429     54.429   0.049448      11470   0.026058   0.023657 
     0.000     54.429   0.034553      11872   0.030300  -0.006871 
    54.429     54.429   0.042450      13755   0.030782  -0.024066 
   108.857     54.429   0.048068       7742   0.028132  -0.058519 
   163.286     54.429   0.063549      11153   0.023443  -0.065547 
   217.714     54.429   0.078211       8951   0.018434  -0.067983 
   272.143     54.429   0.079153       5896   0.005472  -0.090804 
   326.571     54.429   0.099927       4037  -0.013688  -0.020176 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.095291       7739  -0.004363   0.017320 
  -272.143    108.857   0.105205       6854   0.007703   0.064084 
  -217.714    108.857   0.092986       8003   0.013819   0.054179 
  -163.286    108.857   0.079694       9163   0.043684   0.054120 
  -108.857    108.857   0.067970       9034   0.040147   0.043785 
   -54.429    108.857   0.053968       9804   0.050958   0.020150 
     0.000    108.857   0.051796      10973   0.042951  -0.008808 
    54.429    108.857   0.051740       9733   0.047647  -0.026596 
   108.857    108.857   0.063178      11119   0.046597  -0.039915 
   163.286    108.857   0.064597       9044   0.036936  -0.061353 
   217.714    108.857   0.089753       8386   0.027720  -0.073413 
   272.143    108.857   0.090629       6231   0.035333  -0.049270 
   326.571    108.857   0.084982       3875   0.017065  -0.010043 
