    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.058375        404  -0.010637   0.011471 
     0.000   -381.000   0.106174       1026   0.015560   0.004001 
    54.429   -381.000   0.067287        155  -0.088046   0.012820 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.108939        716  -0.058752   0.024489 
  -163.286   -326.571   0.104449       6871  -0.046650   0.014802 
  -108.857   -326.571   0.103300       8846  -0.042084   0.021686 
   -54.429   -326.571   0.101887       8510  -0.054705  -0.011706 
     0.000   -326.571   0.088674      11252  -0.044507   0.007327 
    54.429   -326.571   0.102693       8050  -0.046969  -0.021077 
   108.857   -326.571   0.088772      11528  -0.025373   0.001995 
   163.286   -326.571   0.092502       5783  -0.034692  -0.021841 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.120771       2284  -0.034255   0.029584 
  -217.714   -272.143   0.097748      14692  -0.024013   0.025885 
  -163.286   -272.143   0.102817       4769  -0.068970   0.033180 
  -108.857   -272.143   0.087616       8822  -0.067276   0.019081 
   -54.429   -272.143   0.078559       7109  -0.080554  -0.001303 
     0.000   -272.143   0.087769       7379  -0.071745  -0.015201 
    54.429   -272.143   0.084916       8639  -0.062733  -0.010846 
   108.857   -272.143   0.080185       8182  -0.053756  -0.023589 
   163.286   -272.143   0.072104       7764  -0.024690  -0.011554 
   217.714   -272.143   0.073879      14585  -0.018375  -0.017396 
   272.143   -272.143   0.105579        566   0.030737  -0.003626 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.105399       1560  -0.019368   0.032483 
  -272.143   -217.714   0.089556      13302  -0.026213   0.028950 
  -217.714   -217.714   0.086852       6578  -0.048392   0.040469 
  -163.286   -217.714   0.078948       9731  -0.065225   0.046319 
  -108.857   -217.714   0.072494       9235  -0.076307   0.029308 
   -54.429   -217.714   0.061331      11906  -0.072713   0.005302 
     0.000   -217.714   0.064380      10427  -0.082860  -0.012226 
    54.429   -217.714   0.077898       9004  -0.086335  -0.015610 
   108.857   -217.714   0.081211       8951  -0.055791  -0.036300 
   163.286   -217.714   0.086624      12527  -0.047533  -0.039611 
   217.714   -217.714   0.087309       4830  -0.023896  -0.026327 
   272.143   -217.714   0.077404      13230  -0.020746  -0.021645 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.080026       9178  -0.014237   0.044425 
  -272.143   -163.286   0.081874       4727  -0.017582   0.046443 
  -217.714   -163.286   0.089273      11687  -0.039373   0.058181 
  -163.286   -163.286   0.073006       9864  -0.039133   0.051663 
  -108.857   -163.286   0.049694       9664  -0.057444   0.035161 
   -54.429   -163.286   0.044192       8993  -0.067462   0.013210 
     0.000   -163.286   0.043318      12991  -0.055702  -0.007198 
    54.429   -163.286   0.053486       9681  -0.061426  -0.030021 
   108.857   -163.286   0.064611      11657  -0.056779  -0.049893 
   163.286   -163.286   0.090636       7283  -0.040332  -0.061283 
   217.714   -163.286   0.105598       8130  -0.041977  -0.053436 
   272.143   -163.286   0.105934       8576  -0.000328  -0.026128 
   326.571   -163.286   0.084465       6067  -0.013981  -0.037544 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.195237         10   0.060772   0.284255 
  -326.571   -108.857   0.091731       6318   0.005588   0.079604 
  -272.143   -108.857   0.083311       7620  -0.029541   0.062953 
  -217.714   -108.857   0.078953      10110  -0.022500   0.062549 
  -163.286   -108.857   0.061965      11068  -0.041255   0.060409 
  -108.857   -108.857   0.041436      10039  -0.031657   0.039219 
   -54.429   -108.857   0.027685      10114  -0.028173   0.011150 
     0.000   -108.857   0.028227       8293  -0.026840  -0.012858 
    54.429   -108.857   0.036393      10953  -0.033595  -0.029519 
   108.857   -108.857   0.052430      12105  -0.025983  -0.055998 
   163.286   -108.857   0.077342       8823  -0.029314  -0.058632 
   217.714   -108.857   0.098419      11280  -0.013434  -0.063168 
   272.143   -108.857   0.102656       7292  -0.006446  -0.034376 
   326.571   -108.857   0.114918       6673   0.001015  -0.026885 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.121159        824  -0.007381   0.023344 
  -326.571    -54.429   0.096095       9847  -0.018484   0.055761 
  -272.143    -54.429   0.088729      10244  -0.009924   0.063277 
  -217.714    -54.429   0.079647       8037  -0.006547   0.074912 
  -163.286    -54.429   0.067582      10877  -0.010804   0.064358 
  -108.857    -54.429   0.032574      11151  -0.013882   0.034830 
   -54.429    -54.429   0.022500      15145  -0.018963   0.009102 
     0.000    -54.429   0.019017      12214  -0.022830  -0.004110 
    54.429    -54.429   0.027632      13767  -0.018033  -0.028280 
   108.857    -54.429   0.045348      11274  -0.022158  -0.051422 
   163.286    -54.429   0.072909       8057  -0.020498  -0.083756 
   217.714    -54.429   0.097702       9962  -0.000415  -0.092630 
   272.143    -54.429   0.120093       5708  -0.019636  -0.033761 
   326.571    -54.429   0.126990       7538  -0.000458  -0.028701 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.125905       1532   0.010412   0.019236 
  -326.571      0.000   0.088174       9617   0.009355   0.052938 
  -272.143      0.000   0.086920       7862   0.014058   0.075158 
  -217.714      0.000   0.079353       8612   0.000188   0.068083 
  -163.286      0.000   0.058314      13328   0.003712   0.062200 
  -108.857      0.000   0.029654      11398   0.000140   0.035957 
   -54.429      0.000   0.018027       7208   0.005310   0.020821 
     0.000      0.000   0.017610      16069   0.001516  -0.002468 
    54.429      0.000   0.020211      13399  -0.003037  -0.028885 
   108.857      0.000   0.044752      10241   0.001206  -0.059525 
   163.286      0.000   0.059224       9326   0.001740  -0.076012 
   217.714      0.000   0.092213      12279  -0.010683  -0.071008 
   272.143      0.000   0.121322       4450   0.003458  -0.080844 
   326.571      0.000   0.109072       8487   0.000888  -0.020035 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.064493        502   0.004576   0.016699 
  -326.571     54.429   0.090616       9794   0.012650   0.043601 
  -272.143     54.429   0.102246       8305   0.030480   0.069111 
  -217.714     54.429   0.092484       6982   0.015657   0.095736 
  -163.286     54.429   0.065877      12453   0.026137   0.063456 
  -108.857     54.429   0.035350       9832   0.019752   0.042956 
   -54.429     54.429   0.023989      10448   0.017927   0.016100 
     0.000     54.429   0.018110       5854   0.009778  -0.004404 
    54.429     54.429   0.025325      17952   0.018691  -0.025083 
   108.857     54.429   0.043206       9559   0.018462  -0.057655 
   163.286     54.429   0.063789       8960   0.010963  -0.079280 
   217.714     54.429   0.084614      10019   0.015438  -0.090068 
   272.143     54.429   0.101118       8979   0.012419  -0.040102 
   326.571     54.429   0.093669       4267   0.028098  -0.024671 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.088011      11049  -0.007732   0.033040 
  -272.143    108.857   0.097051       6137   0.008310   0.044060 
  -217.714    108.857   0.100119      11704   0.049859   0.063314 
  -163.286    108.857   0.079430       9309   0.042807   0.067897 
  -108.857    108.857   0.062646      10170   0.044010   0.052628 
   -54.429    108.857   0.034329      12608   0.029221   0.011348 
     0.000    108.857   0.029100      14200   0.034027  -0.008369 
    54.429    108.857   0.043179       5064   0.029441  -0.029960 
   108.857    108.857   0.051979      15688   0.037735  -0.053168 
   163.286    108.857   0.085670       7560   0.032440  -0.077646 
   217.714    108.857   0.085347       9315   0.034251  -0.079430 
   272.143    108.857   0.098931       6213   0.022334  -0.046154 
   326.571    108.857   0.097453       4480  -0.013855  -0.010130 
