    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.121869       1517   0.159706  -0.010222 
     0.000   -381.000   0.117070       3662   0.125368   0.012182 
    54.429   -381.000   0.116380        207   0.202297   0.045146 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.108169       1730   0.129888  -0.066279 
  -163.286   -326.571   0.117216      11849   0.091596  -0.047092 
  -108.857   -326.571   0.114582      12117   0.102036  -0.006770 
   -54.429   -326.571   0.128829      11839   0.089666  -0.038645 
     0.000   -326.571   0.138737       7950   0.112151   0.009003 
    54.429   -326.571   0.119773      11375   0.104276   0.026292 
   108.857   -326.571   0.104044      13158   0.085621   0.030162 
   163.286   -326.571   0.099532       9466   0.093457   0.046429 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.107168       5503   0.085777  -0.060888 
  -217.714   -272.143   0.101472      15666   0.059486  -0.053081 
  -163.286   -272.143   0.139561       3801   0.046109  -0.035848 
  -108.857   -272.143   0.137283       6834   0.081007  -0.028800 
   -54.429   -272.143   0.152877       9223   0.057705  -0.014228 
     0.000   -272.143   0.152842      10696   0.061591  -0.003903 
    54.429   -272.143   0.150388      10260   0.069080   0.021165 
   108.857   -272.143   0.115784       6728   0.076941   0.034085 
   163.286   -272.143   0.094395       6322   0.062171   0.039555 
   217.714   -272.143   0.102157      15491   0.076108   0.060270 
   272.143   -272.143   0.094393        934   0.085888   0.084561 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.134741       1960   0.098648  -0.124369 
  -272.143   -217.714   0.122757      13774   0.055280  -0.068193 
  -217.714   -217.714   0.134174       3792   0.056320  -0.035696 
  -163.286   -217.714   0.124456      13426   0.040230  -0.031094 
  -108.857   -217.714   0.144558       7429   0.023050  -0.029635 
   -54.429   -217.714   0.160350       8723   0.026049   0.000422 
     0.000   -217.714   0.141151       5820   0.005402  -0.007605 
    54.429   -217.714   0.125947       7338   0.033849  -0.001800 
   108.857   -217.714   0.125647      11233   0.034355   0.029565 
   163.286   -217.714   0.131012      11468   0.051939   0.032575 
   217.714   -217.714   0.115624       3142   0.023637   0.072412 
   272.143   -217.714   0.087884      17220   0.051691   0.065962 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.122128      10973   0.026350  -0.090868 
  -272.143   -163.286   0.131992       4858  -0.003760  -0.074194 
  -217.714   -163.286   0.135092      12969   0.036416  -0.036226 
  -163.286   -163.286   0.135675       5551   0.030268  -0.008558 
  -108.857   -163.286   0.142690      10018   0.011554  -0.021995 
   -54.429   -163.286   0.148358      10199   0.028491  -0.006440 
     0.000   -163.286   0.137403      11072   0.026341  -0.002019 
    54.429   -163.286   0.128926       9923   0.021856   0.000906 
   108.857   -163.286   0.136299      10110   0.027388   0.014701 
   163.286   -163.286   0.107783       6232   0.017432   0.037434 
   217.714   -163.286   0.124295      13776   0.029276   0.043347 
   272.143   -163.286   0.107513       7625   0.042023   0.075501 
   326.571   -163.286   0.096569       7720   0.052248   0.090536 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.097501         63   0.098598  -0.197538 
  -326.571   -108.857   0.124988      12245   0.032494  -0.079113 
  -272.143   -108.857   0.154314       8865   0.028728  -0.083156 
  -217.714   -108.857   0.145834       7235   0.028719  -0.052294 
  -163.286   -108.857   0.141753      13407   0.018850  -0.004713 
  -108.857   -108.857   0.159396       7510   0.029140  -0.010627 
   -54.429   -108.857   0.158932      10896  -0.004728  -0.013288 
     0.000   -108.857   0.152227       8378   0.003400   0.010587 
    54.429   -108.857   0.148936      10210  -0.001636  -0.008363 
   108.857   -108.857   0.134286       8898   0.010229   0.010370 
   163.286   -108.857   0.138705      10461   0.020424   0.034347 
   217.714   -108.857   0.134068       8474   0.037912   0.040462 
   272.143   -108.857   0.125153       7375   0.030891   0.048017 
   326.571   -108.857   0.096038      11482   0.031037   0.109902 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.128175       2283   0.016008  -0.201369 
  -326.571    -54.429   0.139427       9972   0.022161  -0.075513 
  -272.143    -54.429   0.137647       9081   0.013168  -0.069724 
  -217.714    -54.429   0.141847       7543  -0.000364  -0.029817 
  -163.286    -54.429   0.144214       8917   0.004061  -0.020180 
  -108.857    -54.429   0.152186       8006   0.005789  -0.009101 
   -54.429    -54.429   0.149108       8862  -0.005118  -0.000311 
     0.000    -54.429   0.168539       8025   0.011883   0.007640 
    54.429    -54.429   0.155870       8441   0.001067  -0.011388 
   108.857    -54.429   0.146408       7883   0.001385   0.006082 
   163.286    -54.429   0.145294      11802   0.010559   0.021217 
   217.714    -54.429   0.141964       6473   0.022364   0.025965 
   272.143    -54.429   0.140325       9388   0.017790   0.060718 
   326.571    -54.429   0.124132      10799   0.022392   0.131661 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.118979       3382   0.004992  -0.175785 
  -326.571      0.000   0.130311       9955  -0.012989  -0.066958 
  -272.143      0.000   0.132583      11411  -0.005226  -0.052394 
  -217.714      0.000   0.136510       7261  -0.001305  -0.036841 
  -163.286      0.000   0.131716      10149  -0.005276  -0.006310 
  -108.857      0.000   0.155417       9574  -0.020587  -0.006636 
   -54.429      0.000   0.154943       6783  -0.021765  -0.000705 
     0.000      0.000   0.159786      14464  -0.019692  -0.004085 
    54.429      0.000   0.151752       8046  -0.026216   0.006557 
   108.857      0.000   0.157622       9313  -0.023050   0.006559 
   163.286      0.000   0.160761       8866  -0.016773  -0.000331 
   217.714      0.000   0.140670       8080  -0.023048   0.035724 
   272.143      0.000   0.122414       8545  -0.021512   0.068517 
   326.571      0.000   0.115663      11223  -0.017670   0.125315 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.105514       2448  -0.007012  -0.160702 
  -326.571     54.429   0.120849       9607  -0.001074  -0.088485 
  -272.143     54.429   0.123871       9351   0.009392  -0.073203 
  -217.714     54.429   0.145591       6331  -0.014574  -0.030495 
  -163.286     54.429   0.141295      11836  -0.010470  -0.001758 
  -108.857     54.429   0.154031       7938   0.001175   0.026226 
   -54.429     54.429   0.136940      12492  -0.015148  -0.005857 
     0.000     54.429   0.141001       6573   0.000921  -0.025255 
    54.429     54.429   0.150270       8302  -0.006542   0.013246 
   108.857     54.429   0.171478       8075  -0.017777  -0.016131 
   163.286     54.429   0.158559      12146  -0.014310   0.014978 
   217.714     54.429   0.155227       6363  -0.031277   0.049402 
   272.143     54.429   0.137924       7433  -0.020834   0.084164 
   326.571     54.429   0.121163       8792  -0.027429   0.125631 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.119441      12850  -0.029944  -0.103471 
  -272.143    108.857   0.136125       7545  -0.027894  -0.053347 
  -217.714    108.857   0.132455       8804  -0.039450  -0.019533 
  -163.286    108.857   0.130054       8850  -0.024000  -0.021871 
  -108.857    108.857   0.148323       8882  -0.012743   0.006639 
   -54.429    108.857   0.142621       6464   0.019501   0.011533 
     0.000    108.857   0.142116      11016  -0.030084  -0.009207 
    54.429    108.857   0.147949       7567  -0.028586   0.004060 
   108.857    108.857   0.159831       9465  -0.004502   0.008318 
   163.286    108.857   0.154744       7171  -0.011171   0.011801 
   217.714    108.857   0.158470      10932  -0.013494   0.038102 
   272.143    108.857   0.159198       6465  -0.030311   0.064429 
   326.571    108.857   0.145854       8534  -0.038911   0.120564 
