    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.190575       1368   0.052891  -0.044340 
  -116.571   -349.714   0.220194       4190   0.132398  -0.040967 
   -58.286   -349.714   0.226796       8368   0.111662  -0.041546 
     0.000   -349.714   0.211292       8252   0.140002  -0.024802 
    58.286   -349.714   0.230035       8759   0.137418  -0.001575 
   116.571   -349.714   0.198311      10301   0.121390   0.038564 
   174.857   -349.714   0.188281       7625   0.129042   0.052987 
   233.143   -349.714   0.089992        127   0.239018   0.164918 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.171831       6091   0.082138  -0.070178 
  -174.857   -291.429   0.205076      10649   0.082334  -0.022955 
  -116.571   -291.429   0.213674       6739   0.081375  -0.043203 
   -58.286   -291.429   0.233535       6136   0.060178  -0.042618 
     0.000   -291.429   0.239480       6749   0.051874  -0.016709 
    58.286   -291.429   0.238559       7939   0.047594  -0.023111 
   116.571   -291.429   0.193222       5313   0.098693   0.009793 
   174.857   -291.429   0.189940       7515   0.100598   0.020355 
   233.143   -291.429   0.175671      14578   0.111758   0.069553 
   291.429   -291.429   0.179642       2731   0.083769   0.121601 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.164917       6331   0.062096  -0.074571 
  -233.143   -233.143   0.166913       8754   0.054101  -0.053402 
  -174.857   -233.143   0.196943       5168   0.052550  -0.047433 
  -116.571   -233.143   0.240286       7479   0.083560  -0.033890 
   -58.286   -233.143   0.235960       9388   0.042749  -0.013146 
     0.000   -233.143   0.243216       7187   0.045331  -0.030300 
    58.286   -233.143   0.218079       7107   0.072007  -0.014382 
   116.571   -233.143   0.206331       9716   0.038732  -0.001099 
   174.857   -233.143   0.204084      12012   0.037883   0.004608 
   233.143   -233.143   0.215278       3237   0.083886   0.068747 
   291.429   -233.143   0.182930      15399   0.095931   0.100384 
   349.714   -233.143   0.201768        959   0.095624   0.137538 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.219521        772   0.084730  -0.083983 
  -291.429   -174.857   0.185922       9691   0.038210  -0.085745 
  -233.143   -174.857   0.206518       6275   0.040750  -0.072900 
