    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.192052       2723   0.032353  -0.001855 
  -116.571   -349.714   0.148953       7366   0.001329  -0.016709 
   -58.286   -349.714   0.170801       6463  -0.010708   0.013739 
     0.000   -349.714   0.201888       8034  -0.003147  -0.009138 
    58.286   -349.714   0.175623       7305  -0.021578   0.033892 
   116.571   -349.714   0.130705      11971  -0.006460  -0.018988 
   174.857   -349.714   0.111042       6162   0.024347   0.012099 
   233.143   -349.714   0.049529         13   0.070070   0.152901 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.208021         53   0.007796   0.023456 
  -233.143   -291.429   0.148592       7328   0.000724  -0.013077 
  -174.857   -291.429   0.164784       9469  -0.026918   0.017419 
  -116.571   -291.429   0.163380       7089  -0.050367   0.012565 
   -58.286   -291.429   0.160295       7220  -0.053777   0.001887 
     0.000   -291.429   0.152609       9538  -0.062169   0.011021 
    58.286   -291.429   0.147731       9462  -0.040313  -0.005426 
   116.571   -291.429   0.169039       5795  -0.007488  -0.042996 
   174.857   -291.429   0.147310       6408  -0.022647  -0.017921 
   233.143   -291.429   0.115807      15806   0.002927   0.005176 
   291.429   -291.429   0.113509       1072   0.025511   0.022849 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.138134       9445  -0.003051  -0.005771 
  -233.143   -233.143   0.150751       7514  -0.016115   0.019647 
  -174.857   -233.143   0.144958       6570  -0.046462   0.063044 
  -116.571   -233.143   0.142509      10170  -0.056552   0.014220 
   -58.286   -233.143   0.136821       6552  -0.089081   0.003032 
     0.000   -233.143   0.143837       7712  -0.054403   0.006987 
    58.286   -233.143   0.139678       5844  -0.046281  -0.039875 
   116.571   -233.143   0.135294       9034  -0.055869  -0.028863 
   174.857   -233.143   0.141892      12521  -0.033813  -0.021856 
   233.143   -233.143   0.138860       5016  -0.011886  -0.019338 
   291.429   -233.143   0.118367      15661   0.003459   0.010257 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.126567       2718   0.002555   0.021904 
  -291.429   -174.857   0.142180       9484  -0.014540   0.008962 
