    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.100958        895   0.143532   0.002995 
     0.000   -381.000   0.103873       2418   0.059910   0.008408 
    54.429   -381.000   0.123469        678   0.021695   0.017741 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.107352        815   0.147158  -0.030218 
  -163.286   -326.571   0.128147       9440   0.076968  -0.040440 
  -108.857   -326.571   0.118923      12742   0.062420  -0.008107 
   -54.429   -326.571   0.116875      11041   0.063410  -0.003137 
     0.000   -326.571   0.111880       9864   0.064370   0.007502 
    54.429   -326.571   0.123964      13883   0.046168   0.005564 
   108.857   -326.571   0.115264      12007   0.057625   0.006214 
   163.286   -326.571   0.093766      11225   0.042173   0.024660 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.111398       4657   0.062724  -0.052990 
  -217.714   -272.143   0.100991      15244   0.046977  -0.038028 
  -163.286   -272.143   0.117231       6103   0.031224  -0.002996 
  -108.857   -272.143   0.133241       4719   0.043910  -0.009011 
   -54.429   -272.143   0.127887       8502   0.020738   0.005883 
     0.000   -272.143   0.137483      10178   0.017981   0.011634 
    54.429   -272.143   0.129496       8324   0.032896   0.007587 
   108.857   -272.143   0.118947       7167   0.021330   0.002514 
   163.286   -272.143   0.101526       5158   0.045460   0.030598 
   217.714   -272.143   0.091281      16306   0.039405   0.030288 
   272.143   -272.143   0.098269        646   0.042342   0.037839 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.091269       1807   0.061174  -0.077835 
  -272.143   -217.714   0.108470      13799   0.043445  -0.059129 
  -217.714   -217.714   0.117823       5818   0.031902  -0.000702 
  -163.286   -217.714   0.129641      10661   0.019266  -0.017626 
  -108.857   -217.714   0.120992      12322   0.013598  -0.006437 
   -54.429   -217.714   0.134124       5738  -0.001605   0.041752 
     0.000   -217.714   0.137005       6480   0.007972   0.000882 
    54.429   -217.714   0.117217       8002  -0.000800   0.004636 
   108.857   -217.714   0.118821       9547   0.009121  -0.001575 
   163.286   -217.714   0.114245      13056   0.019091   0.006070 
   217.714   -217.714   0.092588       5882   0.026063   0.013847 
   272.143   -217.714   0.082111      14855   0.035127   0.048658 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.112059       9129   0.035137  -0.088986 
  -272.143   -163.286   0.125120       6042   0.021960  -0.037862 
  -217.714   -163.286   0.117749      13070   0.005606  -0.011139 
  -163.286   -163.286   0.122371       3342  -0.009660  -0.011027 
  -108.857   -163.286   0.119726      14529  -0.010222   0.011130 
   -54.429   -163.286   0.115248      10086  -0.002985   0.006469 
     0.000   -163.286   0.122172      10572  -0.001454  -0.002604 
    54.429   -163.286   0.116881      11898   0.010514  -0.007225 
   108.857   -163.286   0.127658      10070   0.008826   0.011540 
   163.286   -163.286   0.104457       7846   0.016639  -0.012018 
   217.714   -163.286   0.112095      11814   0.015539   0.025751 
   272.143   -163.286   0.092563       7939   0.003220   0.042301 
   326.571   -163.286   0.077339       8334   0.021556   0.048908 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.191068         20   0.022232  -0.092081 
  -326.571   -108.857   0.117485      12718   0.014649  -0.066357 
  -272.143   -108.857   0.133635       8161  -0.014379  -0.044528 
  -217.714   -108.857   0.146063       8689   0.002675   0.000015 
  -163.286   -108.857   0.135150      10577   0.002438   0.010064 
  -108.857   -108.857   0.117551       6157  -0.003199   0.011313 
   -54.429   -108.857   0.115804       8854  -0.000845  -0.003012 
     0.000   -108.857   0.133789       9836   0.006569   0.002520 
    54.429   -108.857   0.138990       8985   0.011071  -0.011527 
   108.857   -108.857   0.120919       8536   0.003521   0.004143 
   163.286   -108.857   0.129656       9053   0.000397  -0.000213 
   217.714   -108.857   0.122166       9914   0.000439   0.026643 
   272.143   -108.857   0.112532       6204   0.028395   0.028172 
   326.571   -108.857   0.094836      10376   0.027192   0.064603 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.119388       1873   0.007251  -0.071870 
  -326.571    -54.429   0.112501       9773  -0.007737  -0.057483 
  -272.143    -54.429   0.147182       9205  -0.011671  -0.036051 
  -217.714    -54.429   0.143371       5659  -0.028391  -0.013353 
  -163.286    -54.429   0.128866      10141  -0.001400   0.003791 
  -108.857    -54.429   0.115828      13054   0.005480  -0.000043 
   -54.429    -54.429   0.117023       6987  -0.005108   0.007415 
     0.000    -54.429   0.114534       7194  -0.005726  -0.008221 
    54.429    -54.429   0.107164      11495  -0.011277  -0.002684 
   108.857    -54.429   0.109371       6877   0.007170  -0.003217 
   163.286    -54.429   0.129736      11591   0.013662  -0.006807 
   217.714    -54.429   0.115699       8295   0.035373   0.015358 
   272.143    -54.429   0.138091       8086   0.016233   0.037047 
   326.571    -54.429   0.101694      12272  -0.005415   0.062848 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.104165       3272   0.004340  -0.079753 
  -326.571      0.000   0.131891       9489   0.005273  -0.048485 
  -272.143      0.000   0.124961      11674   0.002256  -0.026940 
  -217.714      0.000   0.147132       6176   0.001747   0.008143 
  -163.286      0.000   0.126618       9603  -0.020040  -0.017323 
  -108.857      0.000   0.115451      11884  -0.007058   0.010137 
   -54.429      0.000   0.124634       7189   0.003723   0.000291 
     0.000      0.000   0.101153      15187  -0.002738  -0.001958 
    54.429      0.000   0.107295      12137   0.003397  -0.007312 
   108.857      0.000   0.127800       6382  -0.007738  -0.019191 
   163.286      0.000   0.122858      11955   0.008936   0.002936 
   217.714      0.000   0.120677       6789  -0.002949   0.004682 
   272.143      0.000   0.121154       7633   0.010949   0.044712 
   326.571      0.000   0.116340       9636   0.013130   0.086207 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.090897       2061   0.004291  -0.108054 
  -326.571     54.429   0.115833      10352  -0.001696  -0.050449 
  -272.143     54.429   0.126158      10113   0.010559  -0.031533 
  -217.714     54.429   0.134666       8569   0.001554  -0.000746 
  -163.286     54.429   0.126898       8690   0.003235   0.014256 
  -108.857     54.429   0.116679       9492  -0.007071  -0.001608 
   -54.429     54.429   0.121505       9179   0.000738  -0.010922 
     0.000     54.429   0.113425       7149   0.020730  -0.002045 
    54.429     54.429   0.118078      12657   0.010514  -0.003010 
   108.857     54.429   0.128372       7366   0.018616  -0.025494 
   163.286     54.429   0.128136       8191  -0.011214   0.002594 
   217.714     54.429   0.130613      13665   0.001217   0.012537 
   272.143     54.429   0.143367       4857   0.017568   0.038738 
   326.571     54.429   0.124864       8162  -0.014445   0.115593 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.122337      11404  -0.020730  -0.071552 
  -272.143    108.857   0.132421       8391   0.003470  -0.045057 
  -217.714    108.857   0.127291       7928   0.003724   0.017343 
  -163.286    108.857   0.113859      10574  -0.002220   0.012220 
  -108.857    108.857   0.125439      11591  -0.003759  -0.004070 
   -54.429    108.857   0.113629       7593  -0.014156  -0.010259 
     0.000    108.857   0.117590       9385  -0.015792  -0.008050 
    54.429    108.857   0.113850       7748  -0.008170  -0.014294 
   108.857    108.857   0.126314       9426   0.008789  -0.028311 
   163.286    108.857   0.123362       8513   0.018177   0.018638 
   217.714    108.857   0.137114       7352  -0.008454   0.016670 
   272.143    108.857   0.134825       6779  -0.027572   0.050129 
   326.571    108.857   0.120501       8696  -0.029267   0.094429 
   381.000    108.857   0.000000          0   0.000000   0.000000 
