    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.128227        891   0.088833  -0.006037 
     0.000   -381.000   0.145827       2151   0.137950   0.011001 
    54.429   -381.000   0.134592        355   0.075576   0.034248 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.103608       1134   0.081447  -0.064387 
  -163.286   -326.571   0.112809      10815   0.064495  -0.026048 
  -108.857   -326.571   0.104190      11281   0.063572  -0.009107 
   -54.429   -326.571   0.115319      12120   0.063852  -0.017485 
     0.000   -326.571   0.140410       8508   0.076007  -0.008568 
    54.429   -326.571   0.135122      12312   0.070077   0.017690 
   108.857   -326.571   0.114619      12320   0.064518   0.020351 
   163.286   -326.571   0.089707       8928   0.047741   0.029519 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.121305       4590   0.050146  -0.040893 
  -217.714   -272.143   0.114567      14233   0.049741  -0.041376 
  -163.286   -272.143   0.110824       6486   0.031935  -0.002766 
  -108.857   -272.143   0.125982       7821   0.048762  -0.014501 
   -54.429   -272.143   0.135183       8943   0.050840  -0.018609 
     0.000   -272.143   0.137100      11082   0.044331  -0.007908 
    54.429   -272.143   0.135689       8916   0.047030   0.023313 
   108.857   -272.143   0.122239       7690   0.038351   0.022407 
   163.286   -272.143   0.103808       6283   0.079176   0.016097 
   217.714   -272.143   0.093322      16341   0.055289   0.042716 
   272.143   -272.143   0.098035        887   0.073262   0.050553 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.106012       2408   0.062698  -0.070506 
  -272.143   -217.714   0.101169      14906   0.044815  -0.045601 
  -217.714   -217.714   0.118545       4836   0.068221  -0.046322 
  -163.286   -217.714   0.125033      11484   0.040600  -0.013044 
  -108.857   -217.714   0.115553       7968   0.038853  -0.017836 
   -54.429   -217.714   0.129896       7694   0.020920  -0.017966 
     0.000   -217.714   0.136894       6597   0.012474   0.017054 
    54.429   -217.714   0.124300       8184   0.026895   0.000177 
   108.857   -217.714   0.120783       8496   0.036734   0.011860 
   163.286   -217.714   0.108735      14591   0.038278   0.016771 
   217.714   -217.714   0.111790       3766   0.065813   0.036972 
   272.143   -217.714   0.087687      15691   0.044610   0.056063 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.103848      11578   0.025749  -0.077644 
  -272.143   -163.286   0.123123       4282   0.025990  -0.029301 
  -217.714   -163.286   0.125191      13920   0.011421  -0.023879 
  -163.286   -163.286   0.127028       5832   0.011289  -0.025233 
  -108.857   -163.286   0.112492      12015   0.011536   0.003175 
   -54.429   -163.286   0.125295       9776   0.004365  -0.006400 
     0.000   -163.286   0.132155      10454   0.000626   0.005546 
    54.429   -163.286   0.131029       9883   0.001987  -0.007344 
   108.857   -163.286   0.145849      10746   0.016655   0.008059 
   163.286   -163.286   0.133300       7379   0.015644  -0.012407 
   217.714   -163.286   0.114482      11329   0.033409   0.038932 
   272.143   -163.286   0.091033       7850   0.045124   0.064479 
   326.571   -163.286   0.094671       7954   0.040420   0.076866 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.043449         26   0.049608  -0.378754 
  -326.571   -108.857   0.124564      11075   0.031741  -0.081946 
  -272.143   -108.857   0.133832       9107   0.012500  -0.034457 
  -217.714   -108.857   0.134438       6815   0.013591  -0.041997 
  -163.286   -108.857   0.129401      10816   0.006017  -0.002760 
  -108.857   -108.857   0.124684       6718   0.007878   0.003525 
   -54.429   -108.857   0.123048      10939   0.010861  -0.004442 
     0.000   -108.857   0.131464       8460  -0.001789   0.014411 
    54.429   -108.857   0.127572      10269   0.005623  -0.007173 
   108.857   -108.857   0.145639       6996  -0.000193  -0.012515 
   163.286   -108.857   0.135174       9707   0.004297   0.005194 
   217.714   -108.857   0.118615      11536  -0.003521   0.040209 
   272.143   -108.857   0.133707       3294  -0.017652   0.028974 
   326.571   -108.857   0.109598      13701   0.019959   0.078086 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.091361       2222   0.011709  -0.107348 
  -326.571    -54.429   0.113258      10403   0.000187  -0.075646 
  -272.143    -54.429   0.132592      10699   0.008094  -0.031885 
  -217.714    -54.429   0.143835       6580  -0.004566  -0.017137 
  -163.286    -54.429   0.139401      11263   0.009257  -0.009398 
  -108.857    -54.429   0.138376      10237   0.009724  -0.006150 
   -54.429    -54.429   0.120637       7375  -0.015710   0.007053 
     0.000    -54.429   0.122297      10380   0.016215  -0.004401 
    54.429    -54.429   0.139382       8257   0.002583   0.000484 
   108.857    -54.429   0.139106       8287   0.001246  -0.005335 
   163.286    -54.429   0.150944       9995  -0.004765   0.006181 
   217.714    -54.429   0.138515       7358   0.000693   0.045746 
   272.143    -54.429   0.143910       8589   0.016494   0.035813 
   326.571    -54.429   0.106329      11821  -0.003927   0.085444 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.118879       3082   0.013347  -0.145804 
  -326.571      0.000   0.114380       9261   0.022207  -0.070460 
  -272.143      0.000   0.131849       9094  -0.001812  -0.028252 
  -217.714      0.000   0.131671       8743   0.001433  -0.015133 
  -163.286      0.000   0.126006       9152  -0.023853  -0.007069 
  -108.857      0.000   0.123965       9808  -0.018452  -0.001495 
   -54.429      0.000   0.128171       8271   0.001549  -0.005111 
     0.000      0.000   0.126989      12264  -0.017004   0.009623 
    54.429      0.000   0.130680       9834  -0.013602  -0.007865 
   108.857      0.000   0.139391       8596  -0.007038  -0.006573 
   163.286      0.000   0.154717      10217   0.010277   0.004154 
   217.714      0.000   0.132554       7690  -0.013560   0.035981 
   272.143      0.000   0.156326       9225  -0.006730   0.037594 
   326.571      0.000   0.111080       9576  -0.012756   0.100741 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.110453       1840  -0.020811  -0.146484 
  -326.571     54.429   0.120645      12026  -0.016698  -0.073426 
  -272.143     54.429   0.117907      10088   0.010181  -0.032865 
  -217.714     54.429   0.130290       5073   0.018302   0.003003 
  -163.286     54.429   0.129319      12520  -0.001221   0.005227 
  -108.857     54.429   0.126947       7249  -0.022283  -0.020411 
   -54.429     54.429   0.113955      10603  -0.021072   0.006824 
     0.000     54.429   0.122618       7848  -0.011739  -0.004593 
    54.429     54.429   0.127346      10126  -0.011900   0.000459 
   108.857     54.429   0.143136       9019  -0.017070  -0.009360 
   163.286     54.429   0.158247       8990  -0.031365   0.010650 
   217.714     54.429   0.156722       9173  -0.012032   0.020992 
   272.143     54.429   0.153598       5488  -0.025237   0.067968 
   326.571     54.429   0.120971       7358  -0.012684   0.126307 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.114502      12000  -0.023637  -0.100255 
  -272.143    108.857   0.118969       6409  -0.006146  -0.052377 
  -217.714    108.857   0.108919      10523  -0.010503   0.012249 
  -163.286    108.857   0.110825      11300  -0.009450   0.003246 
  -108.857    108.857   0.101012       6352  -0.011133   0.008092 
   -54.429    108.857   0.101261      12021  -0.007840   0.006091 
     0.000    108.857   0.107643      10973  -0.014748  -0.010704 
    54.429    108.857   0.122646       5364  -0.023594   0.007918 
   108.857    108.857   0.144933      10401  -0.006765  -0.010482 
   163.286    108.857   0.131721       8089  -0.003054   0.013251 
   217.714    108.857   0.166533       9934  -0.013982   0.022354 
   272.143    108.857   0.137253       6838  -0.029564   0.063055 
   326.571    108.857   0.127250       7539  -0.035814   0.086300 
   381.000    108.857   0.000000          0   0.000000   0.000000 
