    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.289883       6009   0.438195  -0.197214 
  -116.571   -349.714   0.274055      10256   0.463497  -0.154052 
   -58.286   -349.714   0.266487      10825   0.462545  -0.069359 
     0.000   -349.714   0.297647      11908   0.439737  -0.015190 
    58.286   -349.714   0.296244      12269   0.438070   0.032302 
   116.571   -349.714   0.263715      11362   0.452295   0.109923 
   174.857   -349.714   0.256165      10058   0.428776   0.204946 
   233.143   -349.714   0.218089         36   0.534060   0.438204 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.202201        204   0.343881  -0.320138 
  -233.143   -291.429   0.274228      12117   0.348069  -0.295070 
  -174.857   -291.429   0.297683       7352   0.337826  -0.198457 
  -116.571   -291.429   0.350544       5331   0.258201  -0.102811 
   -58.286   -291.429   0.289226       9467   0.241883  -0.050744 
     0.000   -291.429   0.283716       9074   0.267564  -0.016502 
    58.286   -291.429   0.317825       8237   0.270461   0.037361 
   116.571   -291.429   0.284586       6108   0.279592   0.079395 
   174.857   -291.429   0.246209       5674   0.235807   0.110758 
   233.143   -291.429   0.265633      14601   0.362642   0.279509 
   291.429   -291.429   0.234078       2344   0.304480   0.327562 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.247914      12103   0.276606  -0.341325 
  -233.143   -233.143   0.259528       6269   0.152311  -0.188452 
  -174.857   -233.143   0.287570       9943   0.216849  -0.157900 
  -116.571   -233.143   0.293850       9467   0.215817  -0.106451 
   -58.286   -233.143   0.264748       6699   0.217493  -0.056683 
     0.000   -233.143   0.322156       6147   0.199701  -0.039492 
    58.286   -233.143   0.297873       7046   0.180693   0.024073 
   116.571   -233.143   0.310429       7643   0.210962   0.067367 
   174.857   -233.143   0.269377      11784   0.212747   0.142077 
   233.143   -233.143   0.248604       4496   0.174814   0.142549 
   291.429   -233.143   0.260237      14888   0.263444   0.362989 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.248777       4526   0.239360  -0.505253 
  -291.429   -174.857   0.262512       9593   0.138808  -0.287195 
  -233.143   -174.857   0.265814       9620   0.170410  -0.239180 
