    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.125901        811   0.052873   0.011547 
     0.000   -381.000   0.150598       2191   0.045927   0.007680 
    54.429   -381.000   0.195881        282   0.062900   0.018000 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.101406       1217   0.056411  -0.013490 
  -163.286   -326.571   0.115496      10541   0.039475  -0.027395 
  -108.857   -326.571   0.116816      11266   0.049783  -0.003610 
   -54.429   -326.571   0.130124      10245   0.042112  -0.010665 
     0.000   -326.571   0.141704      11459   0.031815   0.011808 
    54.429   -326.571   0.109664      10531   0.037594  -0.000045 
   108.857   -326.571   0.098697      13160   0.024189   0.011279 
   163.286   -326.571   0.082974       9380   0.025840   0.015535 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.104163       4460   0.032741  -0.032505 
  -217.714   -272.143   0.103465      16679   0.019565  -0.015157 
  -163.286   -272.143   0.126357       4863   0.006817  -0.035765 
  -108.857   -272.143   0.148610       5935  -0.006372   0.003124 
   -54.429   -272.143   0.111827       9992   0.003915   0.006788 
     0.000   -272.143   0.115818       9088  -0.000311  -0.006881 
    54.429   -272.143   0.111077       7263  -0.024449   0.025940 
   108.857   -272.143   0.089272      10423   0.002796   0.007294 
   163.286   -272.143   0.081634       5025   0.009544  -0.008072 
   217.714   -272.143   0.073318      16795   0.016160   0.013571 
   272.143   -272.143   0.080642        837   0.035882   0.042128 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.090566       2668   0.015958  -0.043878 
  -272.143   -217.714   0.103594      11107   0.020177  -0.030419 
  -217.714   -217.714   0.114595       4754   0.014219   0.011021 
  -163.286   -217.714   0.111046      14960  -0.009464  -0.000701 
  -108.857   -217.714   0.124567       8672  -0.015148  -0.007116 
   -54.429   -217.714   0.109840       7494  -0.033376   0.015758 
     0.000   -217.714   0.115438       7502  -0.029489   0.014960 
    54.429   -217.714   0.105917       6443  -0.012030  -0.008081 
   108.857   -217.714   0.090663      10797  -0.009740  -0.009090 
   163.286   -217.714   0.087550      12376   0.006036  -0.007060 
   217.714   -217.714   0.089810       4739   0.016795   0.013951 
   272.143   -217.714   0.076934      15919   0.015797   0.021371 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.102887       9323   0.005670  -0.006582 
  -272.143   -163.286   0.111857       6848  -0.023818  -0.039431 
  -217.714   -163.286   0.128090      10770  -0.010841  -0.004564 
  -163.286   -163.286   0.136917       5071  -0.004090   0.016266 
  -108.857   -163.286   0.109035      10812  -0.028826   0.008167 
   -54.429   -163.286   0.117882       9458  -0.017968   0.015614 
     0.000   -163.286   0.097091      12170  -0.017102   0.001717 
    54.429   -163.286   0.088943      11435  -0.004981  -0.007825 
   108.857   -163.286   0.083214      12548  -0.008633  -0.010972 
   163.286   -163.286   0.089756       9357  -0.006513  -0.006032 
   217.714   -163.286   0.096702       7702   0.004893   0.003678 
   272.143   -163.286   0.091839       8345   0.012111   0.010605 
   326.571   -163.286   0.080993       6616   0.010653   0.034815 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.082565         33   0.069063  -0.070183 
  -326.571   -108.857   0.115561      13564   0.012331  -0.015881 
  -272.143   -108.857   0.135487       6424   0.031372  -0.029725 
  -217.714   -108.857   0.141199       9469   0.015887  -0.002176 
  -163.286   -108.857   0.124237       9789   0.009181   0.024491 
  -108.857   -108.857   0.120757       6997  -0.004216   0.014986 
   -54.429   -108.857   0.102963      11469  -0.004972   0.015086 
     0.000   -108.857   0.100533       7369  -0.017935  -0.014167 
    54.429   -108.857   0.088471      11745  -0.018005  -0.004445 
   108.857   -108.857   0.092325       8769  -0.004229  -0.021968 
   163.286   -108.857   0.103155       9058   0.014852  -0.015112 
   217.714   -108.857   0.114037      12796   0.013654  -0.008356 
   272.143   -108.857   0.109388       6422   0.036659   0.009651 
   326.571   -108.857   0.113154      10982   0.022234   0.041082 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.119785       1535   0.007289  -0.078598 
  -326.571    -54.429   0.120112       7685   0.012431  -0.020579 
  -272.143    -54.429   0.133543       9941   0.010444  -0.022140 
  -217.714    -54.429   0.130758       8011   0.019683  -0.002303 
  -163.286    -54.429   0.121417      11162  -0.006318   0.034527 
  -108.857    -54.429   0.111364      10340  -0.006803   0.030566 
   -54.429    -54.429   0.078642       8908  -0.023294   0.001682 
     0.000    -54.429   0.088100       8400  -0.025218   0.013418 
    54.429    -54.429   0.090819       9254  -0.012541  -0.030339 
   108.857    -54.429   0.089574       8180  -0.004307  -0.033123 
   163.286    -54.429   0.100769      11385  -0.000085  -0.020966 
   217.714    -54.429   0.124974       6704  -0.008982  -0.022021 
   272.143    -54.429   0.118690       7207   0.005286   0.026106 
   326.571    -54.429   0.100588      11354  -0.005308   0.041254 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.104643       3452   0.005410  -0.070698 
  -326.571      0.000   0.119030       8644   0.007387  -0.024583 
  -272.143      0.000   0.129239      10452   0.013871  -0.028098 
  -217.714      0.000   0.127060       6145   0.019054   0.031146 
  -163.286      0.000   0.124971       9299   0.011878   0.041535 
  -108.857      0.000   0.111594      11502   0.005550   0.017964 
   -54.429      0.000   0.109318       8012  -0.008293   0.028597 
     0.000      0.000   0.093364      14188   0.000129   0.005709 
    54.429      0.000   0.087053      12394  -0.004233  -0.026107 
   108.857      0.000   0.101763       8399  -0.000310  -0.026089 
   163.286      0.000   0.117973      12541   0.005702  -0.018368 
   217.714      0.000   0.130383       8694   0.009526  -0.010628 
   272.143      0.000   0.127474       8894  -0.020217   0.000214 
   326.571      0.000   0.124888       8427   0.008716   0.065876 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.116026       1887  -0.001096  -0.089188 
  -326.571     54.429   0.107610      10982  -0.010884  -0.030103 
  -272.143     54.429   0.122716      10821  -0.006388  -0.028577 
  -217.714     54.429   0.128760       6398  -0.015818   0.035955 
  -163.286     54.429   0.120051      11659  -0.008744   0.032358 
  -108.857     54.429   0.104753       8533   0.002545   0.031973 
   -54.429     54.429   0.095895       9567   0.006089   0.026645 
     0.000     54.429   0.093197       9611   0.014931   0.003511 
    54.429     54.429   0.094001      10254   0.013049  -0.016456 
   108.857     54.429   0.104991      10772  -0.004707  -0.039117 
   163.286     54.429   0.111435       7148  -0.013354  -0.045706 
   217.714     54.429   0.130756       8362   0.009618   0.002848 
   272.143     54.429   0.113428       6999   0.009390   0.008780 
   326.571     54.429   0.122058       7256  -0.021911   0.068661 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.100889      11274  -0.005770  -0.040202 
  -272.143    108.857   0.122380       7149  -0.002532  -0.029534 
  -217.714    108.857   0.104803       7998  -0.020837   0.014270 
  -163.286    108.857   0.118045      11904   0.009352   0.024199 
  -108.857    108.857   0.111719       7970   0.007865   0.034536 
   -54.429    108.857   0.091012      11177   0.004469   0.016356 
     0.000    108.857   0.093639       6972   0.008551  -0.000654 
    54.429    108.857   0.097934       7977   0.015376  -0.018652 
   108.857    108.857   0.096613       9367   0.026198  -0.033464 
   163.286    108.857   0.112079      10716   0.005410  -0.024195 
   217.714    108.857   0.133177       8501  -0.002352  -0.009303 
   272.143    108.857   0.142759       6811  -0.003308   0.042708 
   326.571    108.857   0.122678       5929  -0.017121   0.060747 
