    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.128720       1635   0.218644  -0.014339 
     0.000   -381.000   0.145339       3830   0.209477   0.010551 
    54.429   -381.000   0.141089        661   0.181236   0.049578 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.126556       2045   0.111992  -0.082544 
  -163.286   -326.571   0.118478      12600   0.140475  -0.058468 
  -108.857   -326.571   0.145316      12688   0.139108  -0.032995 
   -54.429   -326.571   0.153032      11179   0.131788  -0.027152 
     0.000   -326.571   0.161543       8853   0.129591  -0.006058 
    54.429   -326.571   0.154675      11915   0.144657   0.032884 
   108.857   -326.571   0.146464      13022   0.144918   0.040029 
   163.286   -326.571   0.131329       9958   0.142354   0.074101 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.130487       5968   0.095310  -0.097602 
  -217.714   -272.143   0.129194      13745   0.114088  -0.086557 
  -163.286   -272.143   0.137453       4279   0.072013  -0.040624 
  -108.857   -272.143   0.134088       9347   0.085191  -0.021144 
   -54.429   -272.143   0.145386       9633   0.092234  -0.014933 
     0.000   -272.143   0.150363      12158   0.083104  -0.006199 
    54.429   -272.143   0.151969       9235   0.099097   0.028580 
   108.857   -272.143   0.151667       6793   0.080351   0.034844 
   163.286   -272.143   0.148169       5807   0.104398   0.043776 
   217.714   -272.143   0.145953      14363   0.115890   0.111311 
   272.143   -272.143   0.142101        465   0.122244   0.186806 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.118555       3185   0.091578  -0.119353 
  -272.143   -217.714   0.134651      13788   0.084201  -0.101447 
  -217.714   -217.714   0.146915       6254   0.062529  -0.057690 
  -163.286   -217.714   0.140283      12267   0.058810  -0.038982 
  -108.857   -217.714   0.154399       7326   0.054547  -0.035909 
   -54.429   -217.714   0.148273       8466   0.063029  -0.012910 
     0.000   -217.714   0.147343       5458   0.037529   0.008378 
    54.429   -217.714   0.149180       8113   0.035514   0.025317 
   108.857   -217.714   0.135905       9139   0.055092   0.019012 
   163.286   -217.714   0.148547      12189   0.056210   0.042974 
   217.714   -217.714   0.159106       5219   0.071909   0.092584 
   272.143   -217.714   0.148313      13894   0.090002   0.116817 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.125162      13717   0.046751  -0.116963 
  -272.143   -163.286   0.132955       3304   0.023196  -0.104853 
  -217.714   -163.286   0.155809      12562   0.039870  -0.071802 
  -163.286   -163.286   0.155586       6218   0.045488  -0.042823 
  -108.857   -163.286   0.148111      12863   0.034025  -0.008478 
   -54.429   -163.286   0.150924       9795   0.014405  -0.016828 
     0.000   -163.286   0.150208      11486   0.027868   0.009939 
    54.429   -163.286   0.149180      11035   0.029973   0.001474 
   108.857   -163.286   0.158676       9281   0.040552   0.026104 
   163.286   -163.286   0.146504       8571   0.043507   0.042187 
   217.714   -163.286   0.160238      10655   0.041028   0.062560 
   272.143   -163.286   0.159191       9567   0.069737   0.111125 
   326.571   -163.286   0.150864       6431   0.057501   0.144007 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.129401         41   0.056062  -0.122285 
  -326.571   -108.857   0.159424      11791   0.045206  -0.144789 
  -272.143   -108.857   0.166458      10601   0.044867  -0.090448 
  -217.714   -108.857   0.188083       6506   0.030049  -0.042862 
  -163.286   -108.857   0.180130       9590   0.019894  -0.041426 
  -108.857   -108.857   0.147311       6223   0.013069  -0.032703 
   -54.429   -108.857   0.163775      12611   0.026529  -0.007517 
     0.000   -108.857   0.178837       8594   0.030592   0.010574 
    54.429   -108.857   0.160537      10377   0.022351   0.007373 
   108.857   -108.857   0.155915       9114   0.027954   0.012812 
   163.286   -108.857   0.166562       7580   0.008911   0.053368 
   217.714   -108.857   0.161744       9883   0.024479   0.065219 
   272.143   -108.857   0.189540       5581   0.026755   0.091654 
   326.571   -108.857   0.153093      10922   0.064656   0.161190 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.129027       4676   0.019935  -0.188400 
  -326.571    -54.429   0.157240       8144   0.024732  -0.131717 
  -272.143    -54.429   0.144023      10084   0.018069  -0.089478 
  -217.714    -54.429   0.178734       8455   0.035252  -0.053000 
  -163.286    -54.429   0.183812       9067   0.020556  -0.018963 
  -108.857    -54.429   0.176755       7821   0.032314  -0.026856 
   -54.429    -54.429   0.165650       8031  -0.014027   0.002288 
     0.000    -54.429   0.181815       6677  -0.016041  -0.024557 
    54.429    -54.429   0.174794       9364   0.013564   0.022509 
   108.857    -54.429   0.173196       7191  -0.000426   0.034927 
   163.286    -54.429   0.161799      11186  -0.001591   0.039136 
   217.714    -54.429   0.181334       7544   0.018182   0.048378 
   272.143    -54.429   0.184381       7744   0.020329   0.070301 
   326.571    -54.429   0.140750      12017   0.016641   0.165403 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.158930       5447   0.001035  -0.174536 
  -326.571      0.000   0.161079       8854  -0.008317  -0.115613 
  -272.143      0.000   0.171950       9902  -0.004232  -0.098069 
  -217.714      0.000   0.196453       7962  -0.019775  -0.048458 
  -163.286      0.000   0.195327       6585   0.009140  -0.053458 
  -108.857      0.000   0.188212      13858  -0.005431  -0.001174 
   -54.429      0.000   0.184459       7652   0.011305   0.008204 
     0.000      0.000   0.159999      12718   0.003220  -0.007405 
    54.429      0.000   0.176258       7947   0.002414   0.015780 
   108.857      0.000   0.168104       9448   0.004554   0.021050 
   163.286      0.000   0.160589       9931   0.003892   0.041853 
   217.714      0.000   0.171289       8943   0.001510   0.028189 
   272.143      0.000   0.189866       6998  -0.004232   0.116781 
   326.571      0.000   0.158155      10817  -0.025474   0.179979 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.144396       2167  -0.020359  -0.226544 
  -326.571     54.429   0.144994       9862  -0.007447  -0.140956 
  -272.143     54.429   0.168160      12289  -0.007472  -0.080685 
  -217.714     54.429   0.174616       5227   0.008680  -0.085831 
  -163.286     54.429   0.178407      13283  -0.004806  -0.022604 
  -108.857     54.429   0.204437       6165  -0.023188  -0.003522 
   -54.429     54.429   0.189744      10614  -0.009948   0.005150 
     0.000     54.429   0.178133       8338  -0.011710  -0.012986 
    54.429     54.429   0.171215      12059  -0.018473   0.010361 
   108.857     54.429   0.188073       8440  -0.004378   0.034848 
   163.286     54.429   0.187079       7172  -0.026083   0.036718 
   217.714     54.429   0.172495       9251  -0.026308   0.045628 
   272.143     54.429   0.194973       7381  -0.045133   0.123686 
   326.571     54.429   0.161324       9674  -0.030843   0.168829 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.144365      13905  -0.046968  -0.135441 
  -272.143    108.857   0.172990       6886  -0.046229  -0.112517 
  -217.714    108.857   0.185315       8305  -0.016897  -0.056973 
  -163.286    108.857   0.202998       7490  -0.038312  -0.044270 
  -108.857    108.857   0.177653       9754  -0.008294  -0.002445 
   -54.429    108.857   0.197379       7585  -0.030930  -0.004164 
     0.000    108.857   0.188262       8360  -0.025081   0.010942 
    54.429    108.857   0.175195       6208  -0.020390  -0.001503 
   108.857    108.857   0.194152       9485  -0.024311   0.030722 
   163.286    108.857   0.176482       8615  -0.002706   0.031712 
   217.714    108.857   0.223012       9397  -0.018961   0.076979 
   272.143    108.857   0.195879       4588  -0.020050   0.136388 
   326.571    108.857   0.185484       9529  -0.039710   0.155952 
   381.000    108.857   0.000000          0   0.000000   0.000000 
