    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.081444        281   0.031765  -0.002456 
     0.000   -381.000   0.084925       1408  -0.026125   0.007682 
    54.429   -381.000   0.105913        224  -0.010932   0.019405 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.115669        809  -0.031397   0.023813 
  -163.286   -326.571   0.097174       8079  -0.028204   0.003520 
  -108.857   -326.571   0.096461       9190  -0.031280   0.003762 
   -54.429   -326.571   0.086570       9174  -0.037808   0.006541 
     0.000   -326.571   0.090133       9713  -0.032684   0.009041 
    54.429   -326.571   0.088138       9349  -0.027347  -0.012556 
   108.857   -326.571   0.085272      14041  -0.014017  -0.000073 
   163.286   -326.571   0.078660       8185  -0.013580  -0.005432 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.092604       5202  -0.025165   0.022887 
  -217.714   -272.143   0.107990      11543  -0.029654   0.017041 
  -163.286   -272.143   0.097398       7480  -0.028130   0.015245 
  -108.857   -272.143   0.096955       6657  -0.070241   0.021563 
   -54.429   -272.143   0.092574       9584  -0.068123   0.005312 
     0.000   -272.143   0.085659       9617  -0.061426  -0.002449 
    54.429   -272.143   0.095278      10019  -0.052568  -0.028449 
   108.857   -272.143   0.092771       7415  -0.041711   0.000351 
   163.286   -272.143   0.083176       6349  -0.027212  -0.006964 
   217.714   -272.143   0.077385      14463  -0.019207  -0.012160 
   272.143   -272.143   0.063219        984  -0.019731  -0.033763 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.121515       1316   0.012964  -0.002370 
  -272.143   -217.714   0.106667      13005  -0.003127   0.022473 
  -217.714   -217.714   0.111120       5034  -0.030132   0.026677 
  -163.286   -217.714   0.087268      10908  -0.052443   0.034902 
  -108.857   -217.714   0.081795       8928  -0.063116   0.037285 
   -54.429   -217.714   0.079612       8869  -0.050918   0.009883 
     0.000   -217.714   0.070693       8623  -0.060943  -0.014618 
    54.429   -217.714   0.078582       7558  -0.068371  -0.022857 
   108.857   -217.714   0.091974       8857  -0.043278  -0.029188 
   163.286   -217.714   0.091328      10294  -0.040842  -0.031556 
   217.714   -217.714   0.077172       5928   0.011248  -0.029787 
   272.143   -217.714   0.076502      12113   0.001415  -0.009786 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.103109      11374  -0.008554   0.016203 
  -272.143   -163.286   0.118944       5646  -0.045856   0.036194 
  -217.714   -163.286   0.097124      12170  -0.028861   0.050009 
  -163.286   -163.286   0.089276       7379  -0.045490   0.050531 
  -108.857   -163.286   0.076952      10092  -0.044834   0.028005 
   -54.429   -163.286   0.060208      12179  -0.052398   0.010168 
     0.000   -163.286   0.052697       9059  -0.064741  -0.002533 
    54.429   -163.286   0.062888      10345  -0.061903  -0.028535 
   108.857   -163.286   0.066798      12480  -0.048828  -0.039311 
   163.286   -163.286   0.090581       8441  -0.027975  -0.043738 
   217.714   -163.286   0.094198      10835  -0.026435  -0.045494 
   272.143   -163.286   0.093619       8857  -0.011428  -0.010434 
   326.571   -163.286   0.088414       6483   0.003690  -0.000908 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.067081         27   0.029661  -0.087604 
  -326.571   -108.857   0.089752       9229  -0.011436   0.032924 
  -272.143   -108.857   0.108778       5682  -0.007370   0.055155 
  -217.714   -108.857   0.087104      10160  -0.017283   0.051365 
  -163.286   -108.857   0.074703      10291  -0.027707   0.061105 
  -108.857   -108.857   0.059929      10851  -0.034042   0.032974 
   -54.429   -108.857   0.037866      10093  -0.038264   0.022466 
     0.000   -108.857   0.037724      13807  -0.036649  -0.001749 
    54.429   -108.857   0.040010      11803  -0.042191  -0.025322 
   108.857   -108.857   0.061136      10944  -0.042276  -0.053235 
   163.286   -108.857   0.084106       8317  -0.031331  -0.060295 
   217.714   -108.857   0.108118      11008  -0.010401  -0.056838 
   272.143   -108.857   0.104442       7372   0.004013  -0.039328 
   326.571   -108.857   0.109430       7545   0.022720   0.004130 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.095198       1431   0.011738  -0.005679 
  -326.571    -54.429   0.098580       9197  -0.001345   0.026245 
  -272.143    -54.429   0.097090      11042  -0.004493   0.055556 
  -217.714    -54.429   0.091125       7914  -0.000946   0.061799 
  -163.286    -54.429   0.071076       9912  -0.007404   0.063795 
  -108.857    -54.429   0.054633      10592  -0.013852   0.039853 
   -54.429    -54.429   0.040722      12278  -0.018383   0.025940 
     0.000    -54.429   0.028541      10816  -0.020125  -0.004761 
    54.429    -54.429   0.031361      12539  -0.016880  -0.020823 
   108.857    -54.429   0.051056      10569  -0.020374  -0.061357 
   163.286    -54.429   0.074235       9564  -0.022266  -0.076623 
   217.714    -54.429   0.102196       9148  -0.009859  -0.073482 
   272.143    -54.429   0.113473       5072  -0.013810  -0.070744 
   326.571    -54.429   0.132907      10150  -0.023960   0.007457 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.114857       1771  -0.005471  -0.060474 
  -326.571      0.000   0.106205       9736   0.008689   0.041117 
  -272.143      0.000   0.101521       7986   0.009396   0.056612 
  -217.714      0.000   0.101656       9033   0.005897   0.057594 
  -163.286      0.000   0.077071      10833   0.004736   0.066851 
  -108.857      0.000   0.061736       8939   0.003040   0.058594 
   -54.429      0.000   0.036237      12225   0.003806   0.018497 
     0.000      0.000   0.030626      12608   0.006714   0.000913 
    54.429      0.000   0.038489       9068   0.002784  -0.028067 
   108.857      0.000   0.049453      10904   0.001780  -0.054629 
   163.286      0.000   0.085235      10494  -0.002789  -0.083038 
   217.714      0.000   0.106690      10805  -0.003806  -0.068935 
   272.143      0.000   0.123039       3937  -0.003352  -0.038242 
   326.571      0.000   0.121018       7277  -0.004927  -0.014340 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.135842        970   0.014584  -0.020663 
  -326.571     54.429   0.104432      10253   0.007444   0.022294 
  -272.143     54.429   0.099559       8785   0.022704   0.044890 
  -217.714     54.429   0.106207       8072   0.013114   0.062368 
  -163.286     54.429   0.081830      10888   0.019927   0.070948 
  -108.857     54.429   0.065478       9560   0.030688   0.049989 
   -54.429     54.429   0.050902       9682   0.024805   0.026798 
     0.000     54.429   0.037554       7757   0.016630  -0.001806 
    54.429     54.429   0.044045      14687   0.023913  -0.023733 
   108.857     54.429   0.057742       7592   0.029660  -0.042852 
   163.286     54.429   0.075906      11566   0.015752  -0.079747 
   217.714     54.429   0.098994       9529   0.015153  -0.070069 
   272.143     54.429   0.115752       5773   0.003854  -0.041330 
   326.571     54.429   0.111488       6140   0.004653  -0.010799 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.086792      13263   0.004852   0.003606 
  -272.143    108.857   0.102708       5087   0.030082   0.058296 
  -217.714    108.857   0.105746      10723   0.038503   0.056808 
  -163.286    108.857   0.083870      10144   0.036177   0.056511 
  -108.857    108.857   0.079390       9770   0.040672   0.048756 
   -54.429    108.857   0.061850      10782   0.040574   0.022416 
     0.000    108.857   0.053576      14363   0.038432  -0.005323 
    54.429    108.857   0.058054       8525   0.037792  -0.020496 
   108.857    108.857   0.082573      12814   0.038011  -0.047250 
   163.286    108.857   0.086038       7348   0.033423  -0.067202 
   217.714    108.857   0.109915      11968   0.024757  -0.058670 
   272.143    108.857   0.108077       6822   0.031244  -0.015760 
   326.571    108.857   0.102371       6641   0.010015  -0.003909 
