    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.087704        512  -0.074255   0.011424 
     0.000   -381.000   0.107148       1213  -0.002116   0.007216 
    54.429   -381.000   0.059513        183  -0.163159  -0.012423 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.078776        620  -0.024688  -0.011519 
  -163.286   -326.571   0.076171       4151  -0.073485   0.033016 
  -108.857   -326.571   0.083545       4458  -0.098613   0.028801 
   -54.429   -326.571   0.086809       7278  -0.071665   0.024074 
     0.000   -326.571   0.098101       7747  -0.088422  -0.011610 
    54.429   -326.571   0.086015       9012  -0.064026  -0.009068 
   108.857   -326.571   0.071106      10524  -0.048507  -0.013929 
   163.286   -326.571   0.070641       7268  -0.031560  -0.017769 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.095507       2455  -0.076413   0.083274 
  -217.714   -272.143   0.075104      10928  -0.053258   0.025247 
  -163.286   -272.143   0.083854       7447  -0.095332   0.038539 
  -108.857   -272.143   0.081208      10285  -0.083147   0.026752 
   -54.429   -272.143   0.070418       9201  -0.106380   0.013724 
     0.000   -272.143   0.074224       8827  -0.092356  -0.019609 
    54.429   -272.143   0.079508       8915  -0.082817  -0.025419 
   108.857   -272.143   0.079315       5945  -0.066673  -0.033003 
   163.286   -272.143   0.085867       7603  -0.040028  -0.047583 
   217.714   -272.143   0.092101      13444  -0.022811  -0.014790 
   272.143   -272.143   0.102354        483  -0.001822   0.021283 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.088000       2061  -0.044236   0.058757 
  -272.143   -217.714   0.083129      13536  -0.044805   0.050188 
  -217.714   -217.714   0.081965       8713  -0.051487   0.032099 
  -163.286   -217.714   0.073322       8925  -0.070146   0.053347 
  -108.857   -217.714   0.059287       8230  -0.091948   0.038912 
   -54.429   -217.714   0.053973      11428  -0.078591   0.011746 
     0.000   -217.714   0.049301      12132  -0.081987  -0.006487 
    54.429   -217.714   0.058954       8060  -0.099389  -0.042711 
   108.857   -217.714   0.077014      10582  -0.079046  -0.042868 
   163.286   -217.714   0.090511      11019  -0.054992  -0.051983 
   217.714   -217.714   0.105389       4814  -0.051032  -0.030651 
   272.143   -217.714   0.101585      10956  -0.022542  -0.033138 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.078700       8191  -0.017990   0.078770 
  -272.143   -163.286   0.079978       5697  -0.027039   0.067913 
  -217.714   -163.286   0.075388      10357  -0.053200   0.062698 
  -163.286   -163.286   0.052395      10339  -0.062660   0.058547 
  -108.857   -163.286   0.043149      10762  -0.063049   0.034231 
   -54.429   -163.286   0.029257       8930  -0.052610   0.016773 
     0.000   -163.286   0.028313       8995  -0.059280  -0.009552 
    54.429   -163.286   0.036143      10921  -0.066598  -0.033531 
   108.857   -163.286   0.049633      11696  -0.059206  -0.050863 
   163.286   -163.286   0.087347       8817  -0.054985  -0.071335 
   217.714   -163.286   0.090023       8848  -0.050111  -0.065212 
   272.143   -163.286   0.099561      10151  -0.010900  -0.041520 
   326.571   -163.286   0.130479       2844  -0.029584  -0.048483 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.000000          0   0.000000   0.000000 
  -326.571   -108.857   0.072846      10406  -0.013960   0.073164 
  -272.143   -108.857   0.073796       8874  -0.019125   0.069959 
  -217.714   -108.857   0.061341       9253  -0.025901   0.085833 
  -163.286   -108.857   0.038430      11828  -0.026482   0.055235 
  -108.857   -108.857   0.022901      12106  -0.034519   0.028274 
   -54.429   -108.857   0.017760      13632  -0.035931   0.015368 
     0.000   -108.857   0.015977      14208  -0.031627  -0.006419 
    54.429   -108.857   0.022516      11202  -0.039292  -0.030764 
   108.857   -108.857   0.032624      10619  -0.037236  -0.054123 
   163.286   -108.857   0.054167      11097  -0.039643  -0.076501 
   217.714   -108.857   0.097564       7582  -0.031108  -0.096506 
   272.143   -108.857   0.104464       7897   0.004732  -0.077872 
   326.571   -108.857   0.137723       4238   0.026221  -0.031871 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.064919       1125   0.006768   0.044052 
  -326.571    -54.429   0.081178       8353   0.000937   0.086535 
  -272.143    -54.429   0.084905       7968   0.000291   0.089919 
  -217.714    -54.429   0.056968      11432  -0.009245   0.078331 
  -163.286    -54.429   0.036620       9521  -0.009073   0.060800 
  -108.857    -54.429   0.016503      12401  -0.011794   0.038417 
   -54.429    -54.429   0.012068      14436  -0.010665   0.010921 
     0.000    -54.429   0.010935      14575  -0.012846  -0.005491 
    54.429    -54.429   0.013198      11681  -0.011506  -0.025402 
   108.857    -54.429   0.025046      12497  -0.014452  -0.043432 
   163.286    -54.429   0.047062      11412  -0.023462  -0.083223 
   217.714    -54.429   0.075393       7988  -0.017727  -0.104833 
   272.143    -54.429   0.090928       8588  -0.032588  -0.081943 
   326.571    -54.429   0.102767       6684  -0.025034  -0.031884 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.066982        802   0.004996  -0.084841 
  -326.571      0.000   0.092551       9532   0.010159   0.074286 
  -272.143      0.000   0.086335       8697   0.010635   0.090682 
  -217.714      0.000   0.065402      11058   0.014552   0.083162 
  -163.286      0.000   0.038665      10154   0.006761   0.064051 
  -108.857      0.000   0.018539      10999   0.011483   0.040388 
   -54.429      0.000   0.012321      11768   0.006740   0.016542 
     0.000      0.000   0.012215      13551   0.007955  -0.007640 
    54.429      0.000   0.014286      11161   0.005864  -0.023113 
   108.857      0.000   0.019264      12699   0.005637  -0.043728 
   163.286      0.000   0.041305      12291   0.009967  -0.081624 
   217.714      0.000   0.077773       8604   0.004145  -0.089313 
   272.143      0.000   0.089302       6458   0.014927  -0.095646 
   326.571      0.000   0.104214       5444  -0.009975  -0.069572 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.088987        719  -0.001933  -0.097732 
  -326.571     54.429   0.091406      10294   0.009730   0.061371 
  -272.143     54.429   0.090071       8433   0.033802   0.082268 
  -217.714     54.429   0.077612       9300   0.023304   0.095121 
  -163.286     54.429   0.057559      10524   0.036730   0.062949 
  -108.857     54.429   0.025943      12570   0.024331   0.036565 
   -54.429     54.429   0.020924      10276   0.025178   0.019396 
     0.000     54.429   0.016939      11342   0.022563  -0.005980 
    54.429     54.429   0.018984      13325   0.023137  -0.026225 
   108.857     54.429   0.031025      10580   0.026645  -0.051178 
   163.286     54.429   0.046847      10545   0.032876  -0.085630 
   217.714     54.429   0.083909       9625   0.038348  -0.094837 
   272.143     54.429   0.119884       6547   0.036495  -0.065644 
   326.571     54.429   0.123604       4990   0.029663  -0.060686 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.080028      10168   0.008804   0.043114 
  -272.143    108.857   0.090264       5906   0.032443   0.063665 
  -217.714    108.857   0.084599       9160   0.045846   0.091701 
  -163.286    108.857   0.070365      11336   0.047564   0.053757 
  -108.857    108.857   0.054333      10095   0.059242   0.046666 
   -54.429    108.857   0.037491      12784   0.048586   0.020687 
     0.000    108.857   0.030999      11856   0.045361  -0.002116 
    54.429    108.857   0.033829       8521   0.040149  -0.029495 
   108.857    108.857   0.050275      11626   0.053501  -0.067455 
   163.286    108.857   0.060555      10029   0.037639  -0.074728 
   217.714    108.857   0.094950      10057   0.042761  -0.081436 
   272.143    108.857   0.095410       5936   0.000103  -0.046920 
   326.571    108.857   0.099169       4683   0.005905  -0.044283 
