    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.248191       3421   0.518339  -0.274743 
  -116.571   -349.714   0.276414      10801   0.514559  -0.154566 
   -58.286   -349.714   0.271539      11235   0.537602  -0.105052 
     0.000   -349.714   0.291676      11831   0.533610  -0.031911 
    58.286   -349.714   0.283706      12526   0.503005   0.044051 
   116.571   -349.714   0.292808      12532   0.484503   0.106438 
   174.857   -349.714   0.264887      10777   0.457936   0.212637 
   233.143   -349.714   0.201270        303   0.408148   0.271300 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.211541       9754   0.401433  -0.323917 
  -174.857   -291.429   0.237404      11238   0.409783  -0.256601 
  -116.571   -291.429   0.274382       4204   0.407864  -0.153734 
   -58.286   -291.429   0.307870       6460   0.392554  -0.094275 
     0.000   -291.429   0.344975       7852   0.368914  -0.022950 
    58.286   -291.429   0.304902       7778   0.389180   0.017742 
   116.571   -291.429   0.321118       6277   0.407929   0.154923 
   174.857   -291.429   0.340262       5291   0.353449   0.171905 
   233.143   -291.429   0.262401      14617   0.415295   0.288689 
   291.429   -291.429   0.289888       3881   0.369611   0.349562 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.240781      10550   0.303373  -0.377560 
  -233.143   -233.143   0.234469       7422   0.347075  -0.330066 
  -174.857   -233.143   0.303396       8026   0.275039  -0.244350 
  -116.571   -233.143   0.308881      11100   0.283881  -0.106910 
   -58.286   -233.143   0.315785       8362   0.303782  -0.105733 
     0.000   -233.143   0.317696       7979   0.278064  -0.002161 
    58.286   -233.143   0.331504       7783   0.230856   0.028586 
   116.571   -233.143   0.332874       8541   0.246412   0.097852 
   174.857   -233.143   0.303116      12582   0.260899   0.157211 
   233.143   -233.143   0.272816       4876   0.270528   0.222114 
   291.429   -233.143   0.266724      15821   0.307342   0.371805 
   349.714   -233.143   0.186572       1045   0.324702   0.524487 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.230979       2597   0.226415  -0.461418 
  -291.429   -174.857   0.269515      11952   0.234337  -0.440542 
  -233.143   -174.857   0.294855       7932   0.217346  -0.283080 
