    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.089040        727  -0.011251   0.017276 
     0.000   -381.000   0.096921       1909   0.011228   0.002423 
    54.429   -381.000   0.107987        339   0.049806   0.021375 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.082138        995  -0.005109   0.002772 
  -163.286   -326.571   0.111677       6242   0.021304  -0.013272 
  -108.857   -326.571   0.102863       9660  -0.007529   0.005526 
   -54.429   -326.571   0.110545       9115  -0.023780   0.003764 
     0.000   -326.571   0.084034      12079  -0.027091   0.004348 
    54.429   -326.571   0.110431      10304  -0.024430  -0.006414 
   108.857   -326.571   0.091868      13766  -0.008513  -0.004741 
   163.286   -326.571   0.078872       9075  -0.005845  -0.000334 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.089217       3514  -0.012381   0.002425 
  -217.714   -272.143   0.093307      13952  -0.000910   0.007288 
  -163.286   -272.143   0.114327       7314  -0.048429   0.010005 
  -108.857   -272.143   0.112711       8177  -0.033080   0.020135 
   -54.429   -272.143   0.106524       8272  -0.035102  -0.003690 
     0.000   -272.143   0.103783      10257  -0.032176   0.012923 
    54.429   -272.143   0.098817       8786  -0.033339  -0.019062 
   108.857   -272.143   0.093623       7648  -0.035530  -0.024309 
   163.286   -272.143   0.080345       6399  -0.020074  -0.010925 
   217.714   -272.143   0.075657      14303  -0.004465  -0.004499 
   272.143   -272.143   0.082372        668  -0.019498   0.002341 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.099520       1471   0.021429  -0.014841 
  -272.143   -217.714   0.091137      15430  -0.001719   0.008910 
  -217.714   -217.714   0.109650       3904  -0.052478   0.006080 
  -163.286   -217.714   0.106406      11536  -0.027291   0.025611 
  -108.857   -217.714   0.101920       6907  -0.056294   0.022428 
   -54.429   -217.714   0.092116      10626  -0.052141   0.010499 
     0.000   -217.714   0.085521       7963  -0.054651   0.008985 
    54.429   -217.714   0.078468       6918  -0.063088  -0.017474 
   108.857   -217.714   0.089348      10112  -0.034319  -0.020570 
   163.286   -217.714   0.095049      10733  -0.034683  -0.030785 
   217.714   -217.714   0.083603       7021   0.004057  -0.023107 
   272.143   -217.714   0.076980      14461   0.005110   0.000043 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.104920      10018   0.003284   0.003606 
  -272.143   -163.286   0.104496       4008  -0.016510   0.041147 
  -217.714   -163.286   0.107381      14127  -0.013993   0.029054 
  -163.286   -163.286   0.084978       7553  -0.042119   0.042587 
  -108.857   -163.286   0.079117       9328  -0.063959   0.024387 
   -54.429   -163.286   0.068525      11016  -0.060517   0.025590 
     0.000   -163.286   0.067867       8697  -0.069764  -0.002507 
    54.429   -163.286   0.067663      12248  -0.048585  -0.028428 
   108.857   -163.286   0.094615      12281  -0.035805  -0.033700 
   163.286   -163.286   0.093552       6366  -0.009491  -0.053629 
   217.714   -163.286   0.095739      10313  -0.011368  -0.034673 
   272.143   -163.286   0.089664       8953   0.001378   0.007263 
   326.571   -163.286   0.093518       4900   0.003385  -0.011950 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.017281         15   0.014126   0.080077 
  -326.571   -108.857   0.117150      10773  -0.005513   0.008115 
  -272.143   -108.857   0.114090       6929   0.002196   0.025470 
  -217.714   -108.857   0.092335       7635  -0.013792   0.056534 
  -163.286   -108.857   0.076321       8813  -0.038138   0.067202 
  -108.857   -108.857   0.058434      11192  -0.045787   0.038647 
   -54.429   -108.857   0.064598      10482  -0.047391   0.018333 
     0.000   -108.857   0.056221      12932  -0.048887  -0.006503 
    54.429   -108.857   0.053997       9940  -0.039782  -0.026866 
   108.857   -108.857   0.074435      11162  -0.034203  -0.061561 
   163.286   -108.857   0.085228       7174  -0.030093  -0.058633 
   217.714   -108.857   0.103618      10516  -0.016345  -0.046931 
   272.143   -108.857   0.111370       8612   0.000814  -0.012988 
   326.571   -108.857   0.109879       9422   0.014169   0.009599 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.068210       2199   0.019660  -0.007384 
  -326.571    -54.429   0.096282       8406   0.014314  -0.003543 
  -272.143    -54.429   0.110341      10999   0.005967   0.029485 
  -217.714    -54.429   0.096732       7721  -0.000683   0.066739 
  -163.286    -54.429   0.073435      10304  -0.017389   0.075954 
  -108.857    -54.429   0.053733      11099  -0.018418   0.051279 
   -54.429    -54.429   0.034745      15488  -0.011360   0.006453 
     0.000    -54.429   0.044059       6336  -0.021574  -0.004664 
    54.429    -54.429   0.033626      13612  -0.016816  -0.031501 
   108.857    -54.429   0.080125       9519  -0.021118  -0.066423 
   163.286    -54.429   0.085562       9272  -0.010820  -0.072325 
   217.714    -54.429   0.105293       9746   0.008094  -0.054926 
   272.143    -54.429   0.123479       6405   0.012893  -0.034248 
   326.571    -54.429   0.115092       8319  -0.005280   0.023345 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.097273       1823  -0.009091  -0.112581 
  -326.571      0.000   0.094672      10495  -0.008054   0.010562 
  -272.143      0.000   0.097350       8756   0.005612   0.042095 
  -217.714      0.000   0.082052       8621  -0.010041   0.069255 
  -163.286      0.000   0.075968      10979   0.003396   0.076703 
  -108.857      0.000   0.050018      13496   0.011613   0.040748 
   -54.429      0.000   0.037372       7206  -0.005906   0.022743 
     0.000      0.000   0.031573      14497  -0.002581  -0.000701 
    54.429      0.000   0.039712      11096  -0.010331  -0.032777 
   108.857      0.000   0.056079       8899  -0.005973  -0.069265 
   163.286      0.000   0.081277      10107  -0.005047  -0.088055 
   217.714      0.000   0.101171      10174   0.006390  -0.054029 
   272.143      0.000   0.126368       7000  -0.013892  -0.033639 
   326.571      0.000   0.128602       7974   0.000018   0.024889 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.109589        866  -0.008960  -0.002562 
  -326.571     54.429   0.120942       8436   0.009613  -0.017263 
  -272.143     54.429   0.110605       9418   0.002876   0.052262 
  -217.714     54.429   0.117543       6933   0.006829   0.063348 
  -163.286     54.429   0.069138      12196   0.019239   0.070937 
  -108.857     54.429   0.047238       9194   0.006454   0.051495 
   -54.429     54.429   0.033869      10992   0.022282   0.027368 
     0.000     54.429   0.031861       8405   0.004498  -0.008845 
    54.429     54.429   0.037957      14228   0.014687  -0.030521 
   108.857     54.429   0.063131      10328   0.009565  -0.061722 
   163.286     54.429   0.087586       8825   0.015254  -0.071178 
   217.714     54.429   0.120262       9206  -0.003564  -0.075857 
   272.143     54.429   0.152693       4598   0.011792  -0.033392 
   326.571     54.429   0.144549       6405   0.004639   0.029858 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.119367      11307  -0.009458  -0.005472 
  -272.143    108.857   0.123171       6578  -0.025016   0.036147 
  -217.714    108.857   0.122282       9588   0.019816   0.051724 
  -163.286    108.857   0.085390       8803   0.015115   0.068206 
  -108.857    108.857   0.073334      11862   0.036608   0.040662 
   -54.429    108.857   0.048756       9808   0.041339   0.027577 
     0.000    108.857   0.035413      12374   0.043599  -0.003203 
    54.429    108.857   0.049369      10428   0.035375  -0.023511 
   108.857    108.857   0.079617      10469   0.057666  -0.089728 
   163.286    108.857   0.096079       7982   0.032504  -0.051801 
   217.714    108.857   0.142224      10101   0.025330  -0.057432 
   272.143    108.857   0.123811       8730   0.018144  -0.003782 
   326.571    108.857   0.121933       4927  -0.013097   0.036002 
