    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.106346       2866   0.363592  -0.035269 
     0.000   -381.000   0.140980       6670   0.332011   0.011129 
    54.429   -381.000   0.115082       1170   0.350794   0.068325 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.115749       3219   0.238999  -0.141315 
  -163.286   -326.571   0.118418      13953   0.277214  -0.116797 
  -108.857   -326.571   0.135137      15059   0.264876  -0.076911 
   -54.429   -326.571   0.141496      11077   0.286496  -0.036012 
     0.000   -326.571   0.149495       8867   0.234038   0.016702 
    54.429   -326.571   0.157388      13181   0.272142   0.054386 
   108.857   -326.571   0.136048      13736   0.269610   0.091752 
   163.286   -326.571   0.129268      11795   0.251746   0.127144 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.131234       7806   0.193997  -0.192414 
  -217.714   -272.143   0.125595      14477   0.228778  -0.168278 
  -163.286   -272.143   0.147038       3232   0.189282  -0.087898 
  -108.857   -272.143   0.153687      10754   0.197363  -0.076590 
   -54.429   -272.143   0.164653      13195   0.180308  -0.036019 
     0.000   -272.143   0.167664      10922   0.219751  -0.007284 
    54.429   -272.143   0.177022      13397   0.184306   0.060487 
   108.857   -272.143   0.146968       9168   0.218222   0.096604 
   163.286   -272.143   0.131481       5037   0.208591   0.125776 
   217.714   -272.143   0.135222      16551   0.214865   0.178613 
   272.143   -272.143   0.118726       1704   0.180695   0.181349 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.117080       3682   0.187036  -0.275676 
  -272.143   -217.714   0.136215      13844   0.177944  -0.218852 
  -217.714   -217.714   0.176327       5790   0.168491  -0.169265 
  -163.286   -217.714   0.164730      14827   0.158317  -0.107838 
  -108.857   -217.714   0.202086       5139   0.197224  -0.057869 
   -54.429   -217.714   0.190944       8212   0.126394  -0.029988 
     0.000   -217.714   0.201523       7859   0.141699   0.009630 
    54.429   -217.714   0.185786       7956   0.116082   0.055134 
   108.857   -217.714   0.194341       7619   0.146554   0.079076 
   163.286   -217.714   0.161368      15081   0.146318   0.120852 
   217.714   -217.714   0.155679       4179   0.163244   0.145744 
   272.143   -217.714   0.129265      16479   0.167309   0.219707 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.131157      14450   0.117297  -0.264094 
  -272.143   -163.286   0.160310       4228   0.099035  -0.195192 
  -217.714   -163.286   0.177059      14374   0.094149  -0.147401 
  -163.286   -163.286   0.181113       6273   0.083184  -0.079106 
  -108.857   -163.286   0.203374      13706   0.073853  -0.064004 
   -54.429   -163.286   0.196823       8666   0.087594  -0.008608 
     0.000   -163.286   0.198223       9034   0.058532   0.009365 
    54.429   -163.286   0.195977      10280   0.083895   0.036046 
   108.857   -163.286   0.192921      11532   0.095657   0.064923 
   163.286   -163.286   0.193556       6353   0.104622   0.135025 
   217.714   -163.286   0.156103      12769   0.119306   0.171399 
   272.143   -163.286   0.135341       6524   0.111560   0.197350 
   326.571   -163.286   0.132363      10250   0.132609   0.256425 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.092862        114   0.053676  -0.111255 
  -326.571   -108.857   0.138141      14226   0.078246  -0.276917 
  -272.143   -108.857   0.190315      11848   0.067862  -0.180669 
  -217.714   -108.857   0.189926       6561   0.078586  -0.152752 
  -163.286   -108.857   0.197454      12408   0.052928  -0.077521 
  -108.857   -108.857   0.213170       6349   0.065371  -0.066884 
   -54.429   -108.857   0.194861      11984   0.038932  -0.013765 
     0.000   -108.857   0.205763      10976   0.053036   0.009335 
    54.429   -108.857   0.213174      10211   0.046069   0.023908 
   108.857   -108.857   0.192519       7060   0.031255   0.067355 
   163.286   -108.857   0.206204      11378   0.056739   0.095091 
   217.714   -108.857   0.152552      10163   0.065570   0.150181 
   272.143   -108.857   0.161138       7199   0.086377   0.200834 
   326.571   -108.857   0.122145      13845   0.070182   0.269301 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.152633       5083   0.041921  -0.335944 
  -326.571    -54.429   0.151489       9339   0.020967  -0.265251 
  -272.143    -54.429   0.190962      11263   0.032262  -0.213436 
  -217.714    -54.429   0.206296       7191   0.016339  -0.127508 
  -163.286    -54.429   0.229321       8715   0.026445  -0.104637 
  -108.857    -54.429   0.212637      11498   0.020722  -0.037963 
   -54.429    -54.429   0.205647       7516   0.033560  -0.031940 
     0.000    -54.429   0.194369       6681   0.041977   0.032479 
    54.429    -54.429   0.220521       9044   0.023157   0.024161 
   108.857    -54.429   0.211452       9265   0.042276   0.058983 
   163.286    -54.429   0.214385      12158   0.028688   0.091603 
   217.714    -54.429   0.188677       5153   0.029052   0.155497 
   272.143    -54.429   0.156879      13133   0.023473   0.186018 
   326.571    -54.429   0.134416      12388   0.043988   0.299380 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.164987       7413   0.001626  -0.325553 
  -326.571      0.000   0.167892       7104   0.015683  -0.252416 
  -272.143      0.000   0.193938      13758  -0.010384  -0.182096 
  -217.714      0.000   0.197295       6261   0.017222  -0.144895 
  -163.286      0.000   0.216028      10018  -0.003369  -0.091355 
  -108.857      0.000   0.223698       9827  -0.001542  -0.048583 
   -54.429      0.000   0.238608       6864  -0.005354  -0.023832 
     0.000      0.000   0.203937      14607  -0.013462   0.009873 
    54.429      0.000   0.226006       7406  -0.006057   0.028130 
   108.857      0.000   0.217681       9839  -0.002101   0.053151 
   163.286      0.000   0.211961      11133  -0.010995   0.097142 
   217.714      0.000   0.196288       6735  -0.009179   0.160616 
   272.143      0.000   0.168412      10609  -0.003251   0.213757 
   326.571      0.000   0.147762      13384  -0.011463   0.286641 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.137955       4232  -0.035147  -0.341192 
  -326.571     54.429   0.161896      10455  -0.050716  -0.272552 
  -272.143     54.429   0.201412      11663  -0.026276  -0.189211 
  -217.714     54.429   0.208388       7591  -0.017177  -0.131750 
  -163.286     54.429   0.224341       9328  -0.034341  -0.095125 
  -108.857     54.429   0.223872      11684  -0.028779  -0.044643 
   -54.429     54.429   0.225105       7383  -0.030629  -0.009968 
     0.000     54.429   0.222570       9051  -0.026032   0.014882 
    54.429     54.429   0.231580      10126  -0.045477   0.029864 
   108.857     54.429   0.216851       7994  -0.057363   0.061524 
   163.286     54.429   0.240892      10460  -0.050996   0.107890 
   217.714     54.429   0.212534       5739  -0.045403   0.172731 
   272.143     54.429   0.185519      10787  -0.037455   0.201669 
   326.571     54.429   0.163092      12280  -0.046037   0.303463 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.177451      14177  -0.090358  -0.296193 
  -272.143    108.857   0.181710       9066  -0.065245  -0.197675 
  -217.714    108.857   0.194060       7153  -0.075521  -0.143700 
  -163.286    108.857   0.205018      11173  -0.070186  -0.097331 
  -108.857    108.857   0.240939       6909  -0.061410  -0.045928 
   -54.429    108.857   0.244333       8628  -0.075841  -0.011065 
     0.000    108.857   0.223514       8931  -0.063034   0.013918 
    54.429    108.857   0.237305       6586  -0.064499   0.046567 
   108.857    108.857   0.256201      10496  -0.081999   0.071556 
   163.286    108.857   0.221204       8575  -0.087903   0.092939 
   217.714    108.857   0.215206      11623  -0.098814   0.148834 
   272.143    108.857   0.216236       5433  -0.092504   0.229936 
   326.571    108.857   0.166750      12278  -0.118314   0.287750 
   381.000    108.857   0.000000          0   0.000000   0.000000 
