    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.134739       1430   0.071100  -0.001869 
     0.000   -381.000   0.115409       3076   0.033295   0.012876 
    54.429   -381.000   0.132412        607   0.069468   0.010753 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.129822       1637   0.032619  -0.015022 
  -163.286   -326.571   0.133391      10443   0.013402  -0.014849 
  -108.857   -326.571   0.123087      12104   0.009209   0.003804 
   -54.429   -326.571   0.140412      11542  -0.003138  -0.003973 
     0.000   -326.571   0.126660       9693  -0.002336   0.000896 
    54.429   -326.571   0.131016      12420   0.007904  -0.003079 
   108.857   -326.571   0.113567      13612   0.013009   0.002049 
   163.286   -326.571   0.107635       9603   0.017113   0.017854 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.112385       4785   0.013328  -0.016032 
  -217.714   -272.143   0.107773      15506   0.001599   0.001370 
  -163.286   -272.143   0.102467       5375  -0.013154  -0.009610 
  -108.857   -272.143   0.113913       9685  -0.036245   0.020228 
   -54.429   -272.143   0.111366       9652  -0.049947   0.007615 
     0.000   -272.143   0.092203      10230  -0.053541  -0.006027 
    54.429   -272.143   0.103291      12770  -0.035116  -0.008454 
   108.857   -272.143   0.115639       7535  -0.040521  -0.019608 
   163.286   -272.143   0.114512       6485   0.001442  -0.005140 
   217.714   -272.143   0.138007      16846   0.014462   0.011213 
   272.143   -272.143   0.141863        650   0.025663   0.032644 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.135672       2555   0.017698  -0.036103 
  -272.143   -217.714   0.110230      15637   0.000427   0.001843 
  -217.714   -217.714   0.107663       6945  -0.018925   0.021852 
  -163.286   -217.714   0.105520      13608  -0.044008   0.023004 
  -108.857   -217.714   0.084064       8587  -0.056867   0.025748 
   -54.429   -217.714   0.081782       8435  -0.057225   0.009407 
     0.000   -217.714   0.066839      10369  -0.057643  -0.006811 
    54.429   -217.714   0.068305       8804  -0.063741  -0.018781 
   108.857   -217.714   0.108563       8666  -0.041732  -0.047332 
   163.286   -217.714   0.140886      11016  -0.033677  -0.024272 
   217.714   -217.714   0.138531       6304   0.008513  -0.012306 
   272.143   -217.714   0.138947      11698   0.025589   0.025062 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.119073      12719   0.005544  -0.008527 
  -272.143   -163.286   0.112209       4177  -0.010254   0.006980 
  -217.714   -163.286   0.104541      14662  -0.024420   0.040451 
  -163.286   -163.286   0.073825       6097  -0.041852   0.041234 
  -108.857   -163.286   0.066945      13372  -0.043147   0.025385 
   -54.429   -163.286   0.059647      10996  -0.052863   0.014495 
     0.000   -163.286   0.057865       8138  -0.050531  -0.002107 
    54.429   -163.286   0.057240      11668  -0.047276  -0.024668 
   108.857   -163.286   0.069079      11883  -0.041250  -0.046278 
   163.286   -163.286   0.118554       6473  -0.020609  -0.047096 
   217.714   -163.286   0.144608      12690  -0.013707  -0.041839 
   272.143   -163.286   0.157202       8481   0.009998   0.010699 
   326.571   -163.286   0.161860       6250   0.011097   0.049839 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.021191          6   0.205075  -0.225741 
  -326.571   -108.857   0.117537      14673   0.006681  -0.008441 
  -272.143   -108.857   0.109724       9804   0.000425   0.036361 
  -217.714   -108.857   0.113872       6270  -0.014797   0.052229 
  -163.286   -108.857   0.071953      13831  -0.023112   0.048174 
  -108.857   -108.857   0.053295       9575  -0.018100   0.029725 
   -54.429   -108.857   0.039977      13245  -0.024129   0.019327 
     0.000   -108.857   0.036963      13715  -0.026137  -0.002885 
    54.429   -108.857   0.038038      12640  -0.024458  -0.023222 
   108.857   -108.857   0.065363       9972  -0.030998  -0.050877 
   163.286   -108.857   0.080422      10727  -0.026948  -0.068468 
   217.714   -108.857   0.147950      10902  -0.005958  -0.050035 
   272.143   -108.857   0.158555       6053  -0.006185   0.018523 
   326.571   -108.857   0.165896      10106   0.012788   0.023800 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.124930       2981   0.011208  -0.043441 
  -326.571    -54.429   0.140095       8596   0.002560   0.002089 
  -272.143    -54.429   0.107684      12362   0.002117   0.027629 
  -217.714    -54.429   0.095954       8394   0.015433   0.056404 
  -163.286    -54.429   0.088222      11572   0.002599   0.058802 
  -108.857    -54.429   0.044618      11567  -0.011833   0.031108 
   -54.429    -54.429   0.036994       9958  -0.006472   0.015093 
     0.000    -54.429   0.036716      13157  -0.009273   0.000095 
    54.429    -54.429   0.031439      13520  -0.004819  -0.026079 
   108.857    -54.429   0.049416       9551  -0.001735  -0.050181 
   163.286    -54.429   0.080995      12259  -0.008318  -0.065274 
   217.714    -54.429   0.122027       9884  -0.005774  -0.062905 
   272.143    -54.429   0.172491       6244   0.004049  -0.003073 
   326.571    -54.429   0.197146       9710   0.002602   0.034763 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.130773       4076   0.003116  -0.028922 
  -326.571      0.000   0.132011      10280   0.002710  -0.008758 
  -272.143      0.000   0.113589       9828   0.008343   0.036996 
  -217.714      0.000   0.110525       7553   0.019369   0.065973 
  -163.286      0.000   0.091664      11155   0.012384   0.066233 
  -108.857      0.000   0.045634      11689   0.011382   0.031838 
   -54.429      0.000   0.041005      12149   0.008381   0.015697 
     0.000      0.000   0.038525      11376   0.014756  -0.000335 
    54.429      0.000   0.032802      12657   0.008956  -0.022833 
   108.857      0.000   0.050048      12511   0.004275  -0.048644 
   163.286      0.000   0.077638      10331  -0.002320  -0.066594 
   217.714      0.000   0.110409       8301  -0.006362  -0.073558 
   272.143      0.000   0.157320       9133  -0.003722  -0.009928 
   326.571      0.000   0.178683      10208   0.002369   0.037551 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.118438       2055  -0.002642  -0.074432 
  -326.571     54.429   0.130431      11483   0.004878  -0.009218 
  -272.143     54.429   0.111901      12687   0.006188   0.025246 
  -217.714     54.429   0.113859       6988   0.014701   0.048870 
  -163.286     54.429   0.097990      11760   0.026291   0.067111 
  -108.857     54.429   0.063633      11697   0.034060   0.030701 
   -54.429     54.429   0.055091       9057   0.042791   0.024728 
     0.000     54.429   0.036873       9415   0.026106  -0.003322 
    54.429     54.429   0.046430       9694   0.029475  -0.027043 
   108.857     54.429   0.050916      11080   0.031901  -0.045551 
   163.286     54.429   0.088434      11839   0.026581  -0.064908 
   217.714     54.429   0.134113       9269   0.022067  -0.059547 
   272.143     54.429   0.158432       7230   0.005995  -0.003704 
   326.571     54.429   0.189088       8151  -0.001968   0.049337 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.114989      11834  -0.006962  -0.030339 
  -272.143    108.857   0.123514       8278   0.029727   0.021522 
  -217.714    108.857   0.126063      10773   0.025027   0.027003 
  -163.286    108.857   0.106004      11356   0.042861   0.055983 
  -108.857    108.857   0.104135       8444   0.047470   0.032862 
   -54.429    108.857   0.071793      10412   0.044657   0.022287 
     0.000    108.857   0.061984      12475   0.046116  -0.002337 
    54.429    108.857   0.055233      11063   0.044628  -0.023955 
   108.857    108.857   0.092703      10113   0.040687  -0.041719 
   163.286    108.857   0.094017       9959   0.034844  -0.041243 
   217.714    108.857   0.133133      10847   0.010001  -0.054941 
   272.143    108.857   0.151948       6269   0.025566   0.009301 
   326.571    108.857   0.180547       9490  -0.021016   0.050082 
