    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.100773        892   0.021969   0.007774 
     0.000   -381.000   0.106163       3086   0.025778   0.004478 
    54.429   -381.000   0.098799        400  -0.001965   0.016720 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.107741       1421  -0.002331   0.002861 
  -163.286   -326.571   0.104627       6919  -0.036807   0.018227 
  -108.857   -326.571   0.109207       9272  -0.041677   0.007467 
   -54.429   -326.571   0.110167       8521  -0.045865   0.007700 
     0.000   -326.571   0.111631       7666  -0.062857  -0.009743 
    54.429   -326.571   0.092712       9502  -0.030956  -0.008409 
   108.857   -326.571   0.093707      12118  -0.011514  -0.009514 
   163.286   -326.571   0.082249       8499  -0.010480   0.001017 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.089160       6243  -0.026346   0.026297 
  -217.714   -272.143   0.101557      12545  -0.040043   0.017354 
  -163.286   -272.143   0.103346       8471  -0.057440   0.016652 
  -108.857   -272.143   0.099713       9606  -0.083490   0.024904 
   -54.429   -272.143   0.083036      10784  -0.082675   0.011239 
     0.000   -272.143   0.089340      10566  -0.083812  -0.000645 
    54.429   -272.143   0.101598      12414  -0.070586  -0.023329 
   108.857   -272.143   0.096041       8233  -0.069392  -0.040830 
   163.286   -272.143   0.087829       7156  -0.031344  -0.014061 
   217.714   -272.143   0.113067      13904  -0.021738  -0.006180 
   272.143   -272.143   0.119578        722  -0.004058  -0.011319 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.092171       2096  -0.017591   0.040367 
  -272.143   -217.714   0.087507      13045  -0.033374   0.036794 
  -217.714   -217.714   0.085648       6075  -0.061845   0.047457 
  -163.286   -217.714   0.084217      10969  -0.068599   0.047803 
  -108.857   -217.714   0.070266       8844  -0.069704   0.018721 
   -54.429   -217.714   0.059342      11196  -0.072349   0.011182 
     0.000   -217.714   0.054878      11354  -0.070139  -0.010594 
    54.429   -217.714   0.065747       8205  -0.071878  -0.029407 
   108.857   -217.714   0.092250       6872  -0.083978  -0.049788 
   163.286   -217.714   0.099122      12455  -0.050106  -0.052766 
   217.714   -217.714   0.114628       4085   0.011576  -0.015177 
   272.143   -217.714   0.113151      11905  -0.009372  -0.016962 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.093299      11918  -0.023598   0.045926 
  -272.143   -163.286   0.094693       6024  -0.037213   0.039897 
  -217.714   -163.286   0.085350      11744  -0.047828   0.059943 
  -163.286   -163.286   0.061916       9724  -0.051346   0.046081 
  -108.857   -163.286   0.048425      11900  -0.052568   0.032051 
   -54.429   -163.286   0.037996       8441  -0.055739   0.012779 
     0.000   -163.286   0.030085      10773  -0.052094  -0.009163 
    54.429   -163.286   0.047697       9664  -0.062694  -0.024809 
   108.857   -163.286   0.059420      14203  -0.055394  -0.048442 
   163.286   -163.286   0.098856       6364  -0.063428  -0.071096 
   217.714   -163.286   0.108229      11710  -0.041676  -0.055692 
   272.143   -163.286   0.131970       8994  -0.006901  -0.034896 
   326.571   -163.286   0.111878       6504   0.001991   0.007454 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.030048         31   0.015456   0.093378 
  -326.571   -108.857   0.091296      11423  -0.009340   0.062740 
  -272.143   -108.857   0.092941       8903  -0.018747   0.070548 
  -217.714   -108.857   0.071650       8591  -0.033670   0.052134 
  -163.286   -108.857   0.045686      12546  -0.033564   0.050226 
  -108.857   -108.857   0.023765      12535  -0.032067   0.027816 
   -54.429   -108.857   0.021818      13335  -0.037168   0.010952 
     0.000   -108.857   0.026249      10633  -0.037412  -0.007687 
    54.429   -108.857   0.024836      15996  -0.034391  -0.023013 
   108.857   -108.857   0.047737       9225  -0.038740  -0.043554 
   163.286   -108.857   0.068486      11787  -0.037823  -0.074789 
   217.714   -108.857   0.114647       9450  -0.018008  -0.088363 
   272.143   -108.857   0.136337       6451  -0.011229  -0.036192 
   326.571   -108.857   0.107416       6950  -0.005195  -0.013347 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.080039       3568  -0.001953   0.054961 
  -326.571    -54.429   0.096835      11815  -0.021945   0.046068 
  -272.143    -54.429   0.085594      10259  -0.009443   0.074969 
  -217.714    -54.429   0.061282      11122  -0.010617   0.066751 
  -163.286    -54.429   0.035742      10363  -0.014549   0.045796 
  -108.857    -54.429   0.023008      12372  -0.016557   0.030265 
   -54.429    -54.429   0.017097      14721  -0.012887   0.008775 
     0.000    -54.429   0.017081      15917  -0.016448  -0.007616 
    54.429    -54.429   0.020967      10767  -0.012327  -0.022438 
   108.857    -54.429   0.032400      11053  -0.021566  -0.044710 
   163.286    -54.429   0.064412      11068  -0.017802  -0.083592 
   217.714    -54.429   0.110700       9187  -0.016118  -0.097747 
   272.143    -54.429   0.129364       6025  -0.012918  -0.040458 
   326.571    -54.429   0.130267      12245  -0.002852  -0.022486 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.104178       3618   0.003817   0.064264 
  -326.571      0.000   0.101506       9329   0.015629   0.057014 
  -272.143      0.000   0.086676      11318   0.005869   0.070133 
  -217.714      0.000   0.056942       9068  -0.000227   0.068832 
  -163.286      0.000   0.033901      12861  -0.003851   0.054757 
  -108.857      0.000   0.020287      10846   0.002706   0.024534 
   -54.429      0.000   0.015913      13618   0.002644   0.010876 
     0.000      0.000   0.017520      12550   0.007780  -0.003246 
    54.429      0.000   0.017110      14064  -0.003672  -0.024272 
   108.857      0.000   0.040839       9612  -0.001545  -0.048668 
   163.286      0.000   0.059745       9785   0.003743  -0.086236 
   217.714      0.000   0.103054      11437   0.002609  -0.090099 
   272.143      0.000   0.133050       7710   0.002832  -0.059425 
   326.571      0.000   0.128512       9320   0.002942  -0.007384 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.078952       1861   0.012987   0.069559 
  -326.571     54.429   0.100652      10051   0.011547   0.057317 
  -272.143     54.429   0.085354       9356   0.021749   0.078988 
  -217.714     54.429   0.060130       9440   0.016214   0.063394 
  -163.286     54.429   0.045802      11963   0.021798   0.057036 
  -108.857     54.429   0.022264      13029   0.016422   0.025683 
   -54.429     54.429   0.020458       6209   0.017739   0.020843 
     0.000     54.429   0.016453      11574   0.006881  -0.005965 
    54.429     54.429   0.019376      13913   0.015770  -0.023177 
   108.857     54.429   0.035083       9608   0.020430  -0.051430 
   163.286     54.429   0.068455      10574   0.023066  -0.073989 
   217.714     54.429   0.108804      10526   0.009293  -0.099080 
   272.143     54.429   0.144092       5235   0.020522  -0.075509 
   326.571     54.429   0.137099       8876  -0.000098  -0.006469 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.089229      14059   0.020735   0.040456 
  -272.143    108.857   0.089618       8339   0.041293   0.049903 
  -217.714    108.857   0.081021       9462   0.044132   0.076723 
  -163.286    108.857   0.049575      13949   0.041530   0.053817 
  -108.857    108.857   0.047726       6755   0.059330   0.037622 
   -54.429    108.857   0.023249      13253   0.029784   0.012100 
     0.000    108.857   0.022418      14798   0.027898  -0.004111 
    54.429    108.857   0.035619       9263   0.037760  -0.025233 
   108.857    108.857   0.057343      13911   0.042986  -0.054737 
   163.286    108.857   0.068060       6810   0.045681  -0.067040 
   217.714    108.857   0.117501      11196   0.025108  -0.093189 
   272.143    108.857   0.134538       8277   0.008765  -0.022658 
