    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.074256       3734   0.011574   0.003025 
     0.000   -381.000   0.071492       6103  -0.038517   0.003115 
    54.429   -381.000   0.123071       1020  -0.026325   0.004810 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.104030       2505   0.001733  -0.004106 
  -163.286   -326.571   0.098842      12540  -0.023204   0.017702 
  -108.857   -326.571   0.096714      14592  -0.031758   0.016181 
   -54.429   -326.571   0.088267      11761  -0.054473   0.005740 
     0.000   -326.571   0.081609       7904  -0.058161   0.011745 
    54.429   -326.571   0.085519      14974  -0.042480  -0.009530 
   108.857   -326.571   0.073472      12088  -0.052321  -0.016454 
   163.286   -326.571   0.084088      12810  -0.033166  -0.018605 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.115785       6471  -0.017743   0.006125 
  -217.714   -272.143   0.117896      14407  -0.026799   0.016994 
  -163.286   -272.143   0.092232       5936  -0.030180   0.032904 
  -108.857   -272.143   0.062054      13356  -0.036577   0.020954 
   -54.429   -272.143   0.047703      12760  -0.048932   0.017494 
     0.000   -272.143   0.044765      15302  -0.035741   0.002524 
    54.429   -272.143   0.052434      13726  -0.039014  -0.004356 
   108.857   -272.143   0.053791      12799  -0.038743  -0.018409 
   163.286   -272.143   0.096963       5683  -0.048941  -0.029544 
   217.714   -272.143   0.112523      15818  -0.027735  -0.032732 
   272.143   -272.143   0.125749        987  -0.024325   0.003879 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.110633       2725  -0.005979   0.012636 
  -272.143   -217.714   0.114998      13987  -0.009829   0.023341 
  -217.714   -217.714   0.096991       3764  -0.026258   0.041117 
  -163.286   -217.714   0.067836      15685  -0.038569   0.035716 
  -108.857   -217.714   0.067196       6346  -0.048365   0.038459 
   -54.429   -217.714   0.025413       9802  -0.035833   0.013424 
     0.000   -217.714   0.023218      15023  -0.032382   0.002838 
    54.429   -217.714   0.026269      14526  -0.033297  -0.009395 
   108.857   -217.714   0.046478       8492  -0.032910  -0.018005 
   163.286   -217.714   0.083606      13945  -0.037746  -0.034396 
   217.714   -217.714   0.101420       4641  -0.029463  -0.056273 
   272.143   -217.714   0.121478      15978  -0.019859  -0.023323 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.100673      15043  -0.007251   0.017832 
  -272.143   -163.286   0.104466       5601  -0.019860   0.045648 
  -217.714   -163.286   0.091342      14095  -0.038041   0.036633 
  -163.286   -163.286   0.054675       7386  -0.028521   0.039865 
  -108.857   -163.286   0.030647      17166  -0.028298   0.024606 
   -54.429   -163.286   0.029150       8424  -0.032754   0.015687 
     0.000   -163.286   0.021443      11865  -0.024651   0.001827 
    54.429   -163.286   0.022874       7369  -0.026800  -0.009534 
   108.857   -163.286   0.032093      14429  -0.027662  -0.023208 
   163.286   -163.286   0.054824       8403  -0.027039  -0.025293 
   217.714   -163.286   0.102030      14689  -0.030369  -0.049643 
   272.143   -163.286   0.132735       6813  -0.010096  -0.024985 
   326.571   -163.286   0.147662       7690  -0.012635  -0.033865 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.056463        104   0.022731  -0.015088 
  -326.571   -108.857   0.095431      16747  -0.000346   0.015393 
  -272.143   -108.857   0.095077      12326  -0.004967   0.042208 
  -217.714   -108.857   0.085241       7635  -0.001209   0.057179 
  -163.286   -108.857   0.047698      13015  -0.017086   0.034288 
  -108.857   -108.857   0.032535       9558  -0.014763   0.031350 
   -54.429   -108.857   0.021773      18255  -0.015226   0.012623 
     0.000   -108.857   0.019824       7418  -0.023319   0.002429 
    54.429   -108.857   0.020869      14789  -0.018007  -0.010236 
   108.857   -108.857   0.024938      10323  -0.014163  -0.021494 
   163.286   -108.857   0.038746      14850  -0.012613  -0.030482 
   217.714   -108.857   0.110449      11412  -0.012255  -0.056436 
   272.143   -108.857   0.124706       6345  -0.017571  -0.044564 
   326.571   -108.857   0.153184      12728  -0.016856  -0.028148 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.095254       4160   0.009113   0.007804 
  -326.571    -54.429   0.113684       7333  -0.007253   0.028539 
  -272.143    -54.429   0.105594      12601  -0.004343   0.053531 
  -217.714    -54.429   0.050025      10612   0.000194   0.041693 
  -163.286    -54.429   0.048112       9253  -0.006939   0.046582 
  -108.857    -54.429   0.025006      11813  -0.003486   0.024660 
   -54.429    -54.429   0.027950      12540  -0.000728   0.017346 
     0.000    -54.429   0.021177      20597  -0.003991   0.000468 
    54.429    -54.429   0.019899       6710  -0.010733  -0.008545 
   108.857    -54.429   0.024740      17107  -0.002664  -0.018128 
   163.286    -54.429   0.046584      14138  -0.002210  -0.034629 
   217.714    -54.429   0.101397       5473   0.001237  -0.094260 
   272.143    -54.429   0.137148       9990   0.002632  -0.042121 
   326.571    -54.429   0.198346      10605   0.003317  -0.036285 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.115991       8429   0.001668  -0.008964 
  -326.571      0.000   0.119972       9302   0.008621   0.026955 
  -272.143      0.000   0.095048      14747   0.004584   0.049086 
  -217.714      0.000   0.059042       9933   0.006584   0.045613 
  -163.286      0.000   0.053698       8405   0.005267   0.045210 
  -108.857      0.000   0.032639      15569   0.006288   0.025475 
   -54.429      0.000   0.026860      16003   0.006187   0.010632 
     0.000      0.000   0.029651       6581   0.027280   0.002007 
    54.429      0.000   0.025327      19655   0.009048  -0.006906 
   108.857      0.000   0.028760      13509   0.006222  -0.022991 
   163.286      0.000   0.058018      10692   0.006926  -0.040939 
   217.714      0.000   0.085414      10123   0.021319  -0.051167 
   272.143      0.000   0.143490       9698   0.010424  -0.045968 
   326.571      0.000   0.156468      10636   0.016917  -0.029911 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.104093       2071  -0.004983  -0.052839 
  -326.571     54.429   0.109652      11355   0.000082   0.020781 
  -272.143     54.429   0.099030      13883   0.010203   0.049378 
  -217.714     54.429   0.097849       4956   0.035540   0.049657 
  -163.286     54.429   0.060455      13710   0.022253   0.041745 
  -108.857     54.429   0.037376      15003   0.016722   0.023028 
   -54.429     54.429   0.033803       9551   0.021723   0.010245 
     0.000     54.429   0.028153       9557   0.011689   0.004631 
    54.429     54.429   0.033478       5091   0.027707  -0.018245 
   108.857     54.429   0.039893      15817   0.018740  -0.020622 
   163.286     54.429   0.064049       7306   0.033570  -0.059905 
   217.714     54.429   0.102129      10481   0.029203  -0.063389 
   272.143     54.429   0.155252       8315   0.043094  -0.050376 
   326.571     54.429   0.194963       8737   0.026898  -0.010435 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.114653      14006   0.009144   0.005298 
  -272.143    108.857   0.105554       9810   0.023293   0.040004 
  -217.714    108.857   0.116304       7478   0.021550   0.043925 
  -163.286    108.857   0.071063      12392   0.037043   0.045914 
  -108.857    108.857   0.073080       9643   0.044037   0.027458 
   -54.429    108.857   0.048982       8816   0.036378   0.019554 
     0.000    108.857   0.037588      12045   0.033923  -0.002866 
    54.429    108.857   0.039156      15069   0.022688  -0.007455 
   108.857    108.857   0.070491       6316   0.050269  -0.031059 
   163.286    108.857   0.088007      13905   0.045857  -0.049887 
   217.714    108.857   0.122965      10246   0.046095  -0.067657 
   272.143    108.857   0.169227       6076   0.044386  -0.036753 
   326.571    108.857   0.202464       7429  -0.007706   0.027732 
