    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.065183       3184   0.030542   0.003583 
     0.000   -381.000   0.096857       6940   0.035317   0.006148 
    54.429   -381.000   0.095187       1472   0.035022   0.008514 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.073954       1966   0.012928  -0.016092 
  -163.286   -326.571   0.060422      15885   0.005984  -0.003643 
  -108.857   -326.571   0.083131      13847   0.003619  -0.003872 
   -54.429   -326.571   0.093493      12368  -0.002845  -0.002229 
     0.000   -326.571   0.084710      10304  -0.001733  -0.015027 
    54.429   -326.571   0.092997      13337   0.016212   0.003818 
   108.857   -326.571   0.091164      15607   0.019063   0.002383 
   163.286   -326.571   0.079623      11171   0.020740   0.012829 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.035908       9453   0.003914   0.000329 
  -217.714   -272.143   0.054232      12968  -0.000757  -0.002301 
  -163.286   -272.143   0.047860       8120  -0.006258  -0.006444 
  -108.857   -272.143   0.062594      15057   0.002998  -0.005405 
   -54.429   -272.143   0.090646      12661   0.006476  -0.003182 
     0.000   -272.143   0.079578      14539   0.003086  -0.005663 
    54.429   -272.143   0.071963      13669   0.005329  -0.001655 
   108.857   -272.143   0.073754      12615   0.010604  -0.004221 
   163.286   -272.143   0.097126       4452   0.051629  -0.007209 
   217.714   -272.143   0.108757      11390   0.034274   0.026826 
   272.143   -272.143   0.146010        749   0.017613   0.029972 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.047806       5893   0.001535  -0.004176 
  -272.143   -217.714   0.047830      11087  -0.001485   0.000887 
  -217.714   -217.714   0.050107      10053   0.013208  -0.006711 
  -163.286   -217.714   0.054173      12888   0.002428  -0.001700 
  -108.857   -217.714   0.078946       7084   0.005717  -0.003774 
   -54.429   -217.714   0.070802      14161   0.000168  -0.006633 
     0.000   -217.714   0.073443      10671   0.000453  -0.013186 
    54.429   -217.714   0.088951      10806   0.009808  -0.000227 
   108.857   -217.714   0.080265       6991   0.012280  -0.025007 
   163.286   -217.714   0.091404      16070   0.008487  -0.001533 
   217.714   -217.714   0.103298       5654   0.023241   0.009351 
   272.143   -217.714   0.128147      14066   0.027842   0.029733 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.050111      11039   0.001345   0.002482 
  -272.143   -163.286   0.047795       7100   0.001604  -0.010162 
  -217.714   -163.286   0.048214      12882  -0.001803  -0.004908 
  -163.286   -163.286   0.062667      11247   0.013593  -0.000802 
  -108.857   -163.286   0.093294      11865   0.004612  -0.006872 
   -54.429   -163.286   0.073556       7071   0.009963  -0.013833 
     0.000   -163.286   0.087231       9327   0.006527  -0.021360 
    54.429   -163.286   0.083159       7896   0.003596   0.000405 
   108.857   -163.286   0.096851      17155   0.004897  -0.014605 
   163.286   -163.286   0.098042       6792   0.013787  -0.002741 
   217.714   -163.286   0.144883      13780   0.014837   0.006748 
   272.143   -163.286   0.165976       5848   0.030172   0.021523 
   326.571   -163.286   0.178390       8463   0.016340   0.051967 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.022797         70   0.023891  -0.068822 
  -326.571   -108.857   0.052129      19933  -0.000971   0.000412 
  -272.143   -108.857   0.053386      16361   0.004816  -0.004809 
  -217.714   -108.857   0.076657       6375   0.003198  -0.014809 
  -163.286   -108.857   0.081576      14276   0.003892  -0.005089 
  -108.857   -108.857   0.097041      12184   0.019846  -0.007917 
   -54.429   -108.857   0.102532      12595   0.020552  -0.008308 
     0.000   -108.857   0.094158      11381   0.016880  -0.000179 
    54.429   -108.857   0.102960      13440   0.018745  -0.011545 
   108.857   -108.857   0.106533       8511   0.012048  -0.008541 
   163.286   -108.857   0.149688      13873   0.012357  -0.002443 
   217.714   -108.857   0.164787       7507   0.032405  -0.023570 
   272.143   -108.857   0.199357       8287   0.023210   0.039538 
   326.571   -108.857   0.173136      11783   0.024293   0.047586 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.054184      10541   0.003310  -0.007713 
  -326.571    -54.429   0.060593       5656   0.011927   0.019459 
  -272.143    -54.429   0.065510      17513   0.002299  -0.006806 
  -217.714    -54.429   0.075352      12551   0.012805  -0.012681 
  -163.286    -54.429   0.094686       5466   0.025249  -0.012104 
  -108.857    -54.429   0.132315      16766   0.007281  -0.011462 
   -54.429    -54.429   0.117958      11418   0.014854  -0.009319 
     0.000    -54.429   0.112063      10556   0.023554  -0.002954 
    54.429    -54.429   0.139677      10336   0.003056  -0.008207 
   108.857    -54.429   0.144028      10923   0.019424  -0.012541 
   163.286    -54.429   0.167345       8977   0.017157  -0.008278 
   217.714    -54.429   0.190481       7217   0.014181  -0.012751 
   272.143    -54.429   0.204793      10250  -0.003487   0.040388 
   326.571    -54.429   0.208597      11859  -0.001500   0.054963 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.057534       9530   0.000283  -0.013146 
  -326.571      0.000   0.073141       4825   0.014105   0.003993 
  -272.143      0.000   0.064328      13255   0.007389  -0.009826 
  -217.714      0.000   0.095806      11676   0.016557  -0.017140 
  -163.286      0.000   0.115047       5925   0.031954  -0.016644 
  -108.857      0.000   0.132010       8921   0.014406  -0.024364 
   -54.429      0.000   0.160584      12101   0.023965  -0.006899 
     0.000      0.000   0.175798       7475   0.031439  -0.023629 
    54.429      0.000   0.152035       9358   0.032653  -0.007181 
   108.857      0.000   0.186569      13296   0.022886   0.001125 
   163.286      0.000   0.211464      11083   0.026061  -0.015974 
   217.714      0.000   0.237979       6838   0.018755   0.013459 
   272.143      0.000   0.238125       9085   0.024562   0.042796 
   326.571      0.000   0.205307      11829   0.012129   0.060773 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.056754       9170  -0.000157  -0.027406 
  -326.571     54.429   0.072537       9832   0.005317   0.006615 
  -272.143     54.429   0.087253      13407   0.011716  -0.018390 
  -217.714     54.429   0.107646       9665   0.018701  -0.012723 
  -163.286     54.429   0.131790      11356   0.015892  -0.020921 
  -108.857     54.429   0.169785      11971   0.019181  -0.013964 
   -54.429     54.429   0.195725       9801   0.027551  -0.011448 
     0.000     54.429   0.184659       9913   0.022727  -0.007650 
    54.429     54.429   0.200486       8744   0.024037  -0.009027 
   108.857     54.429   0.210218       8624   0.023830  -0.006313 
   163.286     54.429   0.223524      11166   0.021198   0.000302 
   217.714     54.429   0.274577       6460   0.024359   0.009359 
   272.143     54.429   0.255086       9998   0.000060   0.034437 
   326.571     54.429   0.233172      11477  -0.008338   0.081085 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.058823      16558   0.004400  -0.021997 
  -272.143    108.857   0.086459      12677   0.011914  -0.028531 
  -217.714    108.857   0.129676       8029   0.026728  -0.010279 
  -163.286    108.857   0.159280      13455   0.020004  -0.015516 
  -108.857    108.857   0.211514       9104   0.018109  -0.003465 
   -54.429    108.857   0.215497      10182   0.002905  -0.023929 
     0.000    108.857   0.249818       8003   0.020844   0.001794 
    54.429    108.857   0.239367       5875   0.040217  -0.017447 
   108.857    108.857   0.243424       8184   0.017763  -0.001855 
   163.286    108.857   0.231908       9024  -0.001898  -0.008603 
   217.714    108.857   0.274629      10728  -0.013316   0.037192 
   272.143    108.857   0.239863       5434  -0.016794   0.040559 
   326.571    108.857   0.244648      10496  -0.023686   0.087160 
   381.000    108.857   0.000000          0   0.000000   0.000000 
