    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.091584       4074   0.059418  -0.002695 
     0.000   -381.000   0.103377       5907   0.094348   0.003636 
    54.429   -381.000   0.117452       1857   0.080572   0.027274 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.045665       4650   0.023851  -0.014659 
  -163.286   -326.571   0.048719      15610   0.023497  -0.012309 
  -108.857   -326.571   0.081308      13159   0.032898  -0.021119 
   -54.429   -326.571   0.094156      11764   0.039601  -0.020624 
     0.000   -326.571   0.120878       5779   0.053853  -0.020309 
    54.429   -326.571   0.137250      12890   0.066091   0.000219 
   108.857   -326.571   0.137099      12055   0.085933   0.029650 
   163.286   -326.571   0.135377      10784   0.086637   0.046801 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.038771       9189   0.018194  -0.013925 
  -217.714   -272.143   0.048737      14548   0.013713  -0.019346 
  -163.286   -272.143   0.061169       6081   0.041281  -0.023538 
  -108.857   -272.143   0.077509      14158   0.035381  -0.023765 
   -54.429   -272.143   0.124407      10951   0.036881  -0.028216 
     0.000   -272.143   0.129093      12359   0.049537  -0.020572 
    54.429   -272.143   0.126708      12441   0.055124   0.010757 
   108.857   -272.143   0.162405       9208   0.051383   0.007523 
   163.286   -272.143   0.159870       3880   0.082152   0.013363 
   217.714   -272.143   0.127672      15621   0.078051   0.062508 
   272.143   -272.143   0.139830       1285   0.082634   0.109990 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.035034       6462   0.009691  -0.015214 
  -272.143   -217.714   0.045331      14093   0.010857  -0.015604 
  -217.714   -217.714   0.059992      12157   0.026781  -0.024859 
  -163.286   -217.714   0.063564      11581   0.021877  -0.030705 
  -108.857   -217.714   0.084980       5379   0.020395  -0.025423 
   -54.429   -217.714   0.110536       9278   0.031347  -0.033901 
     0.000   -217.714   0.131741      11217   0.020517  -0.027019 
    54.429   -217.714   0.147043       7086   0.031587  -0.009792 
   108.857   -217.714   0.143388       7272   0.049395   0.008521 
   163.286   -217.714   0.143374      16512   0.042332   0.015421 
   217.714   -217.714   0.120448       4676   0.062439   0.047321 
   272.143   -217.714   0.133293      14145   0.060816   0.085888 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.041454      15765   0.007248  -0.017273 
  -272.143   -163.286   0.044734       8634   0.011873  -0.038003 
  -217.714   -163.286   0.065852      11940   0.017934  -0.026429 
  -163.286   -163.286   0.090525      10748   0.033190  -0.026661 
  -108.857   -163.286   0.105770      10296   0.039291  -0.031497 
   -54.429   -163.286   0.131340       7845   0.032020  -0.030679 
     0.000   -163.286   0.149638       8423   0.037386  -0.032735 
    54.429   -163.286   0.167568       8060   0.022560  -0.015743 
   108.857   -163.286   0.165019      14666   0.022618   0.006619 
   163.286   -163.286   0.153344       6084   0.044412   0.001097 
   217.714   -163.286   0.144299      12461   0.037889   0.047070 
   272.143   -163.286   0.117372       6326   0.065440   0.071170 
   326.571   -163.286   0.114915       9866   0.048052   0.099253 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.031205         95   0.021091  -0.022648 
  -326.571   -108.857   0.038870      17177   0.006610  -0.016561 
  -272.143   -108.857   0.061655      15012   0.011321  -0.037763 
  -217.714   -108.857   0.086033       6793   0.016517  -0.036027 
  -163.286   -108.857   0.107586      10250   0.016310  -0.039133 
  -108.857   -108.857   0.127054      12640   0.018220  -0.017850 
   -54.429   -108.857   0.135543       9964   0.018971  -0.036439 
     0.000   -108.857   0.166693       9148   0.019417  -0.023823 
    54.429   -108.857   0.173371      15717   0.021531  -0.006310 
   108.857   -108.857   0.169873       6402   0.039985  -0.006537 
   163.286   -108.857   0.155884      13888   0.023071   0.009949 
   217.714   -108.857   0.165258       9219   0.038131   0.029507 
   272.143   -108.857   0.137489       8807   0.039850   0.069217 
   326.571   -108.857   0.137099      11734   0.040404   0.118092 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.045799      10400   0.005597  -0.031009 
  -326.571    -54.429   0.051835       5648   0.014882  -0.008148 
  -272.143    -54.429   0.058544      14085   0.005873  -0.037427 
  -217.714    -54.429   0.088727       9555   0.019393  -0.053472 
  -163.286    -54.429   0.118569       7117   0.024673  -0.032141 
  -108.857    -54.429   0.145973       9684   0.016223  -0.039866 
   -54.429    -54.429   0.166512      11588   0.018041  -0.028577 
     0.000    -54.429   0.161427       8843   0.025201  -0.016649 
    54.429    -54.429   0.179382       7397   0.016853  -0.012959 
   108.857    -54.429   0.166138      14343   0.022071  -0.007732 
   163.286    -54.429   0.185958       7621   0.031218   0.008317 
   217.714    -54.429   0.173680       6688   0.031773   0.027216 
   272.143    -54.429   0.164577      13458   0.020527   0.066519 
   326.571    -54.429   0.147092      11990   0.023589   0.128675 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.056271      11970   0.000914  -0.034130 
  -326.571      0.000   0.062461       5782   0.008628  -0.005447 
  -272.143      0.000   0.070346      12766   0.008176  -0.038469 
  -217.714      0.000   0.098427      12285   0.004124  -0.048718 
  -163.286      0.000   0.128021       7680   0.037457  -0.049210 
  -108.857      0.000   0.184449      12805   0.014360  -0.023673 
   -54.429      0.000   0.176066      11292   0.016880  -0.016052 
     0.000      0.000   0.205881       6785   0.016245  -0.043040 
    54.429      0.000   0.191890      12469   0.010547  -0.007207 
   108.857      0.000   0.201654      10534   0.019770  -0.024413 
   163.286      0.000   0.200331       8098   0.029920   0.013289 
   217.714      0.000   0.185048      10146   0.023075   0.033164 
   272.143      0.000   0.184160       9650   0.021449   0.079500 
   326.571      0.000   0.167908      11668  -0.000288   0.150032 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.049981       5576  -0.005003  -0.046147 
  -326.571     54.429   0.058187      10630  -0.008703  -0.019106 
  -272.143     54.429   0.079370      12494  -0.002269  -0.052424 
  -217.714     54.429   0.125970       6351  -0.002040  -0.075903 
  -163.286     54.429   0.151928       9982  -0.013041  -0.045001 
  -108.857     54.429   0.179354      10654   0.004660  -0.037359 
   -54.429     54.429   0.185059       7416   0.018113  -0.017440 
     0.000     54.429   0.187804      10495   0.021435  -0.021025 
    54.429     54.429   0.190554       9777   0.019825  -0.033074 
   108.857     54.429   0.209992      11196   0.006596  -0.004767 
   163.286     54.429   0.229628      10815   0.000248   0.019892 
   217.714     54.429   0.218787       6997  -0.020354   0.032491 
   272.143     54.429   0.189670      11491  -0.023991   0.080512 
   326.571     54.429   0.186628      10766  -0.020956   0.158825 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.057118      16325  -0.003259  -0.031947 
  -272.143    108.857   0.077143      12510  -0.014839  -0.045250 
  -217.714    108.857   0.127078       4937  -0.009924  -0.047579 
  -163.286    108.857   0.155963      13184  -0.015179  -0.055960 
  -108.857    108.857   0.212971       8139   0.008626  -0.053239 
   -54.429    108.857   0.212206       7526   0.006050  -0.038056 
     0.000    108.857   0.235872      10998  -0.009300  -0.014462 
    54.429    108.857   0.231840       8708   0.006936  -0.021982 
   108.857    108.857   0.240654       8805  -0.011350  -0.003427 
   163.286    108.857   0.252114       8444  -0.024150   0.038530 
   217.714    108.857   0.242520      10566  -0.005224   0.033333 
   272.143    108.857   0.195540       6898  -0.005041   0.109177 
   326.571    108.857   0.216106      10822  -0.052785   0.153264 
   381.000    108.857   0.000000          0   0.000000   0.000000 
