    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.079305        279  -0.042772   0.025067 
     0.000   -381.000   0.065969       2195  -0.067050   0.003631 
    54.429   -381.000   0.066641        626  -0.070908   0.002686 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.045442       2148  -0.041044   0.024271 
  -163.286   -326.571   0.061894      11761  -0.054265   0.021737 
  -108.857   -326.571   0.066492      12554  -0.058143   0.016893 
   -54.429   -326.571   0.075222      11149  -0.075181   0.006974 
     0.000   -326.571   0.067322      11616  -0.056603   0.006321 
    54.429   -326.571   0.070514      12586  -0.054521  -0.013632 
   108.857   -326.571   0.072322      12516  -0.059258  -0.019279 
   163.286   -326.571   0.070425       9104  -0.048729  -0.027145 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.051891       5795  -0.045439   0.043649 
  -217.714   -272.143   0.054887      14353  -0.052588   0.032865 
  -163.286   -272.143   0.053750       5909  -0.063890   0.027127 
  -108.857   -272.143   0.044251      11075  -0.055919   0.020875 
   -54.429   -272.143   0.038654      13491  -0.052144   0.002141 
     0.000   -272.143   0.044985      13287  -0.055419  -0.006987 
    54.429   -272.143   0.039694      13116  -0.050581  -0.010860 
   108.857   -272.143   0.051441       9492  -0.051500  -0.018632 
   163.286   -272.143   0.088470       6324  -0.056851  -0.032335 
   217.714   -272.143   0.087883      16295  -0.031192  -0.034830 
   272.143   -272.143   0.098682        560  -0.013467  -0.007530 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.060455       2194  -0.028838   0.053165 
  -272.143   -217.714   0.061882      13570  -0.036984   0.052674 
  -217.714   -217.714   0.029119       9903  -0.032598   0.031400 
  -163.286   -217.714   0.029865      13612  -0.039940   0.024329 
  -108.857   -217.714   0.023414      10626  -0.034603   0.018013 
   -54.429   -217.714   0.016757       9074  -0.031002   0.004782 
     0.000   -217.714   0.016729      10102  -0.034182  -0.003253 
    54.429   -217.714   0.027722       9755  -0.040390  -0.012265 
   108.857   -217.714   0.045754       9468  -0.039824  -0.028663 
   163.286   -217.714   0.058923      14423  -0.039971  -0.035401 
   217.714   -217.714   0.087846       4573  -0.051338  -0.061044 
   272.143   -217.714   0.098845      13523  -0.031835  -0.035094 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.063758      10944  -0.030977   0.067190 
  -272.143   -163.286   0.043572       7603  -0.031936   0.051009 
  -217.714   -163.286   0.036212      12026  -0.034678   0.036605 
  -163.286   -163.286   0.020745      10748  -0.029386   0.027011 
  -108.857   -163.286   0.013319      13190  -0.027132   0.012866 
   -54.429   -163.286   0.013021      13235  -0.027067   0.002977 
     0.000   -163.286   0.011639      11038  -0.026340  -0.003358 
    54.429   -163.286   0.014752      11411  -0.023792  -0.012900 
   108.857   -163.286   0.016751      15499  -0.020762  -0.020434 
   163.286   -163.286   0.061699       6266  -0.032409  -0.037256 
   217.714   -163.286   0.079293      12792  -0.025762  -0.050323 
   272.143   -163.286   0.105601       8655  -0.027200  -0.055412 
   326.571   -163.286   0.103089       5323  -0.014895  -0.049043 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.017661         24   0.023575  -0.103055 
  -326.571   -108.857   0.060772      13274  -0.016375   0.068141 
  -272.143   -108.857   0.044199      11814  -0.020482   0.050708 
  -217.714   -108.857   0.022855      10296  -0.021022   0.034398 
  -163.286   -108.857   0.013677      13003  -0.014491   0.019110 
  -108.857   -108.857   0.008677      13938  -0.012944   0.010290 
   -54.429   -108.857   0.008956      14762  -0.014629   0.004379 
     0.000   -108.857   0.009136      13820  -0.015205  -0.004133 
    54.429   -108.857   0.009176      17051  -0.012662  -0.010250 
   108.857   -108.857   0.018836      10041  -0.018359  -0.022607 
   163.286   -108.857   0.026746      13286  -0.015541  -0.026730 
   217.714   -108.857   0.078972      12286  -0.021594  -0.059733 
   272.143   -108.857   0.092366       4626   0.005313  -0.065385 
   326.571   -108.857   0.109934      10666  -0.010129  -0.049345 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.056733       3225  -0.000750   0.059631 
  -326.571    -54.429   0.068122       9520  -0.002937   0.081839 
  -272.143    -54.429   0.047601      11582  -0.005748   0.056213 
  -217.714    -54.429   0.017408      12252  -0.003208   0.024934 
  -163.286    -54.429   0.014108      13447  -0.007157   0.019283 
  -108.857    -54.429   0.009694      12974  -0.007082   0.014068 
   -54.429    -54.429   0.006242      12682  -0.005406   0.003348 
     0.000    -54.429   0.006167      18449  -0.005051  -0.003735 
    54.429    -54.429   0.007236      11013  -0.006599  -0.012875 
   108.857    -54.429   0.010202      12902  -0.006389  -0.016309 
   163.286    -54.429   0.021735      13476  -0.007317  -0.032821 
   217.714    -54.429   0.070038      10043  -0.008870  -0.060155 
   272.143    -54.429   0.088588       8646  -0.007612  -0.067391 
   326.571    -54.429   0.122976       7845  -0.002462  -0.058990 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.066504       2720   0.000677   0.087820 
  -326.571      0.000   0.064820       9533  -0.000750   0.071432 
  -272.143      0.000   0.049822      12798   0.007703   0.058420 
  -217.714      0.000   0.023220       9842   0.003427   0.031873 
  -163.286      0.000   0.014047      12188   0.001170   0.019600 
  -108.857      0.000   0.009458      14453   0.001266   0.012155 
   -54.429      0.000   0.006848      14280   0.002057   0.003850 
     0.000      0.000   0.008590       4830   0.006960  -0.007868 
    54.429      0.000   0.007182      14503   0.001721  -0.011116 
   108.857      0.000   0.008542      11709   0.001916  -0.021691 
   163.286      0.000   0.017621      14005  -0.000812  -0.031861 
   217.714      0.000   0.052692       8566   0.001893  -0.061535 
   272.143      0.000   0.096523      10365   0.008474  -0.073465 
   326.571      0.000   0.106376       8846   0.009955  -0.043832 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.077190        908   0.019381   0.052162 
  -326.571     54.429   0.079513      10112   0.011783   0.071346 
  -272.143     54.429   0.044356      13944   0.021725   0.058200 
  -217.714     54.429   0.045629       8030   0.018160   0.038594 
  -163.286     54.429   0.020258      10156   0.011547   0.029315 
  -108.857     54.429   0.010751      14329   0.008972   0.011275 
   -54.429     54.429   0.011229      11072   0.011275   0.003490 
     0.000     54.429   0.009200      10226   0.008686  -0.004939 
    54.429     54.429   0.009298      10311   0.010405  -0.011048 
   108.857     54.429   0.011261      15557   0.008635  -0.018847 
   163.286     54.429   0.019693      12722   0.012581  -0.029981 
   217.714     54.429   0.051305       8474   0.013650  -0.077086 
   272.143     54.429   0.089081       8132   0.016020  -0.079546 
   326.571     54.429   0.100146       7813   0.002124  -0.045163 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.073778      14331   0.022400   0.056289 
  -272.143    108.857   0.049700       9312   0.010166   0.044158 
  -217.714    108.857   0.049279       7945   0.032179   0.058573 
  -163.286    108.857   0.023610      14753   0.019612   0.026424 
  -108.857    108.857   0.017498      10536   0.019080   0.013094 
   -54.429    108.857   0.010974      13283   0.015971   0.002871 
     0.000    108.857   0.008841      17193   0.014855  -0.003818 
    54.429    108.857   0.011515      12609   0.016354  -0.011642 
   108.857    108.857   0.018090      10983   0.018910  -0.021809 
   163.286    108.857   0.028093      13087   0.020812  -0.032881 
   217.714    108.857   0.068243      11359   0.028190  -0.064646 
   272.143    108.857   0.079388       6715   0.009059  -0.060377 
