    X          Y          T         n          ux         uy    
  -381.000   -381.000   0.000000          0   0.000000   0.000000 
  -326.571   -381.000   0.000000          0   0.000000   0.000000 
  -272.143   -381.000   0.000000          0   0.000000   0.000000 
  -217.714   -381.000   0.000000          0   0.000000   0.000000 
  -163.286   -381.000   0.000000          0   0.000000   0.000000 
  -108.857   -381.000   0.000000          0   0.000000   0.000000 
   -54.429   -381.000   0.093312       3195   0.046054   0.000577 
     0.000   -381.000   0.078677      10335   0.017637   0.003208 
    54.429   -381.000   0.095372        688   0.016037   0.010773 
   108.857   -381.000   0.000000          0   0.000000   0.000000 
   163.286   -381.000   0.000000          0   0.000000   0.000000 
   217.714   -381.000   0.000000          0   0.000000   0.000000 
   272.143   -381.000   0.000000          0   0.000000   0.000000 
   326.571   -381.000   0.000000          0   0.000000   0.000000 
   381.000   -381.000   0.000000          0   0.000000   0.000000 
  -381.000   -326.571   0.000000          0   0.000000   0.000000 
  -326.571   -326.571   0.000000          0   0.000000   0.000000 
  -272.143   -326.571   0.000000          0   0.000000   0.000000 
  -217.714   -326.571   0.080917       3449   0.016231   0.002497 
  -163.286   -326.571   0.105537      11863  -0.005151  -0.000907 
  -108.857   -326.571   0.108453      14939  -0.000423  -0.003204 
   -54.429   -326.571   0.095223       8315  -0.020352   0.005060 
     0.000   -326.571   0.093965       6489  -0.032241   0.001804 
    54.429   -326.571   0.093850      12655  -0.006471  -0.006566 
   108.857   -326.571   0.082582      14150  -0.003282   0.001507 
   163.286   -326.571   0.090782      15083   0.003253   0.000473 
   217.714   -326.571   0.000000          0   0.000000   0.000000 
   272.143   -326.571   0.000000          0   0.000000   0.000000 
   326.571   -326.571   0.000000          0   0.000000   0.000000 
   381.000   -326.571   0.000000          0   0.000000   0.000000 
  -381.000   -272.143   0.000000          0   0.000000   0.000000 
  -326.571   -272.143   0.000000          0   0.000000   0.000000 
  -272.143   -272.143   0.088089       9834  -0.000610   0.005042 
  -217.714   -272.143   0.088686      14150  -0.010748  -0.001009 
  -163.286   -272.143   0.107727       5646  -0.003050   0.001292 
  -108.857   -272.143   0.089090      11332  -0.020739   0.014824 
   -54.429   -272.143   0.080426      15065  -0.026272  -0.001149 
     0.000   -272.143   0.077121      16253  -0.024672  -0.000514 
    54.429   -272.143   0.085739      10365  -0.024299  -0.002731 
   108.857   -272.143   0.077642      16189  -0.013285  -0.012031 
   163.286   -272.143   0.103864       5291  -0.012343  -0.010129 
   217.714   -272.143   0.112319      12737   0.007585  -0.001977 
   272.143   -272.143   0.113039       1831  -0.000198   0.025069 
   326.571   -272.143   0.000000          0   0.000000   0.000000 
   381.000   -272.143   0.000000          0   0.000000   0.000000 
  -381.000   -217.714   0.000000          0   0.000000   0.000000 
  -326.571   -217.714   0.057648       4518  -0.000451   0.003659 
  -272.143   -217.714   0.079205      12412  -0.007693   0.007792 
  -217.714   -217.714   0.084086       8892  -0.011595   0.013366 
  -163.286   -217.714   0.087255      12110  -0.033388   0.006511 
  -108.857   -217.714   0.081573       9913  -0.026785   0.016221 
   -54.429   -217.714   0.061500      11972  -0.012793  -0.006040 
     0.000   -217.714   0.066089      11067  -0.021754  -0.000230 
    54.429   -217.714   0.064579      15519  -0.016817  -0.006079 
   108.857   -217.714   0.090950       6351  -0.011482  -0.021491 
   163.286   -217.714   0.093327      17667  -0.004783  -0.018113 
   217.714   -217.714   0.131121       5701   0.010357  -0.015391 
   272.143   -217.714   0.129458      14901   0.010660   0.010780 
   326.571   -217.714   0.000000          0   0.000000   0.000000 
   381.000   -217.714   0.000000          0   0.000000   0.000000 
  -381.000   -163.286   0.000000          0   0.000000   0.000000 
  -326.571   -163.286   0.062874      14837   0.000425   0.005637 
  -272.143   -163.286   0.070455       7287   0.001659   0.018958 
  -217.714   -163.286   0.072607      12741  -0.014986   0.020012 
  -163.286   -163.286   0.061959       9856  -0.009381   0.004661 
  -108.857   -163.286   0.067164      13356  -0.012960   0.009295 
   -54.429   -163.286   0.060047      11458  -0.016591   0.007113 
     0.000   -163.286   0.054854       6726  -0.008117  -0.017239 
    54.429   -163.286   0.074251       6022  -0.015283  -0.008142 
   108.857   -163.286   0.074550      16446  -0.005837  -0.027664 
   163.286   -163.286   0.111935       6291   0.014227  -0.034196 
   217.714   -163.286   0.133936      12852   0.010513  -0.020940 
   272.143   -163.286   0.150482       7859   0.039961   0.004575 
   326.571   -163.286   0.125639       9468   0.014019   0.030868 
   381.000   -163.286   0.000000          0   0.000000   0.000000 
  -381.000   -108.857   0.036966        150   0.018154  -0.043297 
  -326.571   -108.857   0.075612      16253   0.000246   0.002270 
  -272.143   -108.857   0.070697      16253  -0.004440   0.020141 
  -217.714   -108.857   0.066976       9784   0.000426   0.012551 
  -163.286   -108.857   0.072776      11275  -0.010343   0.022132 
  -108.857   -108.857   0.056482       9421  -0.010918   0.006222 
   -54.429   -108.857   0.061592      14930  -0.003826  -0.001520 
     0.000   -108.857   0.057927       9553  -0.005898  -0.007132 
    54.429   -108.857   0.070325      10658  -0.004621  -0.012482 
   108.857   -108.857   0.080676      12377   0.009179  -0.033479 
   163.286   -108.857   0.112868      14052   0.001226  -0.029144 
   217.714   -108.857   0.157542       6780   0.008448  -0.024082 
   272.143   -108.857   0.159925       8360   0.019858  -0.011392 
   326.571   -108.857   0.155763      12235   0.017831   0.041149 
   381.000   -108.857   0.000000          0   0.000000   0.000000 
  -381.000    -54.429   0.056137       9307   0.002074  -0.005973 
  -326.571    -54.429   0.088140       6597  -0.011458   0.014311 
  -272.143    -54.429   0.083126      14788  -0.002306   0.022718 
  -217.714    -54.429   0.062441      11289   0.004477   0.012676 
  -163.286    -54.429   0.069146       7063   0.003483   0.026338 
  -108.857    -54.429   0.061692      17158   0.000733   0.001534 
   -54.429    -54.429   0.054460      13144   0.003706  -0.002462 
     0.000    -54.429   0.058538      13083   0.001551  -0.009978 
    54.429    -54.429   0.073219      11724   0.011330  -0.008557 
   108.857    -54.429   0.098268      11443   0.005523  -0.041884 
   163.286    -54.429   0.134756      11681   0.017155  -0.038938 
   217.714    -54.429   0.171666       6748   0.026015  -0.028121 
   272.143    -54.429   0.182384      11002   0.006834  -0.013843 
   326.571    -54.429   0.172884      12525   0.015237   0.059603 
   381.000    -54.429   0.000000          0   0.000000   0.000000 
  -381.000      0.000   0.082261       8197   0.003691  -0.000253 
  -326.571      0.000   0.093721       8451   0.016447  -0.003752 
  -272.143      0.000   0.076250      11689   0.017287   0.018939 
  -217.714      0.000   0.082802      12288   0.009773   0.023981 
  -163.286      0.000   0.069700      10305   0.009858   0.013534 
  -108.857      0.000   0.073853      10748   0.017540   0.002048 
   -54.429      0.000   0.068690      14371   0.007497  -0.000683 
     0.000      0.000   0.076777      11170   0.024952  -0.014715 
    54.429      0.000   0.091559       8856   0.022846  -0.026349 
   108.857      0.000   0.121516      14045   0.024652  -0.039542 
   163.286      0.000   0.152553       8981   0.024637  -0.044326 
   217.714      0.000   0.186828       6717   0.028916  -0.025811 
   272.143      0.000   0.201575       9602   0.018490  -0.006192 
   326.571      0.000   0.185650      12514   0.002283   0.067870 
   381.000      0.000   0.000000          0   0.000000   0.000000 
  -381.000     54.429   0.067463       4892  -0.002896  -0.024740 
  -326.571     54.429   0.064709      11389   0.005457   0.005968 
  -272.143     54.429   0.075935      14071   0.006241   0.009168 
  -217.714     54.429   0.070504      10247   0.023734   0.008740 
  -163.286     54.429   0.086040       9744   0.018068   0.040880 
  -108.857     54.429   0.081091      12909   0.007872   0.002911 
   -54.429     54.429   0.097366       8817   0.029794  -0.011427 
     0.000     54.429   0.109710       7093   0.027855  -0.022849 
    54.429     54.429   0.120782      10944   0.040066  -0.032398 
   108.857     54.429   0.147261       8603   0.031475  -0.044933 
   163.286     54.429   0.193472      12720   0.041375  -0.038801 
   217.714     54.429   0.220460       6914   0.048512  -0.024858 
   272.143     54.429   0.195241       8532   0.020323   0.008882 
   326.571     54.429   0.198781       9956   0.008190   0.095289 
   381.000     54.429   0.000000          0   0.000000   0.000000 
  -381.000    108.857   0.000000          0   0.000000   0.000000 
  -326.571    108.857   0.063268      16370  -0.000895  -0.011373 
  -272.143    108.857   0.061358      12737   0.010895   0.003404 
  -217.714    108.857   0.083923       6445   0.029846   0.015149 
  -163.286    108.857   0.096707      11475   0.040433   0.016701 
  -108.857    108.857   0.116908      10234   0.036726   0.006561 
   -54.429    108.857   0.100750       9746   0.031108  -0.010401 
     0.000    108.857   0.132031      10886   0.038081  -0.017451 
    54.429    108.857   0.163006      10517   0.029621  -0.041307 
   108.857    108.857   0.185534       9684   0.044483  -0.048271 
   163.286    108.857   0.235506       6670   0.012566  -0.031036 
   217.714    108.857   0.230750      10515   0.008879  -0.011827 
   272.143    108.857   0.203038       6636  -0.009835   0.010233 
   326.571    108.857   0.228972      11904  -0.029938   0.093682 
