    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.120474       7948  -0.059696   0.033661 
  -116.571   -349.714   0.105278      14761  -0.070612   0.026152 
   -58.286   -349.714   0.091368      14078  -0.077465   0.009050 
     0.000   -349.714   0.079275      13758  -0.079846   0.006682 
    58.286   -349.714   0.064988      15604  -0.070020  -0.014646 
   116.571   -349.714   0.056193      15804  -0.062856  -0.018230 
   174.857   -349.714   0.053598      13890  -0.058541  -0.028069 
   233.143   -349.714   0.027760         56   0.000720   0.016143 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.087034        456  -0.038884   0.031648 
  -233.143   -291.429   0.107113      16606  -0.054292   0.043938 
  -174.857   -291.429   0.123924      10066  -0.073369   0.033202 
  -116.571   -291.429   0.076102      10309  -0.055324   0.017448 
   -58.286   -291.429   0.076507      13807  -0.071922   0.018053 
     0.000   -291.429   0.068648      13715  -0.067979  -0.002151 
    58.286   -291.429   0.050847      13848  -0.062576  -0.013837 
   116.571   -291.429   0.041900      12990  -0.056188  -0.021633 
   174.857   -291.429   0.047357       6725  -0.047547  -0.031766 
   233.143   -291.429   0.055358      18549  -0.049391  -0.040030 
   291.429   -291.429   0.057892       4387  -0.030764  -0.027072 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.088362      15635  -0.052741   0.060480 
  -233.143   -233.143   0.089075       6355  -0.055845   0.043366 
  -174.857   -233.143   0.089404      15493  -0.058068   0.041887 
  -116.571   -233.143   0.071532       9851  -0.077082   0.030836 
   -58.286   -233.143   0.048043      10226  -0.050807   0.005692 
     0.000   -233.143   0.046681      13229  -0.055494  -0.006071 
    58.286   -233.143   0.039302      12222  -0.044451  -0.015912 
   116.571   -233.143   0.042212       8896  -0.038852  -0.030765 
   174.857   -233.143   0.055566      14213  -0.044309  -0.040227 
   233.143   -233.143   0.065983       7646  -0.029301  -0.044803 
   291.429   -233.143   0.076007      17276  -0.041181  -0.049179 
   349.714   -233.143   0.000000          0   0.000000   0.000000 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.089209       8758  -0.034410   0.074338 
  -291.429   -174.857   0.090252       9006  -0.038292   0.063050 
