    X          Y          T         n          ux         uy    
  -408.000   -408.000   0.000000          0   0.000000   0.000000 
  -349.714   -408.000   0.000000          0   0.000000   0.000000 
  -291.429   -408.000   0.000000          0   0.000000   0.000000 
  -233.143   -408.000   0.000000          0   0.000000   0.000000 
  -174.857   -408.000   0.000000          0   0.000000   0.000000 
  -116.571   -408.000   0.000000          0   0.000000   0.000000 
   -58.286   -408.000   0.000000          0   0.000000   0.000000 
     0.000   -408.000   0.000000          0   0.000000   0.000000 
    58.286   -408.000   0.000000          0   0.000000   0.000000 
   116.571   -408.000   0.000000          0   0.000000   0.000000 
   174.857   -408.000   0.000000          0   0.000000   0.000000 
   233.143   -408.000   0.000000          0   0.000000   0.000000 
   291.429   -408.000   0.000000          0   0.000000   0.000000 
   349.714   -408.000   0.000000          0   0.000000   0.000000 
   408.000   -408.000   0.000000          0   0.000000   0.000000 
  -408.000   -349.714   0.000000          0   0.000000   0.000000 
  -349.714   -349.714   0.000000          0   0.000000   0.000000 
  -291.429   -349.714   0.000000          0   0.000000   0.000000 
  -233.143   -349.714   0.000000          0   0.000000   0.000000 
  -174.857   -349.714   0.175220       3035  -0.014542   0.016896 
  -116.571   -349.714   0.166512      10849  -0.005596   0.004056 
   -58.286   -349.714   0.147149      12654  -0.013030   0.004419 
     0.000   -349.714   0.158898      13273  -0.021991   0.007870 
    58.286   -349.714   0.145775      15108  -0.025107   0.001041 
   116.571   -349.714   0.128879      13159  -0.022078  -0.011745 
   174.857   -349.714   0.132397      14516  -0.014756  -0.007246 
   233.143   -349.714   0.143470        341   0.023648   0.024163 
   291.429   -349.714   0.000000          0   0.000000   0.000000 
   349.714   -349.714   0.000000          0   0.000000   0.000000 
   408.000   -349.714   0.000000          0   0.000000   0.000000 
  -408.000   -291.429   0.000000          0   0.000000   0.000000 
  -349.714   -291.429   0.000000          0   0.000000   0.000000 
  -291.429   -291.429   0.000000          0   0.000000   0.000000 
  -233.143   -291.429   0.158514       9105   0.003194   0.006471 
  -174.857   -291.429   0.166699      12291  -0.027177   0.015238 
  -116.571   -291.429   0.169809       8611  -0.036493   0.010913 
   -58.286   -291.429   0.155690      11161  -0.055726   0.016575 
     0.000   -291.429   0.137181      14262  -0.048840   0.009520 
    58.286   -291.429   0.143868      12600  -0.057531  -0.006714 
   116.571   -291.429   0.137586      11187  -0.051191  -0.025656 
   174.857   -291.429   0.143404       3412  -0.012783  -0.027116 
   233.143   -291.429   0.126623      18230  -0.016098  -0.008066 
   291.429   -291.429   0.144322       2560  -0.011310  -0.005628 
   349.714   -291.429   0.000000          0   0.000000   0.000000 
   408.000   -291.429   0.000000          0   0.000000   0.000000 
  -408.000   -233.143   0.000000          0   0.000000   0.000000 
  -349.714   -233.143   0.000000          0   0.000000   0.000000 
  -291.429   -233.143   0.137211      10971  -0.020378   0.017022 
  -233.143   -233.143   0.170010       8534  -0.047561   0.011400 
  -174.857   -233.143   0.148381       9901  -0.037259   0.039549 
  -116.571   -233.143   0.147003      11137  -0.071052   0.021938 
   -58.286   -233.143   0.107977       8913  -0.067766   0.019044 
     0.000   -233.143   0.112130       9151  -0.057571   0.026521 
    58.286   -233.143   0.102371      10384  -0.047301  -0.006420 
   116.571   -233.143   0.140748       7062  -0.057937  -0.027910 
   174.857   -233.143   0.139036      14972  -0.056223  -0.031386 
   233.143   -233.143   0.123348       9319  -0.028164  -0.036481 
   291.429   -233.143   0.132125      19037  -0.010709  -0.014703 
   349.714   -233.143   0.116222       1362  -0.012604   0.020628 
   408.000   -233.143   0.000000          0   0.000000   0.000000 
  -408.000   -174.857   0.000000          0   0.000000   0.000000 
  -349.714   -174.857   0.156061       2860  -0.008557   0.021741 
  -291.429   -174.857   0.169166      12929  -0.010694   0.030955 
